abbe refractometer	<br><font color=blue size=4>abbe refractometer</font>\n<br>阿贝折射计\n
abbreviated analysis	<br><font color=blue size=4>abbreviated analysis</font>\n<br>简略分析\n
abderhalden's dryer	<br><font color=blue size=4>abderhalden's dryer</font>\n<br>阿布德尔哈尔登干燥器\n
abderhalden's reaction	<br><font color=blue size=4>abderhalden's reaction</font>\n<br>阿布德尔哈尔登反应\n
abegg's rule	<br><font color=blue size=4>abegg's rule</font>\n<br>阿贝格规则\n
abel closed tester	<br><font color=blue size=4>abel closed tester</font>\n<br>阿贝尔氏密闭实验机\n
abelite	<br><font color=blue size=4>abelite</font>\n<br>阿贝立特\n
abel pensky tester	<br><font color=blue size=4>abel pensky tester</font>\n<br>阿贝尔?彭斯基试验器\n
abel tester	<br><font color=blue size=4>abel tester</font>\n<br>阿贝尔试验器\n
aberration	<br><font color=blue size=4>aberration</font>\n<br>像差\n
abies oil	<br><font color=blue size=4>abies oil</font>\n<br>松节油\n
abietate	<br><font color=blue size=4>abietate</font>\n<br>松香酯\n
abietic acid	<br><font color=blue size=4>abietic acid</font>\n<br>松香酸\n
abietin	<br><font color=blue size=4>abietin</font>\n<br>松香素\n
abiochemistry	<br><font color=blue size=4>abiochemistry</font>\n<br>无生化学;无机化学\n
ablation	<br><font color=blue size=4>ablation</font>\n<br>消融\n
ablution	<br><font color=blue size=4>ablution</font>\n<br>洗净\n
