18 Electron Rule	<font size=5>\n18 Electron Rule\n</font><br>\n18 电子则\n
Abbe Refractometer	<font size=5>\nAbbe Refractometer\n</font><br>\n阿贝折射计\n
Abbreviated Analysis	<font size=5>\nAbbreviated Analysis\n</font><br>\n简略分析\n
Abderhalden's Dryer	<font size=5>\nAbderhalden's Dryer\n</font><br>\n阿布德尔哈尔登干燥器\n
Abderhalden's Reaction	<font size=5>\nAbderhalden's Reaction\n</font><br>\n阿布德尔哈尔登反应\n
Abegg's Rule	<font size=5>\nAbegg's Rule\n</font><br>\n阿贝格规则\n
Abel Closed Tester	<font size=5>\nAbel Closed Tester\n</font><br>\n阿贝尔氏密闭实验机\n
Abelite	<font size=5>\nAbelite\n</font><br>\n阿贝立特\n
Abel Pensky Tester	<font size=5>\nAbel Pensky Tester\n</font><br>\n阿贝尔彭斯基试验器\n
Abel Tester	<font size=5>\nAbel Tester\n</font><br>\n阿贝尔试验器\n
Aberration	<font size=5>\nAberration\n</font><br>\n像差\n
Abies Oil	<font size=5>\nAbies Oil\n</font><br>\n松节油\n
Abietate	<font size=5>\nAbietate\n</font><br>\n松香酯\n
Abietic Acid	<font size=5>\nAbietic Acid\n</font><br>\n松香酸\n
Abietin	<font size=5>\nAbietin\n</font><br>\n松香素\n
Abiochemistry	<font size=5>\nAbiochemistry\n</font><br>\n无机化学\n
Ablation	<font size=5>\nAblation\n</font><br>\n消融\n
Ablution	<font size=5>\nAblution\n</font><br>\n洗净\n
Abnormality	<font size=5>\nAbnormality\n</font><br>\n反常\n
Abnormal Setting	<font size=5>\nAbnormal Setting\n</font><br>\n反常凝结\n
Abradant	<font size=5>\nAbradant\n</font><br>\n磨料\n
Abrader	<font size=5>\nAbrader\n</font><br>\n磨损试验机\n
Abrasion	<font size=5>\nAbrasion\n</font><br>\n磨耗\n
Abrasion Loss	<font size=5>\nAbrasion Loss\n</font><br>\n磨损量\n
Abrasion Resistance	<font size=5>\nAbrasion Resistance\n</font><br>\n耐磨能力\n
Abrasion Test	<font size=5>\nAbrasion Test\n</font><br>\n磨耗试验\n
Abrasion Testing Machine	<font size=5>\nAbrasion Testing Machine\n</font><br>\n磨损试验机\n
Abrasive	<font size=5>\nAbrasive\n</font><br>\n磨料\n
