Id,Label,度
金,金,90
铜,铜,55
矿石,矿石,19
太阳能,太阳能,73
硅,硅,33
发酵,发酵,72
焊接,焊接,33
维尼纶,维尼纶,16
克隆,克隆,2
含量,含量,120
酸类,酸类,1
微生物,微生物,56
钢铁,钢铁,92
蛋氨酸,蛋氨酸,8
铝土矿,铝土矿,16
蓝宝石,蓝宝石,18
沉淀,沉淀,50
玻璃钢,玻璃钢,4
镁,镁,18
冶炼,冶炼,40
天然气,天然气,129
油气,油气,27
能量,能量,70
概率,概率,18
互补性,互补性,7
煤,煤,78
复合型,复合型,38
温度,温度,93
食用油,食用油,48
染色,染色,16
植物纤维,植物纤维,2
金属材料,金属材料,25
液氮,液氮,4
燃烧,燃烧,70
胶体,胶体,2
还原,还原,9
活化,活化,5
铝,铝,58
氧化铝,氧化铝,15
张力,张力,14
浸润,浸润,29
升华,升华,38
银,银,35
铁,铁,35
铁矿石,铁矿石,25
来苏,来苏,4
水磨,水磨,2
盐,盐,56
重叠,重叠,13
氯气,氯气,7
化工厂,化工厂,33
分解,分解,71
干法,干法,17
降解,降解,18
氯乙烷,氯乙烷,2
加热,加热,22
有机物质,有机物质,4
放射性物质,放射性物质,27
环境标准,环境标准,5
气体,气体,73
过滤,过滤,44
固体,固体,12
重水,重水,4
总产量,总产量,36
沼气,沼气,43
化肥,化肥,58
柴油,柴油,43
反应器,反应器,1
肥料,肥料,45
抗体,抗体,6
透析,透析,7
功能基,功能基,2
材料工程,材料工程,9
爱因斯坦,爱因斯坦,6
消毒,消毒,43
右旋,右旋,1
化学需氧量,化学需氧量,25
脱硝,脱硝,16
二氧化硫,二氧化硫,57
环境容量,环境容量,8
脱硫,脱硫,29
碳,碳,82
化工技术,化工技术,8
塑料,塑料,62
聚丙烯,聚丙烯,5
风能,风能,28
太阳电池,太阳电池,2
硅基,硅基,4
电池,电池,57
燃烧剂,燃烧剂,2
精度,精度,16
化学合成,化学合成,7
变压器,变压器,16
聚酯,聚酯,9
精炼,精炼,16
烧结砖,烧结砖,2
铸钢,铸钢,4
中间体,中间体,17
生物质,生物质,12
再生利用,再生利用,13
防水涂料,防水涂料,4
添加剂,添加剂,79
磷,磷,36
纳米材料,纳米材料,8
合金,合金,33
大理石,大理石,14
热值,热值,2
回流,回流,18
导管,导管,11
方向性,方向性,6
已经证明,已经证明,3
洗涤,洗涤,16
橡胶,橡胶,21
促进作用,促进作用,34
激光,激光,15
红血球,红血球,1
生物技术,生物技术,30
活性炭,活性炭,15
氧气,氧气,26
柴油机,柴油机,9
不锈钢,不锈钢,28
铝合金,铝合金,23
液化石油气,液化石油气,12
仪器仪表,仪器仪表,30
液化天然气,液化天然气,7
精密仪器,精密仪器,9
等电子,等电子,8
电容器,电容器,4
维生素,维生素,40
保健食品,保健食品,25
矿物,矿物,15
热浴,热浴,2
扩张血管,扩张血管,2
温差,温差,21
角质,角质,2
化学分析,化学分析,2
油脂,油脂,37
特异性,特异性,3
环境科学,环境科学,8
结合水,结合水,1
偏硅酸,偏硅酸,6
锶,锶,18
炸药,炸药,17
淀粉,淀粉,30
