Source,Target,Type,Id,Label,Weight
心电图,显微镜,Undirected,41209,,1.0
心电图,气味,Undirected,41981,,1.0
心电图,变压器,Undirected,42697,,1.0
心电图,激素,Undirected,43321,,1.0
心电图,卡介苗,Undirected,43078,,1.0
显微镜,钢铁,Undirected,42684,,1.0
显微镜,发酵,Undirected,41936,,2.0
显微镜,核磁共振,Undirected,43636,,3.0
显微镜,生物技术,Undirected,44313,,2.0
命名,腐蚀,Undirected,41210,,1.0
命名,复合型,Undirected,41211,,1.0
命名,电池,Undirected,44666,,2.0
命名,含量,Undirected,42428,,3.0
命名,氟,Undirected,43687,,3.0
命名,锰,Undirected,43018,,1.0
命名,砝码,Undirected,42840,,3.0
命名,铁,Undirected,42813,,1.0
命名,石膏,Undirected,42874,,3.0
命名,煤化,Undirected,41244,,4.0
命名,升华,Undirected,42069,,3.0
命名,温度,Undirected,43743,,3.0
命名,促进作用,Undirected,42205,,6.0
命名,沉淀,Undirected,44346,,2.0
命名,分解,Undirected,41884,,4.0
命名,肥料,Undirected,41318,,5.0
命名,铝,Undirected,42712,,1.0
命名,能量,Undirected,44685,,2.0
命名,分子,Undirected,42924,,3.0
命名,陶瓷,Undirected,42155,,1.0
命名,克隆,Undirected,41297,,1.0
命名,太阳能,Undirected,42273,,1.0
命名,消毒,Undirected,44542,,2.0
命名,化学反应,Undirected,42985,,1.0
命名,水晶,Undirected,43476,,1.0
命名,油气,Undirected,42807,,2.0
命名,能级,Undirected,44270,,2.0
命名,麻,Undirected,43995,,2.0
命名,回流,Undirected,43691,,3.0
命名,脱水,Undirected,42179,,1.0
命名,精练,Undirected,43546,,1.0
命名,化学合成,Undirected,42161,,3.0
命名,菜油,Undirected,43748,,3.0
命名,连锁反应,Undirected,42569,,3.0
命名,方向性,Undirected,42735,,1.0
命名,重油,Undirected,43278,,1.0
命名,白雾,Undirected,43020,,1.0
腐蚀,海水,Undirected,41866,,1.0
腐蚀,糖,Undirected,42863,,3.0
腐蚀,促进作用,Undirected,42746,,3.0
腐蚀,分解,Undirected,42490,,1.0
腐蚀,杂质,Undirected,44108,,2.0
腐蚀,灌流,Undirected,42096,,1.0
腐蚀,腐蚀性,Undirected,44392,,2.0
复合型,水污染,Undirected,44755,,2.0
复合型,精度,Undirected,44602,,2.0
复合型,天然气,Undirected,42647,,3.0
复合型,温度,Undirected,43531,,1.0
复合型,机理,Undirected,44047,,2.0
复合型,总产量,Undirected,41253,,4.0
复合型,糖,Undirected,41898,,1.0
复合型,铝合金,Undirected,43786,,3.0
复合型,有效性,Undirected,41679,,9.0
复合型,毒品,Undirected,42461,,1.0
免疫性,他克莫司,Undirected,41212,,1.0
他克莫司,免疫抑制,Undirected,43638,,3.0
镀金,竞争性,Undirected,41213,,1.0
镀金,石膏,Undirected,43362,,3.0
镀金,标定,Undirected,42588,,1.0
镀金,镭,Undirected,41353,,1.0
竞争性,金,Undirected,41735,,1.0
竞争性,有效性,Undirected,42023,,3.0
竞争性,油气,Undirected,42954,,1.0
钠,电池,Undirected,41214,,1.0
钠,能量,Undirected,42917,,2.0
钠,洗涤,Undirected,42374,,3.0
钠,废水,Undirected,42029,,1.0
钠,铝土矿,Undirected,42705,,1.0
钠,脂肪含量,Undirected,44774,,2.0
电池,硅酸盐,Undirected,43639,,3.0
电池,保健食品,Undirected,41782,,1.0
电池,温度,Undirected,42004,,1.0
电池,纳米材料,Undirected,41296,,1.0
电池,有效性,Undirected,44595,,2.0
电池,化学反应,Undirected,42967,,1.0
电池,己二酸,Undirected,41613,,1.0
电池,蛋白,Undirected,43823,,3.0
电池,半导体,Undirected,41730,,1.0
电池,生物技术,Undirected,41891,,1.0
电池,重金属,Undirected,43542,,1.0
