Id,Label,度
利多卡因,利多卡因,1
温度,温度,54
酒精,酒精,24
激素,激素,35
安慰剂,安慰剂,8
液体,液体,46
合成,合成,41
胃肠道,胃肠道,2
含量,含量,63
胰岛素,胰岛素,7
羟色胺,羟色胺,3
固体,固体,12
水浴,水浴,3
酸性,酸性,25
铬,铬,3
锰,锰,3
双螺旋,双螺旋,3
腐蚀性,腐蚀性,1
砷,砷,18
强酸,强酸,6
重金属,重金属,3
生物技术,生物技术,8
淀粉,淀粉,8
碘熏,碘熏,2
塑料,塑料,36
激光,激光,19
分解,分解,39
油性,油性,2
加热,加热,24
氩,氩,2
溶液,溶液,22
微克,微克,2
橡胶,橡胶,17
碘,碘,2
脂肪酸,脂肪酸,7
荧光,荧光,20
微碱,微碱,1
能量,能量,84
粒子,粒子,24
凝聚态,凝聚态,2
量子力学,量子力学,13
能级,能级,2
自旋,自旋,4
原子核,原子核,5
试纸,试纸,3
不饱和脂肪酸,不饱和脂肪酸,3
维生素,维生素,22
油脂,油脂,8
脂肪酸钠,脂肪酸钠,1
皂化,皂化,1
制法,制法,1
碱性,碱性,4
马赛皂,马赛皂,1
强碱,强碱,4
酸分解,酸分解,1
原子,原子,14
气体,气体,25
干燥,干燥,30
气味,气味,24
熔融,熔融,2
聚合,聚合,9
灵敏度,灵敏度,7
纤维素,纤维素,13
族,族,4
体积,体积,14
酶,酶,28
水分,水分,34
薄荷,薄荷,6
深红色,深红色,3
化学反应,化学反应,12
饱和度,饱和度,7
煤气,煤气,7
条纹,条纹,6
临界点,临界点,2
微生物,微生物,34
脂肪含量,脂肪含量,6
挥发,挥发,4
燃烧,燃烧,27
脱水,脱水,10
咖啡因,咖啡因,17
粘附因子,粘附因子,1
二氧化碳,二氧化碳,27
趋化因子,趋化因子,1
氧气,氧气,16
硅,硅,13
异形,异形,3
培养皿,培养皿,4
化学组成,化学组成,4
液态,液态,5
酸,酸,6
化学家,化学家,13
试管,试管,7
放射性,放射性,6
中性,中性,9
肥料,肥料,6
碳环,碳环,5
重铬酸钾,重铬酸钾,2
浓硫酸,浓硫酸,2
氢氟酸,氢氟酸,2
堆肥,堆肥,2
酸雾,酸雾,2
酸碱,酸碱,3
模型研究,模型研究,2
调节剂,调节剂,1
植物激素,植物激素,2
水溶性,水溶性,2
食用色素,食用色素,3
脂溶性,脂溶性,2
核磁共振,核磁共振,2
毒品,毒品,16
染色,染色,6
水蒸汽,水蒸汽,2
苯胺,苯胺,2
苯酚类,苯酚类,2
颗粒,颗粒,27
丁胺,丁胺,1
抗生素,抗生素,24
氧化铁,氧化铁,5
溶解氧,溶解氧,2
进化树,进化树,3
海水,海水,11
相互作用,相互作用,13
反馈作用,反馈作用,2
爱因斯坦,爱因斯坦,9
氧化还原,氧化还原,1
电池,电池,48
锡,锡,3
铜,铜,5
铝板,铝板,2
合金,合金,10
电位,电位,4
焊接,焊接,26
铝合金,铝合金,3
铝,铝,12
正极,正极,6
负极,负极,4
分子,分子,38
无机物,无机物,3
溶解度,溶解度,2
熔化,熔化,6
酯,酯,2
蒸干,蒸干,2
生物碱,生物碱,3
游离,游离,8
吸附能力,吸附能力,2
流明,流明,2
光谱,光谱,10
磷,磷,13
气流,气流,3
粘液,粘液,8
尼古丁,尼古丁,7
称量,称量,1
抑制作用,抑制作用,4
类黄酮,类黄酮,1
热传递,热传递,1
显微镜,显微镜,14
电子显微镜,电子显微镜,4
氧化铜,氧化铜,2
微米,微米,14
化疗药物,化疗药物,3
酸奶,酸奶,10
发酵,发酵,11
焚烧,焚烧,4
乙醇,乙醇,8
温度计,温度计,4
碳酸钙,碳酸钙,3
维生素D,维生素D,10
乙酰,乙酰,2
麻黄碱,麻黄碱,2
洗脱,洗脱,1
钙,钙,11
锌,锌,9
甲烷,甲烷,12
毛细血管,毛细血管,4
吸收能量,吸收能量,5
脑脊液,脑脊液,2
概率,概率,26
半衰期,半衰期,3
镓,镓,4
压电效应,压电效应,2
钯,钯,2
电介质,电介质,1
耐甲氧西林,耐甲氧西林,4
消毒,消毒,5
多粘菌素,多粘菌素,2
碳青霉烯,碳青霉烯,2
青霉素,青霉素,4
羊毛,羊毛,13
人造纤维,人造纤维,4
