Source,Target,Type,Id,Label,Weight
蒸汽锅炉,体积,Undirected,11435,,3.0
体积,电池,Undirected,12131,,6.0
体积,微生物,Undirected,11819,,2.0
体积,糖,Undirected,12505,,5.0
体积,二氧化碳,Undirected,15682,,2.0
体积,液态,Undirected,14572,,1.0
体积,激素,Undirected,17177,,3.0
体积,橡胶,Undirected,13806,,6.0
体积,命名,Undirected,14877,,1.0
体积,温度,Undirected,16090,,1.0
体积,多环芳烃,Undirected,16433,,1.0
体积,核能,Undirected,14234,,3.0
体积,取样,Undirected,17264,,1.0
体积,气流,Undirected,13523,,3.0
体积,粘土,Undirected,15420,,2.0
体积,刺激作用,Undirected,14328,,1.0
体积,铜,Undirected,17148,,1.0
体积,化学家,Undirected,15539,,1.0
体积,族,Undirected,16512,,1.0
体积,副产品,Undirected,14772,,1.0
体积,脱水,Undirected,17182,,1.0
体积,水溶性,Undirected,15599,,2.0
体积,神经元,Undirected,13821,,1.0
体积,颗粒,Undirected,11918,,8.0
体积,焊接,Undirected,12683,,2.0
体积,显微镜,Undirected,13516,,2.0
体积,毒品,Undirected,11732,,2.0
体积,矿物,Undirected,15837,,1.0
体积,多巴胺,Undirected,13895,,1.0
体积,微米,Undirected,16741,,1.0
体积,重叠,Undirected,12873,,2.0
体积,灵敏度,Undirected,12207,,1.0
体积,减数分裂,Undirected,14956,,1.0
体积,升华,Undirected,12020,,1.0
体积,空气电池,Undirected,12039,,3.0
体积,植物激素,Undirected,15671,,2.0
体积,粗纤维,Undirected,15012,,1.0
体积,单质,Undirected,16322,,1.0
体积,促性腺激素,Undirected,12247,,1.0
体积,突触蛋白,Undirected,12360,,1.0
体积,精度,Undirected,13089,,4.0
体积,矿物油,Undirected,13798,,3.0
体积,滤纸,Undirected,12476,,3.0
体积,木炭,Undirected,15699,,2.0
体积,孕激素,Undirected,12517,,1.0
体积,稀有气体,Undirected,12557,,1.0
体积,堆肥,Undirected,16083,,2.0
体积,自燃推进剂,Undirected,15506,,1.0
体积,整流,Undirected,13486,,1.0
体积,测量误差,Undirected,14954,,1.0
体积,柴油机,Undirected,16016,,1.0
体积,肌纤维,Undirected,17332,,1.0
体积,油气,Undirected,17288,,1.0
体积,脂肪,Undirected,17119,,1.0
体积,复合体,Undirected,17225,,1.0
酒精,体积,Undirected,13448,,1.0
酒精,X射线,Undirected,11436,,3.0
酒精,盐,Undirected,11638,,1.0
酒精,分解,Undirected,13559,,1.0
酒精,胆固醇,Undirected,12287,,2.0
酒精,糖,Undirected,16491,,1.0
酒精,蔗糖,Undirected,12320,,2.0
酒精,命名,Undirected,11747,,1.0
酒精,酶,Undirected,16236,,1.0
