Source,Target,Type,Id,Label,Weight
合成,蒸汽加工,Undirected,20654,,2.0
合成,盐浓度,Undirected,20934,,1.0
合成,氧,Undirected,20937,,1.0
合成,核聚变,Undirected,20690,,1.0
合成,维生素,Undirected,20725,,2.0
合成,脂肪酸,Undirected,20788,,1.0
合成,碱基,Undirected,20850,,2.0
激光,粒子,Undirected,20655,,1.0
激光,原子,Undirected,20892,,1.0
激光,计算机控制,Undirected,20674,,1.0
激光,量子力学,Undirected,20847,,1.0
激光,电池,Undirected,20903,,1.0
激光,转录,Undirected,20911,,1.0
粒子,量子状态,Undirected,20918,,1.0
粒子,量子,Undirected,20916,,2.0
粒子,固态,Undirected,20677,,2.0
粒子,量子力学,Undirected,20997,,2.0
粒子,气体,Undirected,20827,,1.0
粒子,核反应堆,Undirected,20864,,2.0
粒子,正电子,Undirected,20769,,1.0
粒子,无机材料,Undirected,21003,,1.0
粒子,电解液,Undirected,20894,,2.0
粒子,核酸酶,Undirected,21066,,1.0
粒子,太阳辐射,Undirected,21046,,1.0
能量,粒子,Undirected,20852,,3.0
能量,脂肪,Undirected,20656,,1.0
能量,量子,Undirected,20853,,2.0
能量,酒精,Undirected,20957,,1.0
能量,分解,Undirected,20849,,2.0
能量,电池,Undirected,20854,,4.0
能量,体积,Undirected,20869,,2.0
能量,能量变化,Undirected,20744,,1.0
能量,普朗克,Undirected,20972,,1.0
能量,介子,Undirected,20799,,1.0
能量,能量转移,Undirected,20824,,1.0
能量,化学能,Undirected,20829,,1.0
能量,有机物质,Undirected,20842,,1.0
能量,酮体,Undirected,20914,,2.0
能量,自由电子,Undirected,20930,,1.0
能量,环境科学,Undirected,20988,,1.0
脂肪,糖,Undirected,20662,,1.0
量子状态,量子,Undirected,20657,,1.0
量子,量子力学,Undirected,20973,,6.0
量子,铷,Undirected,20716,,2.0
红外,能量,Undirected,20658,,2.0
红外,二氧化碳,Undirected,21008,,1.0
红外,电容器,Undirected,20883,,2.0
降解,半衰期,Undirected,20659,,1.0
半衰期,太阳能,Undirected,20865,,2.0
半衰期,放射性物质,Undirected,20921,,2.0
铅,铬,Undirected,20660,,1.0
铅,温度,Undirected,20873,,2.0
盐,蛋白,Undirected,20661,,1.0
盐,维生素,Undirected,21000,,1.0
蛋白,脂肪,Undirected,20923,,1.0
