Id,Label,度
合成,合成,12
蒸汽加工,蒸汽加工,1
激光,激光,8
粒子,粒子,24
能量,能量,27
脂肪,脂肪,4
量子状态,量子状态,2
量子,量子,9
红外,红外,5
降解,降解,2
半衰期,半衰期,4
铅,铅,3
铬,铬,1
盐,盐,2
蛋白,蛋白,4
糖,糖,5
稀土,稀土,5
焙烧,焙烧,1
铝,铝,4
材料工程,材料工程,1
放射性,放射性,7
原子,原子,8
氧化,氧化,2
电场,电场,3
气溶胶,气溶胶,4
带电粒子,带电粒子,2
核能,核能,3
碳,碳,12
废水,废水,3
钠,钠,2
盐浓度,盐浓度,2
有机体,有机体,2
焚烧,焚烧,2
加热,加热,5
有效性,有效性,1
单质,单质,1
计算机控制,计算机控制,1
爱因斯坦,爱因斯坦,5
中微子,中微子,6
尼古丁,尼古丁,1
酒精,酒精,5
能级,能级,1
固态,固态,2
化肥,化肥,3
乙醇,乙醇,5
分解,分解,7
藻酸钠,藻酸钠,1
海藻,海藻,3
海洛因,海洛因,3
毒品,毒品,9
普朗克常数,普朗克常数,2
精度,精度,4
纯度,纯度,1
钠离子,钠离子,2
可卡因,可卡因,3
利多卡因,利多卡因,2
铜,铜,5
银,银,3
铁,铁,2
氢,氢,6
氧,氧,6
氦,氦,5
光谱,光谱,2
化学元素,化学元素,2
核聚变,核聚变,2
锂,锂,4
副产品,副产品,4
元素周期表,元素周期表,1
脱水,脱水,2
燃料电池,燃料电池,4
炭,炭,2
太阳能,太阳能,15
安慰剂,安慰剂,2
抗生素,抗生素,2
氙,氙,1
放射性同位素,放射性同位素,4
等价,等价,1
流明,流明,1
塑料,塑料,7
晶体管,晶体管,5
量子力学,量子力学,7
正电荷,正电荷,1
负电荷,负电荷,1
组分,组分,2
微克,微克,2
PM2.5,PM2.5,4
微米,微米,3
拉曼光谱,拉曼光谱,1
显微镜,显微镜,2
化学组成,化学组成,3
丙硫氧嘧啶,丙硫氧嘧啶,1
软骨素,软骨素,1
饱和度,饱和度,1
海绵,海绵,1
疏水,疏水,2
墨水,墨水,1
核力,核力,1
甲烷,甲烷,2
气体,气体,11
浓缩铀,浓缩铀,1
电池,电池,18
半导体,半导体,3
氧气,氧气,9
摩尔,摩尔,1
纳米,纳米,11
核反应堆,核反应堆,4
铷,铷,1
烯,烯,2
神经元,神经元,6
烧瓶,烧瓶,1
含量,含量,10
微粒,微粒,1
汞,汞,1
维生素,维生素,3
转录,转录,3
光合作用,光合作用,2
颗粒,颗粒,5
磁铁,磁铁,2
