Source,Target,Type,Id,Label,Weight
安慰剂,激素,Undirected,1,,2.0
安慰剂,维生素,Undirected,3452,,2.0
安慰剂,磷酸酶,Undirected,2651,,2.0
安慰剂,葡萄酒,Undirected,2915,,1.0
安慰剂,显微镜,Undirected,1267,,1.0
安慰剂,氧化,Undirected,3602,,2.0
安慰剂,甲基化,Undirected,2665,,1.0
安慰剂,分子,Undirected,3702,,5.0
安慰剂,概率,Undirected,3858,,1.0
安慰剂,制备,Undirected,4362,,1.0
安慰剂,重金属,Undirected,3805,,1.0
安慰剂,合成,Undirected,2699,,3.0
安慰剂,钠离子,Undirected,4022,,1.0
安慰剂,海绵,Undirected,4271,,1.0
安慰剂,毒品,Undirected,2709,,2.0
安慰剂,核磁共振成像,Undirected,3250,,1.0
安慰剂,化学分析,Undirected,3603,,2.0
安慰剂,微米,Undirected,3745,,1.0
安慰剂,光谱,Undirected,2139,,3.0
安慰剂,同素异形,Undirected,678,,1.0
安慰剂,乙醛酶,Undirected,4166,,1.0
安慰剂,砒霜,Undirected,4044,,1.0
安慰剂,大蒜油,Undirected,1100,,2.0
安慰剂,基团,Undirected,3237,,2.0
安慰剂,阻断剂,Undirected,2723,,20.0
安慰剂,缓冲剂,Undirected,1986,,2.0
安慰剂,苏木,Undirected,4708,,1.0
安慰剂,进化树,Undirected,3786,,1.0
安慰剂,直线形,Undirected,4859,,1.0
安慰剂,卡马西平,Undirected,4137,,1.0
激素,葡萄酒,Undirected,3727,,3.0
激素,酒精,Undirected,1057,,1.0
激素,胆固醇,Undirected,4510,,1.0
激素,蔗糖,Undirected,2417,,1.0
激素,显微镜,Undirected,32,,9.0
激素,体积,Undirected,604,,1.0
激素,含量,Undirected,3321,,2.0
激素,概率,Undirected,1024,,4.0
激素,盐,Undirected,4063,,1.0
激素,光合作用,Undirected,2209,,1.0
激素,氢,Undirected,936,,1.0
激素,脱水,Undirected,1849,,1.0
激素,固体,Undirected,176,,1.0
激素,微克,Undirected,862,,3.0
激素,合成,Undirected,1967,,3.0
激素,异黄酮,Undirected,3417,,1.0
激素,抗生素,Undirected,2425,,1.0
激素,转运蛋白,Undirected,2677,,2.0
激素,神经元,Undirected,770,,1.0
激素,神经递质,Undirected,592,,3.0
激素,液体,Undirected,1656,,1.0
激素,氧气,Undirected,179,,1.0
激素,阴离子,Undirected,1112,,1.0
激素,钾,Undirected,1917,,1.0
激素,钻石,Undirected,2021,,1.0
激素,克隆,Undirected,574,,2.0
激素,有毒,Undirected,2280,,1.0
激素,咖啡因,Undirected,1581,,1.0
激素,脱氢酶,Undirected,1053,,1.0
激素,生物技术,Undirected,1553,,2.0
激素,醋,Undirected,2307,,1.0
激素,气味,Undirected,1705,,1.0
激素,纤维素,Undirected,1685,,1.0
激素,已经证明,Undirected,1356,,1.0
激素,可卡因,Undirected,981,,1.0
激素,配子,Undirected,252,,1.0
激素,柴油,Undirected,3167,,1.0
激素,试管,Undirected,1963,,1.0
激素,淀粉,Undirected,1135,,1.0
激素,发酵,Undirected,2634,,2.0
激素,乳酸,Undirected,798,,6.0
激素,天然香料,Undirected,444,,1.0
激素,胃肠道,Undirected,451,,1.0
激素,食用油,Undirected,2647,,1.0
激素,黑猩猩,Undirected,714,,2.0
激素,酯,Undirected,666,,1.0
激素,亚麻酸,Undirected,720,,2.0
激素,不饱和脂肪酸,Undirected,2548,,1.0
激素,科顿,Undirected,2963,,1.0
激素,游离,Undirected,3460,,2.0
激素,砒霜,Undirected,4507,,1.0
激素,乳清蛋白,Undirected,990,,1.0
激素,正铁血红蛋白,Undirected,811,,1.0
激素,糖皮质激素,Undirected,1105,,3.0
激素,可可脂,Undirected,1796,,1.0
激素,甘油三酯,Undirected,956,,1.0
激素,纯度,Undirected,2469,,1.0
激素,苯巴比妥,Undirected,986,,1.0
激素,副产物,Undirected,3035,,1.0
激素,脂肪组织,Undirected,1385,,1.0
激素,反应程度,Undirected,1178,,2.0
激素,脱氢表雄酮,Undirected,1258,,3.0
激素,结合水,Undirected,4392,,1.0
激素,配糖体,Undirected,1389,,1.0
激素,总产量,Undirected,1407,,1.0
激素,尼古丁,Undirected,1887,,1.0
激素,停留时间,Undirected,2215,,1.0
激素,促性腺激素,Undirected,4536,,1.0
激素,褪黑素,Undirected,2560,,2.0
激素,草甘膦,Undirected,2177,,2.0
激素,加成,Undirected,2400,,1.0
维生素,激素,Undirected,1675,,1.0
维生素,磷酸酶,Undirected,2,,1.0
维生素,中位数,Undirected,2652,,2.0
维生素,蛋白,Undirected,1056,,2.0
维生素,含量,Undirected,438,,15.0
维生素,消毒,Undirected,2236,,3.0
维生素,颗粒,Undirected,2318,,2.0
维生素,性激素,Undirected,2559,,2.0
维生素,异黄酮,Undirected,2958,,2.0
维生素,机理,Undirected,414,,2.0
维生素,氧气,Undirected,231,,3.0
维生素,油脂,Undirected,4839,,1.0
维生素,亚硝酸盐,Undirected,615,,1.0
维生素,脂肪酸,Undirected,2228,,1.0
维生素,气味,Undirected,3145,,3.0
维生素,香豆素,Undirected,216,,3.0
维生素,营养素,Undirected,4188,,1.0
维生素,低血糖,Undirected,3627,,1.0
维生素,淀粉,Undirected,1797,,1.0
维生素,干酪,Undirected,2187,,1.0
维生素,限度,Undirected,3876,,1.0
维生素,不溶性,Undirected,526,,2.0
维生素,副产物,Undirected,1017,,2.0
维生素,二十二碳,Undirected,4733,,1.0
维生素,二氧化硫,Undirected,4734,,1.0
维生素,碱中毒,Undirected,4667,,1.0
维生素,草甘膦,Undirected,4830,,1.0
维生素,二甲苯,Undirected,2597,,3.0
维生素,脂肪,Undirected,4423,,1.0
磷酸酶,核苷酸,Undirected,4228,,1.0
