Id,Label,度
光合作用,光合作用,6
氧,氧,7
带电粒子,带电粒子,3
残留物,残留物,3
核燃料,核燃料,4
太阳辐射,太阳辐射,5
光谱,光谱,7
取样,取样,6
核能,核能,2
分解,分解,16
温差,温差,2
气体,气体,17
氧化钚,氧化钚,2
短周期,短周期,2
放射性同位素,放射性同位素,2
化学反应,化学反应,11
自旋,自旋,2
液态,液态,6
陶瓷,陶瓷,2
太阳能,太阳能,4
钚,钚,3
电池,电池,9
铸铁,铸铁,4
硅,硅,7
烯,烯,8
极限拉伸强度,极限拉伸强度,2
食品添加剂,食品添加剂,4
葡萄糖,葡萄糖,6
氯原子,氯原子,2
焦糖,焦糖,2
糖精,糖精,3
蔗糖,蔗糖,6
分子,分子,18
吸收率,吸收率,5
糖,糖,12
体积,体积,12
能量,能量,37
冰毒,冰毒,2
酒精,酒精,10
燃料电池,燃料电池,2
燃烧,燃烧,10
化学能,化学能,2
丁烷,丁烷,2
含量,含量,38
加热,加热,12
挥发物,挥发物,2
紫外光谱,紫外光谱,2
氢氧化物,氢氧化物,3
概率,概率,11
石膏,石膏,5
颗粒,颗粒,11
氟,氟,3
温度,温度,25
氢,氢,7
辉石,辉石,5
低能中子,低能中子,2
砂岩,砂岩,2
氯,氯,2
干燥,干燥,11
熔融,熔融,4
页岩,页岩,2
精度,精度,4
沉积岩,沉积岩,2
极化率,极化率,2
羟基化合物,羟基化合物,2
粉尘,粉尘,3
重叠,重叠,2
近红外光谱,近红外光谱,3
陨石,陨石,6
磷灰石,磷灰石,2
灵敏度,灵敏度,2
粘土,粘土,2
矿物,矿物,7
极化,极化,2
火成岩,火成岩,4
波长,波长,6
羟基,羟基,2
尖晶石,尖晶石,4
谱线,谱线,2
微探针,微探针,2
有效面积,有效面积,2
左旋,左旋,3
重金属,重金属,7
金箔,金箔,6
四价,四价,2
产率,产率,2
过敏反应,过敏反应,2
对照试验,对照试验,4
食用色素,食用色素,3
细胞膜,细胞膜,6
脱水,脱水,7
合成,合成,12
盐浓度,盐浓度,3
酸碱平衡,酸碱平衡,2
食盐水,食盐水,2
盐,盐,18
高酸,高酸,3
甘油,甘油,4
渗透压,渗透压,5
酶,酶,9
化学合成,化学合成,7
抗氧化,抗氧化,5
脂肪酸,脂肪酸,4
海水,海水,17
维生素,维生素,12
黑猩猩,黑猩猩,3
微量营养,微量营养,2
激素,激素,13
乳清蛋白,乳清蛋白,4
微量元素,微量元素,2
磷,磷,4
吸水能力,吸水能力,3
不饱和脂肪酸,不饱和脂肪酸,2
油脂,油脂,4
鱼油,鱼油,4
微生物,微生物,11
钙,钙,9
薄荷,薄荷,3
材料工程,材料工程,4
生物技术,生物技术,2
铁,铁,8
介质,介质,1
玄武岩,玄武岩,1
熔岩,熔岩,3
X射线,X射线,3
放射性,放射性,3
富集,富集,5
反射率,反射率,1
精细结构,精细结构,1
命名,命名,8
镁,镁,7
化学键,化学键,2
族,族,3
均质性,均质性,2
铝,铝,4
粒子,粒子,10
液相,液相,2
硅酸盐,硅酸盐,4
介电常数,介电常数,2
岩浆,岩浆,5
搅拌,搅拌,3
热压,热压,2
发生器,发生器,2
磁控管,磁控管,2
病毒基因,病毒基因,4
血凝素,血凝素,2
二氧化碳,二氧化碳,10
红外,红外,4
临界点,临界点,3
发酵,发酵,9
机理,机理,8
胃肠道,胃肠道,2
抗生素,抗生素,19
离子载体,离子载体,2
头孢氨苄,头孢氨苄,2
葡萄酒,葡萄酒,6
游离,游离,5
咖啡因,咖啡因,6
尼古丁,尼古丁,3
免疫抑制,免疫抑制,3
茶多酚,茶多酚,6
促进作用,促进作用,2
谷氨酰胺,谷氨酰胺,3
谷氨酸,谷氨酸,7
碘,碘,2
明胶,明胶,2
洗涤,洗涤,4
铅,铅,10
分子结构,分子结构,4
镉,镉,4
异黄酮,异黄酮,2
滴滴涕,滴滴涕,3
化学成分,化学成分,8
植物激素,植物激素,2
汞,汞,2
温度计,温度计,5
吸收能量,吸收能量,2
降解,降解,6
水分,水分,11
仿生材料,仿生材料,2
氧气,氧气,14
铝合金,铝合金,1
酸,酸,6
刺激作用,刺激作用,1
自主神经系统,自主神经系统,4
饱和度,饱和度,2
气流,气流,1
神经元,神经元,7
添加剂,添加剂,1
防腐剂,防腐剂,2
卵黄,卵黄,1
碳酸钙,碳酸钙,5
蛋白,蛋白,13
腺体,腺体,3
蜡烛,蜡烛,5
结肠癌,结肠癌,2
实验设计,实验设计,3
大分子,大分子,3
有效性,有效性,3
抗体,抗体,4
正链,正链,1
保护剂,保护剂,1
沉淀,沉淀,2
胆固醇,胆固醇,6
化疗药物,化疗药物,2
钠,钠,5
钠离子,钠离子,2
乳酸,乳酸,6
液体,液体,12
摩尔,摩尔,2
溶液,溶液,5
碳酸氢钠,碳酸氢钠,2
吸收的能量,吸收的能量,3
循环衰竭,循环衰竭,2
钾,钾,2
有毒,有毒,6
桉树脑,桉树脑,2
肉豆蔻醚,肉豆蔻醚,2
紫罗酮,紫罗酮,2
桉叶油素,桉叶油素,2
核苷酸,核苷酸,6
酯,酯,5
草木灰,草木灰,2
拉德,拉德,3
总氨基酸,总氨基酸,3
酮类,酮类,2
毒品,毒品,2
天冬氨酸,天冬氨酸,2
丁香酚,丁香酚,2
伞花烃,伞花烃,2
蒎烯,蒎烯,4
吡嗪,吡嗪,2
乙酸松油酯,乙酸松油酯,2
月桂,月桂,1
升华,升华,5
橙花醛,橙花醛,2
挥发,挥发,3
中性,中性,2
甲烷,甲烷,7
等离子体,等离子体,2
氮,氮,7
一氧化碳,一氧化碳,3
胶片,胶片,2
固态,固态,6
墨水,墨水,4
晶体管,晶体管,2
电子数,电子数,1
安慰剂,安慰剂,10
氧化,氧化,4
粘多糖,粘多糖,3
软骨素,软骨素,2
化学武器,化学武器,4
抑制作用,抑制作用,4
葡萄糖胺,葡萄糖胺,2
国际单位,国际单位,1
过滤,过滤,5
锇,锇,3
塑料,塑料,9
粘性液体,粘性液体,2
电子式,电子式,1
淀粉,淀粉,5
砷,砷,13
固体,固体,8
空白对照,空白对照,2
透明质酸,透明质酸,2
连锁反应,连锁反应,1
普通玻璃,普通玻璃,2
能量代谢,能量代谢,2
碳循环,碳循环,2
制备,制备,2
室温,室温,3
干酪,干酪,1
气味,气味,3
脂肪含量,脂肪含量,2
胶质,胶质,3
神经递质,神经递质,2
化学组成,化学组成,3
变性,变性,3
酸碱度,酸碱度,4
肠神经系统,肠神经系统,2
多巴胺,多巴胺,2
相互作用,相互作用,3
songshuhui,songshuhui,0
量子力学,量子力学,1
量子,量子,3
液化,液化,2
超临界二氧化碳,超临界二氧化碳,1
转变温度,转变温度,1
萃取,萃取,3
特异性,特异性,1
临界现象,临界现象,1
活性物质,活性物质,1
表面张力,表面张力,1
甜味剂,甜味剂,6
气态,气态,2
临界温度,临界温度,1
粘度,粘度,1
临界态,临界态,1
化工技术,化工技术,1
氰化物,氰化物,1
胰岛素,胰岛素,1
肌球蛋白,肌球蛋白,1
铁丝网,铁丝网,2
自溶,自溶,1
甲醇,甲醇,1
副产物,副产物,3
硫化氢,硫化氢,3
大理石,大理石,2
毛细血管,毛细血管,1
环境温度,环境温度,2
纤维蛋白,纤维蛋白,1
热力学,热力学,1
能量转移,能量转移,1
酸性,酸性,5
海绵,海绵,5
水槽,水槽,2
导管,导管,2
硫,硫,4
氨气,氨气,3
反应速度,反应速度,2
肌动蛋白,肌动蛋白,2
氮化合物,氮化合物,2
基础代谢率,基础代谢率,2
低血糖,低血糖,2
衍生物,衍生物,2
半衰期,半衰期,4
乙胺嘧啶,乙胺嘧啶,2
转运蛋白,转运蛋白,2
甲基,甲基,2
钒,钒,2
转录,转录,5
阻断剂,阻断剂,10
氯喹,氯喹,2
化学家,化学家,6
磁铁矿,磁铁矿,4
冶炼,冶炼,4
钛,钛,2
锡,锡,2
炼金术,炼金术,7
化学工业,化学工业,10
纯物质,纯物质,2
组分,组分,3
银,银,4
杂质,杂质,6
化学过程,化学过程,2
金,金,9
熔炉,熔炉,6
铜,铜,4
血糖,血糖,4
阿斯巴甜,阿斯巴甜,1
蓄电池,蓄电池,1
质谱分析,质谱分析,1
着色剂,着色剂,1
科尔伯,科尔伯,8
青铜,青铜,4
等价,等价,1
微克,微克,2
增稠剂,增稠剂,2
有机砷,有机砷,2
砷超标,砷超标,1
镍合金,镍合金,1
聚合,聚合,2
四面体,四面体,2
核聚变,核聚变,3
能级,能级,2
单质,单质,4
酯化,酯化,2
球粒陨石,球粒陨石,2
碳酸,碳酸,3
无机物,无机物,3
碳链,碳链,2
价态,价态,2
氦,氦,4
碳,碳,7
石榴石,石榴石,2
元素周期表,元素周期表,3
镍,镍,2
合金,合金,2
矿石,矿石,2
功能材料,功能材料,2
化学性质,化学性质,3
氢化物,氢化物,2
化学式,化学式,2
化学活性,化学活性,2
石英,石英,3
原子序数,原子序数,2
边界层,边界层,2
阳离子,阳离子,2
硅氧四面体,硅氧四面体,2
赤铁矿,赤铁矿,2
铁原子,铁原子,1
爆炸物,爆炸物,1
氖,氖,1
原子核,原子核,1
释放能量,释放能量,1
锌,锌,3
释放的能量,释放的能量,2
铀,铀,2
铂,铂,2
铋,铋,2
铍,铍,2
原子,原子,5
壳结构,壳结构,2
中子俘获,中子俘获,2
纯度,纯度,4
碱基,碱基,2
右旋,右旋,2
核酸,核酸,3
双螺旋,双螺旋,2
神经生物学,神经生物学,2
絮状物,絮状物,2
氯化铵,氯化铵,2
消毒,消毒,3
铵盐,铵盐,1
苯,苯,3
癸基,癸基,1
仲胺,仲胺,1
氯铵,氯铵,1
季铵,季铵,1
钍,钍,1
铱,铱,1
铕,铕,1
稀土,稀土,1
钴蓝,钴蓝,1
漂白剂,漂白剂,3
显微镜,显微镜,4
电子显微镜,电子显微镜,3
方向性,方向性,2
二噁英,二噁英,1
酸奶,酸奶,3
植酸,植酸,1
葡萄糖酸钙,葡萄糖酸钙,1
锰,锰,1
鱼肝油,鱼肝油,1
防晒霜,防晒霜,1
乳酸钙,乳酸钙,1
科里,科里,1
被子植物,被子植物,1
杀虫剂,杀虫剂,3
冻干,冻干,2
催化,催化,3
有机合成,有机合成,1
反应器,反应器,1
离子交换,离子交换,1
叶绿素,叶绿素,1
反应物,反应物,1
洗脱,洗脱,1
铵离子,铵离子,1
叶绿体,叶绿体,2
膜分离,膜分离,2
乙胺,乙胺,1
反应混合物,反应混合物,2
合成酶,合成酶,2
乙酸,乙酸,2
硫酸,硫酸,3
重力加速度,重力加速度,1
生物燃料电池,生物燃料电池,2
环境科学,环境科学,3
氧化剂,氧化剂,2
化能合成,化能合成,1
脂肪组织,脂肪组织,2
乳化,乳化,2
植物油,植物油,2
油酸,油酸,2
试管,试管,2
皂素,皂素,2
甘油三酯,甘油三酯,2
表面活性剂,表面活性剂,1
有机分子,有机分子,1
油性,油性,1
疏水,疏水,1
表面活性,表面活性,1
水解,水解,1
淀粉分解,淀粉分解,1
显性基因,显性基因,1
孟德尔,孟德尔,1
异物,异物,1
酵母,酵母,3
糖类,糖类,1
肌苷酸,肌苷酸,1
溶液浓度,溶液浓度,1
弱碱性,弱碱性,1
酸碱性,酸碱性,1
纤维素,纤维素,1
固体物质,固体物质,1
景天酸,景天酸,1
多糖,多糖,1
烧瓶,烧瓶,2
化工厂,化工厂,3
掩蔽,掩蔽,1
青霉素,青霉素,2
废水,废水,2
中间体,中间体,2
苯胺紫,苯胺紫,3
铬,铬,3
碳氢化合物,碳氢化合物,3
挥发性溶剂,挥发性溶剂,2
硝基苯,硝基苯,2
砷酸,砷酸,1
炸药,炸药,1
三氧化二砷,三氧化二砷,1
强酸,强酸,1
可溶性,可溶性,1
甲苯,甲苯,3
酸溶液,酸溶液,1
油页岩,油页岩,1
砒霜,砒霜,1
苯胺,苯胺,2
稀酸,稀酸,1
麻,麻,1
激光,激光,3
碳酸钠,碳酸钠,1
拜尔,拜尔,2
靛蓝,靛蓝,1
胺类,胺类,1
碳氢键,碳氢键,1
羊毛,羊毛,1
松焦油,松焦油,1
植物染料,植物染料,1
煤气,煤气,1
合成染料,合成染料,1
人造染料,人造染料,1
基团,基团,1
甲苯胺,甲苯胺,1
苯酚,苯酚,1
重铬酸钾,重铬酸钾,1
苯胺染料,苯胺染料,1
羊膜,羊膜,1
物理化学,物理化学,5
玉米淀粉,玉米淀粉,2
主链,主链,1
支链,支链,1
椰子油,椰子油,2
淀粉含量,淀粉含量,1
棕榈酸,棕榈酸,1
瑞利散射,瑞利散射,2
重力势,重力势,2
氢化,氢化,2
硬度,硬度,2
黑色素,黑色素,2
蚁酸,蚁酸,2
呋喃,呋喃,2
漆酚,漆酚,2
环氧树脂,环氧树脂,2
瓷器,瓷器,2
注射器,注射器,2
化工原料,化工原料,2
草酸钙,草酸钙,1
熔化,熔化,1
理想气体,理想气体,1
铁磁性,铁磁性,1
液晶,液晶,1
化石燃料,化石燃料,2
酸度,酸度,2
海藻,海藻,2
煤,煤,2
再吸收,再吸收,2
天然气,天然气,2
腐蚀,腐蚀,2
碱性,碱性,2
糊化,糊化,2
淀粉糊,淀粉糊,1
钙离子,钙离子,2
钙化,钙化,1
浮游植物,浮游植物,1
离子浓度,离子浓度,1
腐蚀性,腐蚀性,1
苯巴比妥,苯巴比妥,1
乳糖,乳糖,2
乳清,乳清,2
脂肪,脂肪,7
聚合物,聚合物,3
叔胺,叔胺,1
基本粒子,基本粒子,1
反射器,反射器,1
链霉素,链霉素,1
提纯,提纯,1
脂类,脂类,1
抗生素抗性,抗生素抗性,1
复合物,复合物,1
香豆素,香豆素,1
纳米,纳米,2
核反应堆,核反应堆,1
原子弹,原子弹,1
