Id,Label,度
分子,分子,73
机理,机理,36
克隆,克隆,8
生物技术,生物技术,21
天然气,天然气,93
石油工业,石油工业,7
油气,油气,51
液化天然气,液化天然气,12
毒品,毒品,30
酸奶,酸奶,21
糖,糖,32
相互作用,相互作用,13
材料化学,材料化学,5
动力学,动力学,22
原子,原子,19
颗粒,颗粒,44
银,银,19
分子碰撞,分子碰撞,2
非弹性散射,非弹性散射,2
能量,能量,114
固体,固体,18
钢铁,钢铁,83
焦化,焦化,5
燃烧,燃烧,91
工程塑料,工程塑料,2
热压,热压,3
化肥,化肥,34
温差,温差,16
焚烧,焚烧,34
晶体管,晶体管,3
集成电路,集成电路,15
咖啡因,咖啡因,2
有毒,有毒,8
防腐剂,防腐剂,11
微生物,微生物,32
太阳能,太阳能,58
风能,风能,18
大理石,大理石,13
限度,限度,7
金,金,70
焊接,焊接,38
芒硝,芒硝,1
肌瘤,肌瘤,2
总产量,总产量,9
原油,原油,25
煤,煤,63
磁场,磁场,8
液体,液体,43
夸克,夸克,2
粒子,粒子,30
二氧化锰,二氧化锰,2
废水,废水,34
气味,气味,55
二氧化硫,二氧化硫,36
废渣,废渣,19
重金属,重金属,32
精度,精度,36
水污染,水污染,38
消毒,消毒,18
共感染,共感染,2
脱硫,脱硫,25
温度,温度,83
热泵,热泵,2
拜尔,拜尔,2
周期律,周期律,2
碳,碳,52
蓄电池,蓄电池,14
硒,硒,11
固态,固态,12
锌,锌,12
连锁反应,连锁反应,11
竞争性,竞争性,18
量子力学,量子力学,7
自旋,自旋,3
电子自旋,电子自旋,2
量子,量子,22
心电图,心电图,4
导管,导管,6
电池,电池,66
空气电池,空气电池,1
沼气,沼气,7
复合型,复合型,21
方向性,方向性,5
取样,取样,19
结构设计,结构设计,9
瓦斯,瓦斯,10
组分,组分,9
生物质,生物质,17
氯酸钾,氯酸钾,1
炸药,炸药,19
熔化,熔化,6
铝,铝,22
化工厂,化工厂,30
铝粉,铝粉,4
气体,气体,51
升华,升华,31
酸性气体,酸性气体,3
介质,介质,8
单色器,单色器,2
光电,光电,34
抗体,抗体,11
抗病毒药物,抗病毒药物,2
砝码,砝码,23
白金,白金,3
铜,铜,32
辐射剂量,辐射剂量,4
原子弹,原子弹,19
放射性,放射性,13
激光,激光,47
细胞膜,细胞膜,5
葡萄酒,葡萄酒,14
发酵,发酵,61
巴斯德,巴斯德,6
加热,加热,19
分解,分解,42
化学家,化学家,13
硫,硫,12
肥料,肥料,27
液态,液态,8
酶,酶,7
有色金属,有色金属,20
过滤,过滤,42
再生资源,再生资源,6
碳钢,碳钢,4
合金,合金,10
降解,降解,8
废气,废气,25
碱催化,碱催化,2
含量,含量,79
苯,苯,22
生物降解,生物降解,6
挥发,挥发,10
相平衡,相平衡,2
正态分布,正态分布,3
微克,微克,18
电子流,电子流,1
干点,干点,18
液化气,液化气,6
多重性,多重性,4
体积,体积,24
核磁共振,核磁共振,2
试剂,试剂,12
天平,天平,18
还原,还原,10
复合材料,复合材料,21
气流,气流,16
盐,盐,16
海盐,海盐,6
脱硝,脱硝,14
页岩,页岩,30
氮氧化物,氮氧化物,28
钙,钙,12
有效性,有效性,24
柴油,柴油,35
二氧化碳,二氧化碳,52
促进作用,促进作用,20
聚合,聚合,22
命名,命名,32
铁,铁,47
氧气,氧气,35
钴酸,钴酸,2
化学变化,化学变化,3
锰,锰,10
化学原理,化学原理,1
张力,张力,17
最高价,最高价,3
中性,中性,8
石灰石,石灰石,5
临界质量,临界质量,1
肥皂泡,肥皂泡,1
燃料电池,燃料电池,13
气溶胶,气溶胶,8
脱水,脱水,8
精炼,精炼,4
变压器,变压器,12
温度计,温度计,8
瓷器,瓷器,17
沉淀,沉淀,38
蜡烛,蜡烛,22
绝缘体,绝缘体,3
二硫化碳,二硫化碳,2
醋,醋,13
硝酸盐,硝酸盐,5
亚硝酸盐,亚硝酸盐,5
抗病性,抗病性,2
酒精,酒精,17
合成,合成,37
铝合金,铝合金,15
最外层,最外层,2
砒霜,砒霜,3
化学元素,化学元素,7
渗析,渗析,2
含砷量,含砷量,4
砷,砷,14
氧化铝,氧化铝,6
光合作用,光合作用,6
网状,网状,1
水晶,水晶,19
陶瓷,陶瓷,22
互补性,互补性,10
蓝宝石,蓝宝石,8
波动性,波动性,4
杀虫剂,杀虫剂,5
维生素,维生素,25
塑料,塑料,38
铅酸,铅酸,6
空气净化器,空气净化器,12
酸雨,酸雨,2
辛酸,辛酸,22
重叠,重叠,12
花岗岩,花岗岩,6
等离子体,等离子体,5
地球化学,地球化学,6
红外,红外,23
X射线,X射线,2
概率,概率,36
硫酸,硫酸,4
材料科学,材料科学,16
材料工程,材料工程,6
空气污染指数,空气污染指数,4
可吸入颗粒物,可吸入颗粒物,6
微米,微米,7
协同效应,协同效应,3
烧结砖,烧结砖,2
金属冶炼,金属冶炼,3
电石,电石,4
化石燃料,化石燃料,5
定量分析,定量分析,6
氢,氢,8
氧,氧,12
氦,氦,2
释放的能量,释放的能量,2
胰岛素,胰岛素,6
低血糖,低血糖,7
构型,构型,5
光缆,光缆,6
煤化,煤化,10
核子,核子,5
核反应堆,核反应堆,5
椰子油,椰子油,4
油脂,油脂,6
性能试验,性能试验,1
海藻,海藻,8
棕榈油,棕榈油,2
化学武器,化学武器,7
亚甲蓝,亚甲蓝,2
蒸馏水,蒸馏水,1
化学反应,化学反应,21
单色,单色,2
环境温度,环境温度,8
核能,核能,27
醇,醇,4
快慢,快慢,4
化学药品,化学药品,1
浓硫酸,浓硫酸,1
氢氟酸,氢氟酸,1
腐蚀,腐蚀,18
腐蚀性,腐蚀性,5
酸,酸,14
二氧化硅,二氧化硅,1
萃取,萃取,9
非金属,非金属,2
溶液,溶液,6
漏斗,漏斗,7
应用化学,应用化学,13
粉尘,粉尘,27
洗煤,洗煤,1
焦炉煤气,焦炉煤气,3
炼焦,炼焦,4
转炉,转炉,7
抑制作用,抑制作用,3
气化,气化,5
煤气,煤气,14
环境容量,环境容量,10
空间结构,空间结构,3
化学成分,化学成分,11
鱼肝油,鱼肝油,3
维生素D,维生素D,3
碳纳米管,碳纳米管,3
拉曼,拉曼,5
中微子,中微子,5
搅拌,搅拌,12
铅,铅,23
活性物质,活性物质,5
轻油,轻油,4
羊毛,羊毛,7
不锈钢,不锈钢,14
游离,游离,21
冰毒,冰毒,10
停留时间,停留时间,5
碳酸,碳酸,2
砂岩,砂岩,6
丰度,丰度,9
火成岩,火成岩,2
沉积环境,沉积环境,3
黄土,黄土,18
水分,水分,20
自动分析,自动分析,3
海水,海水,32
墨水,墨水,8
天冬氨酸,天冬氨酸,1
氨基转移酶,氨基转移酶,1
干燥,干燥,30
过滤器,过滤器,3
弗兰克,弗兰克,5
红花油,红花油,1
平板玻璃,平板玻璃,15
火山岩,火山岩,6
氢键,氢键,3
甲氧基,甲氧基,2
硅,硅,10
烯,烯,12
流明,流明,2
钍,钍,2
周期性,周期性,10
