Source,Target,Type,Id,Label,Weight
沼气,光电,Undirected,23089,,1.0
沼气,化学需氧量,Undirected,23995,,1.0
沼气,变压器,Undirected,24871,,1.0
光电,裂变,Undirected,23571,,1.0
光电,天然气,Undirected,24103,,1.0
光电,化学工程,Undirected,24337,,1.0
光电,复合型,Undirected,24477,,1.0
光电,晶体管,Undirected,25159,,1.0
光电,等电子,Undirected,23605,,1.0
光电,化石燃料,Undirected,24284,,1.0
光电,竞争性,Undirected,23335,,1.0
光电,淬火,Undirected,24021,,1.0
光电,环境科学,Undirected,24106,,1.0
光电,风能,Undirected,23865,,2.0
光电,苯,Undirected,24690,,1.0
光电,烯,Undirected,23390,,2.0
光电,核磁共振,Undirected,24386,,1.0
光电,生物降解,Undirected,24795,,1.0
光电,添加剂,Undirected,25014,,1.0
光电,溶液,Undirected,24559,,1.0
光电,吸热,Undirected,25102,,1.0
光电,功能材料,Undirected,23538,,2.0
光电,润滑油,Undirected,24523,,1.0
光电,锎,Undirected,24089,,1.0
消毒,含量,Undirected,23090,,1.0
消毒,海水,Undirected,23157,,1.0
消毒,燃烧,Undirected,23503,,1.0
消毒,化学反应,Undirected,23509,,1.0
消毒,苯,Undirected,23380,,1.0
消毒,焚烧,Undirected,23682,,1.0
消毒,高分子化学,Undirected,23447,,1.0
含量,裂变,Undirected,24510,,1.0
含量,油气,Undirected,23180,,1.0
含量,分子,Undirected,23946,,1.0
含量,水污染,Undirected,24306,,1.0
含量,机理,Undirected,23602,,1.0
含量,抗生素,Undirected,24478,,2.0
含量,再生资源,Undirected,24941,,1.0
含量,苯,Undirected,24933,,1.0
含量,氧气,Undirected,23686,,1.0
含量,离子交换,Undirected,23514,,2.0
含量,植物油,Undirected,24639,,1.0
含量,粘度,Undirected,25108,,1.0
含量,异物,Undirected,24889,,1.0
含量,氨气,Undirected,25099,,1.0
过滤,肥料,Undirected,23091,,2.0
过滤,精度,Undirected,24817,,1.0
过滤,发酵,Undirected,23416,,1.0
过滤,海水,Undirected,23124,,2.0
过滤,颗粒,Undirected,23329,,2.0
过滤,减震器,Undirected,23465,,1.0
过滤,重金属,Undirected,24160,,1.0
过滤,燃烧,Undirected,23637,,2.0
过滤,酸,Undirected,24407,,1.0
过滤,取样,Undirected,24890,,1.0
过滤,试剂,Undirected,23968,,1.0
过滤,内质,Undirected,23757,,1.0
过滤,PM2.5,Undirected,24329,,2.0
过滤,比较法,Undirected,23885,,1.0
过滤,滤纸,Undirected,24043,,1.0
肥料,化肥,Undirected,23772,,2.0
肥料,气味,Undirected,24797,,1.0
肥料,磷,Undirected,23282,,2.0
肥料,焚烧,Undirected,24973,,1.0
肥料,激素,Undirected,24195,,1.0
砝码,联合疫苗,Undirected,23092,,2.0
砝码,电池,Undirected,24064,,1.0
游离,含量,Undirected,24258,,1.0
游离,防腐剂,Undirected,23093,,2.0
游离,机理,Undirected,24694,,1.0
游离,沃尔,Undirected,23743,,1.0
游离,敌敌畏,Undirected,24886,,1.0
防腐剂,糖,Undirected,25137,,1.0
防腐剂,生长激素,Undirected,24788,,1.0
铜,精度,Undirected,25134,,1.0
铜,碳,Undirected,23515,,2.0
铜,重金属,Undirected,24583,,1.0
银,铜,Undirected,24905,,10.0
银,海水,Undirected,23670,,2.0
银,糖,Undirected,23175,,1.0
银,毒品,Undirected,25050,,1.0
银,钴,Undirected,23260,,2.0
银,页岩,Undirected,24250,,1.0
银,温度,Undirected,24233,,1.0
银,电场,Undirected,23231,,1.0
银,乳糜,Undirected,23696,,2.0
银,有色金属,Undirected,24581,,1.0
银,试管,Undirected,24660,,1.0
精度,银,Undirected,23548,,2.0
精度,光缆,Undirected,23094,,3.0
精度,量子,Undirected,23931,,1.0
精度,温度,Undirected,24704,,1.0
精度,通用型,Undirected,24017,,1.0
精度,碳氢化合物,Undirected,24432,,1.0
精度,试剂,Undirected,24803,,1.0
精度,橡胶,Undirected,23890,,1.0
精度,测量精度,Undirected,24219,,1.0
光缆,抗生素,Undirected,25180,,1.0
激光,精度,Undirected,24424,,2.0
激光,有效性,Undirected,23095,,2.0
激光,命名,Undirected,23427,,1.0
激光,铝合金,Undirected,24139,,2.0
激光,柴油机,Undirected,24406,,1.0
激光,动力学,Undirected,24171,,1.0
激光,燃烧,Undirected,24200,,2.0
激光,炸药,Undirected,24086,,1.0
激光,铀,Undirected,23970,,1.0
激光,微生物,Undirected,23423,,1.0
激光,抗生素,Undirected,25155,,1.0
激光,防晒霜,Undirected,25151,,1.0
激光,铂,Undirected,23433,,3.0
激光,精练,Undirected,23446,,1.0
激光,高分子化学,Undirected,24420,,1.0
激光,铅,Undirected,25127,,1.0
激光,氙气,Undirected,23811,,1.0
激光,琥珀,Undirected,23980,,1.0
激光,精细结构,Undirected,23717,,1.0
有效性,波尔,Undirected,24068,,1.0
有效性,量子,Undirected,24637,,1.0
有效性,温度,Undirected,23709,,1.0
有效性,蛋白,Undirected,24164,,1.0
有效性,元素周期表,Undirected,23519,,2.0
有效性,汽车润滑油,Undirected,23655,,2.0
有效性,黄丹,Undirected,25078,,1.0
有效性,分子结构,Undirected,23716,,1.0
有效性,结构设计,Undirected,23977,,1.0
能量,铜,Undirected,24414,,1.0
能量,银,Undirected,23096,,1.0
能量,精度,Undirected,23303,,1.0
能量,激光,Undirected,24781,,1.0
能量,发酵,Undirected,23522,,2.0
能量,族,Undirected,23681,,2.0
能量,概率,Undirected,23116,,1.0
能量,重叠,Undirected,23651,,1.0
能量,气味,Undirected,23590,,2.0
能量,电池,Undirected,23552,,5.0
能量,颗粒,Undirected,23230,,1.0
能量,钢铁,Undirected,23357,,1.0
能量,介质,Undirected,23134,,2.0
能量,镀金,Undirected,24962,,1.0
能量,洗涤,Undirected,23146,,1.0
能量,辛酸,Undirected,24053,,1.0
能量,聚合,Undirected,23938,,1.0
能量,白糖,Undirected,23360,,1.0
能量,动力学,Undirected,24109,,1.0
能量,燃烧,Undirected,23708,,3.0
能量,炸药,Undirected,23671,,3.0
能量,化学反应,Undirected,24945,,2.0
能量,耐用性,Undirected,24120,,1.0
能量,温度,Undirected,24316,,2.0
能量,材料科学,Undirected,24893,,1.0
能量,磁场,Undirected,25112,,1.0
能量,黑猩猩,Undirected,23310,,1.0
能量,微米,Undirected,24355,,1.0
能量,氧气,Undirected,24785,,1.0
能量,化疗药物,Undirected,24260,,1.0
能量,荧光,Undirected,23428,,1.0
能量,固体,Undirected,24584,,1.0
能量,铅,Undirected,25018,,1.0
能量,粒子,Undirected,24100,,1.0
能量,主族,Undirected,23532,,1.0
能量,神经元,Undirected,24798,,1.0
能量,浸润,Undirected,25059,,1.0
能量,透析,Undirected,25048,,1.0
能量,沃尔,Undirected,23940,,1.0
能量,PM2.5,Undirected,24757,,2.0
能量,线粒体,Undirected,23961,,1.0
能量,花岗岩,Undirected,24541,,1.0
能量,煤渣,Undirected,24384,,1.0
能量,比能,Undirected,24246,,1.0
能量,胆固醇,Undirected,25079,,1.0
能量,电化学反应,Undirected,24452,,1.0
能量,淀粉,Undirected,24814,,1.0
能量,脆裂,Undirected,24885,,1.0
能量,周期律,Undirected,25025,,1.0
铁丝网,命名,Undirected,23097,,1.0
铁丝网,发酵,Undirected,23820,,1.0
铁丝网,酒精,Undirected,23640,,1.0
铁丝网,合成,Undirected,24519,,1.0
铁丝网,培养基,Undirected,24483,,1.0
命名,肥料,Undirected,23149,,1.0
命名,裂变,Undirected,23172,,1.0
命名,焊接,Undirected,23683,,1.0
命名,电池,Undirected,23186,,1.0
命名,拜耳,Undirected,23196,,1.0
命名,碳酸,Undirected,23574,,1.0
裂变,铝合金,Undirected,23098,,2.0
裂变,糖,Undirected,23213,,1.0
裂变,温度,Undirected,23903,,1.0
裂变,副产品,Undirected,23875,,1.0
铝合金,焊接,Undirected,25140,,1.0
铝合金,自燃,Undirected,24327,,1.0
化肥,原油,Undirected,23099,,2.0
化肥,塑料,Undirected,23953,,1.0
化肥,钢铁,Undirected,23133,,1.0
化肥,温度,Undirected,24760,,1.0
化肥,烧结砖,Undirected,23376,,1.0
化肥,镉,Undirected,23512,,2.0
化肥,总产量,Undirected,24108,,2.0
化肥,海盐,Undirected,24245,,1.0
化肥,再循环,Undirected,24719,,1.0
化肥,复合肥料,Undirected,25042,,1.0
原油,柴油,Undirected,24525,,1.0
原油,塑料,Undirected,23876,,1.0
原油,钢铁,Undirected,23467,,1.0
原油,核能,Undirected,25125,,1.0
原油,二氧化碳,Undirected,24264,,1.0
原油,温度,Undirected,25147,,1.0
