id,label,timeset,weighted degree
水,水,,508.0
金,金,,332.0
营养,营养,,142.0
银,银,,46.0
玻璃,玻璃,,86.0
浸润,浸润,,28.0
升华,升华,,43.0
沉淀,沉淀,,55.0
再生资源,再生资源,,26.0
电子,电子,,287.0
水泥,水泥,,161.0
空气质量,空气质量,,87.0
二氧化硫,二氧化硫,,73.0
有色金属,有色金属,,34.0
能源,能源,,403.0
燃烧,燃烧,,75.0
太阳能,太阳能,,108.0
能量,能量,,66.0
铁,铁,,86.0
不锈钢,不锈钢,,30.0
气体,气体,,54.0
瓦斯,瓦斯,,27.0
碳,碳,,244.0
分解,分解,,67.0
矿泉水,矿泉水,,40.0
天然气,天然气,,223.0
肥料,肥料,,55.0
煤,煤,,141.0
化学,化学,,67.0
煤化工,煤化工,,25.0
糖,糖,,25.0
盐,盐,,60.0
石油,石油,,223.0
食品添加剂,食品添加剂,,95.0
添加剂,添加剂,,83.0
冶炼,冶炼,,32.0
过滤,过滤,,33.0
汽油,汽油,,67.0
柴油,柴油,,45.0
维生素,维生素,,29.0
沼气,沼气,,75.0
二氧化碳,二氧化碳,,71.0
锶,锶,,25.0
陶瓷,陶瓷,,31.0
塑料,塑料,,51.0
发酵,发酵,,73.0
蛋白质,蛋白质,,26.0
燃料,燃料,,89.0
沥青,沥青,,25.0
水分,水分,,31.0
碳环,碳环,,36.0
含量,含量,,140.0
乙醇,乙醇,,36.0
铅,铅,,33.0
化肥,化肥,,58.0
天然,天然,,125.0
粉尘,粉尘,,32.0
单体,单体,,36.0
海水,海水,,31.0
放射性,放射性,,30.0
氧气,氧气,,27.0
食用油,食用油,,44.0
铜,铜,,72.0
电池,电池,,67.0
水污染,水污染,,32.0
废气,废气,,36.0
废水,废水,,45.0
干燥,干燥,,26.0
钢铁,钢铁,,105.0
分子,分子,,36.0
复合材料,复合材料,,27.0
油气,油气,,30.0
成分,成分,,31.0
铝,铝,,47.0
油脂,油脂,,35.0
热量,热量,,33.0
酿造,酿造,,39.0
焊接,焊接,,29.0
废渣,废渣,,26.0
液体,液体,,27.0
剂量,剂量,,26.0
富集,富集,,35.0
碘,碘,,31.0
化学需氧量,化学需氧量,,28.0
微量元素,微量元素,,26.0
