Source,Target,Type,id,label,timeset,weight
废水,大气污染,Undirected,5202,,,1.0
PM2.5,水,Undirected,5203,,,8.0
空气质量,水泥,Undirected,5204,,,6.0
有色金属,电子,Undirected,5207,,,3.0
铁,石油,Undirected,5211,,,5.0
水,天然,Undirected,5212,,,17.0
塑料,合成,Undirected,5215,,,1.0
水,煤,Undirected,5219,,,10.0
空气质量,矿泉水,Undirected,5220,,,1.0
水分,矿泉水,Undirected,5224,,,1.0
矿泉水,水,Undirected,5225,,,7.0
水泥,矿泉水,Undirected,5227,,,1.0
金,有机肥料,Undirected,5228,,,1.0
玻璃,塑料,Undirected,5230,,,3.0
二氧化碳,添加剂,Undirected,5233,,,1.0
煤,瓦斯,Undirected,5239,,,9.0
玻璃,添加剂,Undirected,5242,,,1.0
能源,维生素,Undirected,5245,,,3.0
天然,玻璃,Undirected,5246,,,1.0
天然气,能源,Undirected,5251,,,19.0
铁,含量,Undirected,5252,,,1.0
化学需氧量,能源,Undirected,5257,,,3.0
二氧化硫,水,Undirected,5259,,,1.0
电子,天然气,Undirected,5263,,,17.0
水泥,冶炼,Undirected,5264,,,6.0
废气,塑料,Undirected,5266,,,1.0
废水,水,Undirected,5267,,,2.0
镁,铝土矿,Undirected,5273,,,2.0
金,营养,Undirected,5276,,,3.0
焊接,浸润,Undirected,5278,,,1.0
塑料,金,Undirected,5279,,,3.0
维生素,含量,Undirected,5282,,,3.0
铁,聚合,Undirected,5285,,,2.0
回流,煤,Undirected,5288,,,2.0
蛋白质,含量,Undirected,5289,,,1.0
金,水,Undirected,5290,,,20.0
塑料,不锈钢,Undirected,5291,,,1.0
金,升华,Undirected,5295,,,5.0
电子,金,Undirected,5297,,,17.0
碳,半导体,Undirected,5298,,,3.0
有色金属,水,Undirected,5299,,,1.0
能源,油气,Undirected,5305,,,6.0
天然气,太阳能,Undirected,5311,,,2.0
能源,页岩气,Undirected,5312,,,8.0
天然气,石油,Undirected,5313,,,38.0
电子,添加剂,Undirected,5315,,,1.0
维生素,蛋白质,Undirected,5319,,,1.0
