Source,Target,Type,Id,Label,Weight
水,气流,Undirected,57849,,2.0
水,铜,Undirected,56679,,2.0
水,单体,Undirected,57000,,4.0
水,矿物质,Undirected,57632,,1.0
水,化学,Undirected,56257,,2.0
水,重金属,Undirected,57473,,1.0
水,水泥,Undirected,56661,,9.0
水,协同效应,Undirected,56363,,1.0
水,成分,Undirected,56730,,3.0
水,废气,Undirected,58235,,1.0
水,陶瓷,Undirected,57902,,1.0
水,水分,Undirected,58311,,1.0
水,钢铁,Undirected,57437,,1.0
水,盐,Undirected,57480,,4.0
水,糖,Undirected,56048,,3.0
水,钙,Undirected,57964,,1.0
水,硅,Undirected,56465,,1.0
水,水污染,Undirected,56329,,5.0
水,碳化,Undirected,56220,,1.0
水,脱硫,Undirected,56706,,2.0
水,氧气,Undirected,56090,,2.0
水,透析,Undirected,57626,,1.0
水,升华,Undirected,56837,,1.0
水,空气质量,Undirected,56918,,6.0
水,精炼,Undirected,56669,,1.0
水,煤,Undirected,57919,,2.0
水,氧,Undirected,57385,,1.0
水,半导体,Undirected,57262,,1.0
水,橡胶,Undirected,57345,,1.0
水,精度,Undirected,56390,,2.0
水,挥发性,Undirected,56202,,1.0
水,沥青,Undirected,56910,,2.0
水,抗生素,Undirected,57975,,1.0
水,液化天然气,Undirected,58301,,1.0
水,宝石,Undirected,56242,,1.0
水,瓷,Undirected,56254,,1.0
水,柴油,Undirected,58166,,1.0
水,贵金属,Undirected,56564,,1.0
水,缔合,Undirected,56271,,1.0
水,浊度,Undirected,56494,,3.0
水,氯,Undirected,56280,,4.0
水,水相,Undirected,56296,,3.0
水,磷,Undirected,56416,,2.0
水,瓦斯,Undirected,57054,,2.0
水,加热,Undirected,56539,,1.0
水,废渣,Undirected,56406,,1.0
水,热值,Undirected,57441,,1.0
水,污染负荷,Undirected,56576,,1.0
水,二氧化氮,Undirected,56892,,1.0
水,胶片,Undirected,56616,,1.0
水,放射性同位素,Undirected,56635,,1.0
水,轻水,Undirected,56810,,1.0
水,原子弹,Undirected,56814,,1.0
水,菜油,Undirected,58153,,1.0
水,固体,Undirected,58159,,1.0
水,湿度比,Undirected,56956,,1.0
水,试纸,Undirected,57932,,1.0
水,滤纸,Undirected,57129,,1.0
水,燃烧室,Undirected,57147,,1.0
水,苏打水,Undirected,57604,,1.0
水,红花油,Undirected,57772,,1.0
水,净水器,Undirected,57913,,2.0
能源,水,Undirected,57930,,10.0
能源,酿造,Undirected,55979,,1.0
能源,电子,Undirected,56463,,9.0
能源,油气,Undirected,57643,,3.0
能源,页岩气,Undirected,56395,,10.0
能源,单体,Undirected,56076,,1.0
能源,纯度,Undirected,58148,,1.0
能源,蓝宝石,Undirected,56010,,1.0
能源,碳,Undirected,56967,,8.0
能源,水晶,Undirected,57493,,1.0
能源,空间结构,Undirected,58072,,1.0
能源,含量,Undirected,57815,,1.0
能源,天然,Undirected,56084,,3.0
能源,陶瓷,Undirected,58137,,1.0
能源,竞争性,Undirected,56355,,2.0
能源,银,Undirected,57747,,1.0
能源,游离,Undirected,56761,,1.0
能源,气体,Undirected,56064,,2.0
能源,水污染,Undirected,57483,,3.0
能源,柏油,Undirected,56098,,1.0
能源,燃烧,Undirected,57439,,1.0
能源,石灰石,Undirected,56360,,2.0
能源,煤化程度,Undirected,56146,,1.0
能源,有机肥料,Undirected,57498,,1.0
能源,二氧化碳,Undirected,56154,,7.0
能源,氧,Undirected,57410,,1.0
能源,核能,Undirected,56559,,4.0
能源,电镀,Undirected,57150,,2.0
能源,沥青,Undirected,57146,,1.0
能源,氧化铝,Undirected,57720,,2.0
能源,胡萝卜素,Undirected,57362,,1.0
能源,融雪剂,Undirected,56256,,1.0
