Id,Label,度
稀土,稀土,4
太阳能,太阳能,31
金,金,65
科尔伯,科尔伯,1
深红色,深红色,1
食用油,食用油,5
铝板,铝板,4
铝,铝,23
原子弹,原子弹,2
墨水,墨水,2
空气质量,空气质量,34
微克,微克,4
PM2.5,PM2.5,21
水泥,水泥,41
能量,能量,41
精练,精练,2
燃料,燃料,23
水,水,138
醇,醇,6
再生资源,再生资源,15
瓷器,瓷器,6
乙醚,乙醚,2
提纯,提纯,6
液晶,液晶,5
电子,电子,101
能级,能级,6
能源,能源,92
石油,石油,39
有色金属,有色金属,8
天然气,天然气,45
润滑油,润滑油,5
维尼纶,维尼纶,6
铁,铁,28
化学需氧量,化学需氧量,7
水污染,水污染,24
废水,废水,22
磷,磷,12
臭氧,臭氧,7
矿泉水,矿泉水,13
精炼,精炼,5
天然,天然,48
粘度,粘度,3
加热,加热,8
机油,机油,3
精度,精度,10
硬度,硬度,7
淬火,淬火,2
半导体,半导体,16
大理石,大理石,5
二氧化碳,二氧化碳,23
淀粉,淀粉,8
页岩气,页岩气,46
空间结构,空间结构,3
钙,钙,13
钚,钚,1
核燃料,核燃料,1
微量元素,微量元素,10
营养,营养,36
维生素,维生素,7
糖,糖,8
维生素C,维生素C,3
吸收性,吸收性,1
丙烯,丙烯,3
铜,铜,21
烯,烯,19
砒霜,砒霜,3
发酵,发酵,13
石棉,石棉,2
成分,成分,13
固体燃料,固体燃料,2
红宝石,红宝石,2
升华,升华,10
悬浮物,悬浮物,7
过滤,过滤,19
活性炭,活性炭,4
化学,化学,41
水杨酸,水杨酸,1
三氧化二砷,三氧化二砷,1
单体,单体,12
乙酰水杨酸,乙酰水杨酸,2
化学成分,化学成分,2
氧气,氧气,12
陶器,陶器,4
浸润,浸润,12
银,银,15
渗透性,渗透性,1
副产物,副产物,7
催化剂,催化剂,11
亲水性,亲水性,3
沥青,沥青,9
废气,废气,27
煤渣,煤渣,3
石膏,石膏,9
瓦斯,瓦斯,7
热电,热电,7
减量化,减量化,9
脱硫,脱硫,9
废渣,废渣,10
粉尘,粉尘,12
电解槽,电解槽,3
合金,合金,7
空心砖,空心砖,2
循环过程,循环过程,1
煤,煤,35
化肥,化肥,24
卤族元素,卤族元素,1
肥料,肥料,16
贵金属,贵金属,4
镁离子,镁离子,1
不锈钢,不锈钢,15
微米,微米,7
盐,盐,8
海水,海水,10
富集,富集,19
含量,含量,50
镍,镍,5
黑色金属,黑色金属,2
锌,锌,7
中性盐,中性盐,1
油气,油气,27
族,族,7
玻璃,玻璃,36
化学肥料,化学肥料,2
碳,碳,60
流明,流明,1
金属冶炼,金属冶炼,5
油脂,油脂,11
化学物质,化学物质,8
重金属,重金属,19
瓷,瓷,4
空气净化器,空气净化器,4
耐用性,耐用性,2
玻璃纤维,玻璃纤维,8
蜡烛,蜡烛,4
青铜,青铜,5
透析,透析,8
布鲁诺,布鲁诺,1
钢铁,钢铁,32
钛,钛,3
光扩散,光扩散,2
绝对值,绝对值,2
室温,室温,2
干法,干法,4
有机物,有机物,11
沼气,沼气,8
有机肥料,有机肥料,18
大气污染,大气污染,30
当量,当量,4
挥发性,挥发性,6
煤化工,煤化工,3
复合材料,复合材料,15
抗生素,抗生素,10
化学疗法,化学疗法,1
衍生物,衍生物,2
化工厂,化工厂,9
漏斗,漏斗,6
浊度,浊度,6
尾矿,尾矿,2
焊接,焊接,17
晶体,晶体,2
制备,制备,9
剂量,剂量,4
分液,分液,1
乙醇,乙醇,11
矿物,矿物,6
氯喹,氯喹,1
碳循环,碳循环,4
塑料,塑料,26
介质,介质,6
汽油,汽油,14
平板玻璃,平板玻璃,5
轻合金,轻合金,3
可燃物,可燃物,3
燃烧,燃烧,30
液化石油气,液化石油气,5
液化气,液化气,6
一氧化碳,一氧化碳,7
锂电池,锂电池,8
竞争性,竞争性,7
镀金,镀金,2
熔炉,熔炉,1
盐卤,盐卤,1
化学武器,化学武器,2
添加剂,添加剂,12
卤,卤,4
镀镉,镀镉,1
镀铜,镀铜,1
氰化物,氰化物,6
高分子,高分子,5
电镀,电镀,8
煤气,煤气,6
耗氧量,耗氧量,3
酸,酸,3
钟乳石,钟乳石,2
烟酸,烟酸,1
核黄素,核黄素,1
脂肪,脂肪,4
维生素A,维生素A,1
钻石,钻石,6
合成,合成,20
核磁共振,核磁共振,5
亚硝胺,亚硝胺,1
杂环胺,杂环胺,1
苯并芘,苯并芘,1
分解,分解,37
偏酸,偏酸,1
气体,气体,21
苯,苯,3
甲醛,甲醛,3
二氧化硫,二氧化硫,18
氮氧化物,氮氧化物,13
干燥,干燥,9
光谱,光谱,2
液体,液体,7
高氯酸盐,高氯酸盐,1
甲状腺素,甲状腺素,1
液态,液态,3
热泵,热泵,6
蓝宝石,蓝宝石,4
精密仪器,精密仪器,3
己二酸,己二酸,2
聚氨基甲酸酯,聚氨基甲酸酯,4
脱钙,脱钙,1
维生素D3,维生素D3,1
腐蚀,腐蚀,7
氯,氯,9
酿造,酿造,6
钾,钾,8
锂,锂,5
自燃,自燃,3
蓄电池,蓄电池,4
燃料电池,燃料电池,1
氢化物,氢化物,1
原电池,原电池,1
电池,电池,22
鳔胶,鳔胶,1
金箔,金箔,6
降解,降解,7
微粒,微粒,2
水分,水分,19
含硫量,含硫量,1
热量,热量,6
柴油,柴油,18
吸附水,吸附水,1
植物油,植物油,3
碳化,碳化,9
硒,硒,19
沉淀,沉淀,20
三氯化铁,三氯化铁,1
抗腐蚀,抗腐蚀,1
焚烧,焚烧,21
气化,气化,4
再循环,再循环,2
合成气,合成气,2
氢气,氢气,1
堆肥,堆肥,4
液体燃料,液体燃料,1
临界点,临界点,2
食品添加剂,食品添加剂,6
离心力,离心力,1
饱和度,饱和度,3
橡胶,橡胶,11
矿石,矿石,11
净水器,净水器,3
短周期,短周期,6
离子浓度,离子浓度,2
质子,质子,2
熔岩,熔岩,1
粒子,粒子,3
聚氨酯,聚氨酯,7
液化,液化,7
温室气体,温室气体,6
磷肥,磷肥,2
钾肥,钾肥,2
碳铵,碳铵,1
水介质,水介质,1
周期性,周期性,7
硝酸甘油,硝酸甘油,1
血糖,血糖,7
脱硝,脱硝,12
冶炼,冶炼,9
分子,分子,19
回流,回流,8
聚乙烯,聚乙烯,2
过滤器,过滤器,1
气溶胶,气溶胶,1
协同作用,协同作用,2
铂,铂,2
焙烧,焙烧,1
红外,红外,4
甲醇,甲醇,6
铅,铅,5
糖精钠,糖精钠,1
铀,铀,2
稀有金属,稀有金属,1
钨,钨,4
钪,钪,1
铯,铯,1
铷,铷,1
垃圾资源,垃圾资源,5
镁,镁,9
碳酸盐,碳酸盐,2
偏硅酸,偏硅酸,4
硫,硫,5
锶,锶,8
天平,天平,2
大分子,大分子,6
激素,激素,5
钠离子,钠离子,2
无机肥料,无机肥料,1
水晶,水晶,4
碱性,碱性,4
炉渣,炉渣,2
滤液,滤液,1
气流,气流,4
变应原,变应原,1
过敏反应,过敏反应,1
热值,热值,1
聚合,聚合,21
絮凝剂,絮凝剂,1
原酸,原酸,1
萃取,萃取,3
强酸,强酸,2
氧化,氧化,6
氧,氧,8
活性污泥,活性污泥,1
脱氮,脱氮,1
纳米,纳米,10
DNA,DNA,9
聚氨酯树脂,聚氨酯树脂,1
刚玉,刚玉,1
金属涂料,金属涂料,1
页岩油,页岩油,1
重油,重油,5
稳定剂,稳定剂,2
聚氯乙烯,聚氯乙烯,4
弱碱性,弱碱性,7
柏油,柏油,2
玻璃棉,玻璃棉,1
铝土矿,铝土矿,1
石灰石,石灰石,8
荧光,荧光,2
铌,铌,14
功能材料,功能材料,3
核反应堆,核反应堆,1
裂变,裂变,4
量子,量子,4
二丙酸,二丙酸,1
液化天然气,液化天然气,3
残留物,残留物,4
溶解氧,溶解氧,2
矿物质,矿物质,7
苏打水,苏打水,4
亚硝酸盐,亚硝酸盐,1
三氯甲烷,三氯甲烷,2
钠,钠,4
防腐剂,防腐剂,4
蒸馏水,蒸馏水,1
硫酸镁,硫酸镁,1
滤布,滤布,1
低血糖,低血糖,1
导管,导管,4
酸雨,酸雨,2
碳素,碳素,3
白雾,白雾,2
多潜能,多潜能,1
靛,靛,2
锰,锰,6
电焊,电焊,1
电子数,电子数,2
磁铁矿,磁铁矿,1
放射性污染,放射性污染,1
放射性,放射性,4
硫酸钡,硫酸钡,1
四氧化三锰,四氧化三锰,1
硫酸锰,硫酸锰,1
钡,钡,2
锰渣,锰渣,2
铁氧体,铁氧体,1
正极,正极,1
硅,硅,9
新型能源,新型能源,4
锰铁,锰铁,1
锰酸,锰酸,1
硫化氢,硫化氢,6
乳酸,乳酸,1
等价,等价,1
酸性,酸性,3
朱砂,朱砂,5
酸奶,酸奶,4
硫化,硫化,3
连锁反应,连锁反应,1
PH,PH,1
配液,配液,1
调节剂,调节剂,2
倒伏,倒伏,2
焦化,焦化,2
作用机理,作用机理,1
氢,氢,4
结构设计,结构设计,2
中间体,中间体,3
砝码,砝码,12
链结构,链结构,1
氟,氟,2
生物质能,生物质能,3
再生利用,再生利用,3
甲烷,甲烷,4
碳环,碳环,7
相互作用,相互作用,3
醋,醋,1
摩尔,摩尔,2
铁矿石,铁矿石,6
碘伏,碘伏,1
风能,风能,6
燃烧气体,燃烧气体,3
燃烧室,燃烧室,1
复合体,复合体,1
汞,汞,6
爱因斯坦,爱因斯坦,2
蛋白质,蛋白质,3
回收率,回收率,2
醇类,醇类,1
铸铁,铸铁,2
冰毒,冰毒,3
麻黄碱,麻黄碱,2
取样,取样,6
相对湿度,相对湿度,3
黑火药,黑火药,1
肥皂泡,肥皂泡,1
热力学第一定律,热力学第一定律,1
实验设计,实验设计,1
陶瓷,陶瓷,13
熏蒸剂,熏蒸剂,1
厌氧消化,厌氧消化,3
羊毛,羊毛,1
保护剂,保护剂,1
抑菌剂,抑菌剂,1
粘合性,粘合性,1
砂岩,砂岩,2
黄麻,黄麻,1
水溶性,水溶性,2
辐射剂量,辐射剂量,1
固体,固体,5
气相,气相,1
真菌毒素,真菌毒素,1
荧光分光光度计,荧光分光光度计,1
分光光度计,分光光度计,2
原子,原子,4
气相色谱,气相色谱,1
标准物质,标准物质,1
液相色谱,液相色谱,1
铜绿,铜绿,1
氩气,氩气,1
载板,载板,1
水循环,水循环,2
脱水,脱水,1
通用硅酸盐水泥,通用硅酸盐水泥,1
氧化铝,氧化铝,4
杂质,杂质,6
乙烯基,乙烯基,1
氯化物,氯化物,1
化学工业,化学工业,1
生物合成,生物合成,2
二腈,二腈,1
己内酰胺,己内酰胺,1
漂白剂,漂白剂,1
过氧化氢,过氧化氢,2
光降解,光降解,1
光催化氧化,光催化氧化,1
光催化,光催化,1
生物降解,生物降解,2
氧化活性,氧化活性,1
纯度,纯度,4
刺激性气体,刺激性气体,2
海洛因,海洛因,2
试管,试管,3
试纸,试纸,2
酸碱度,酸碱度,2
光电子,光电子,2
导电高分子,导电高分子,1
辛酸,辛酸,2
滴定,滴定,1
二氧化氮,二氧化氮,3
着色剂,着色剂,1
亚硝酸钠,亚硝酸钠,1
发泡剂,发泡剂,1
酸度,酸度,1
日落黄,日落黄,1
天然纤维,天然纤维,1
生铁,生铁,1
熏蒸,熏蒸,2
减压阀,减压阀,1
过滤介质,过滤介质,1
反洗,反洗,2
膜分离,膜分离,3
过滤池,过滤池,2
溶液,溶液,3
维生素B9,维生素B9,3
对称性,对称性,1
防水涂料,防水涂料,2
粘结性,粘结性,1
热学,热学,1
化学反应,化学反应,6
链式反应,链式反应,2
炸药,炸药,6
黄土,黄土,2
硬化油,硬化油,1
聚糖,聚糖,1
软骨素,软骨素,1
水泥浆,水泥浆,1
定量分析,定量分析,2
导电性,导电性,3
动力学,动力学,3
光缆,光缆,2
有机分子,有机分子,2
二氧化硅,二氧化硅,1
乙烯,乙烯,1
氯霉素,氯霉素,1
茶油,茶油,4
增强材料,增强材料,1
碱水,碱水,1
超滤膜,超滤膜,2
化学组成,化学组成,1
氯化镁,氯化镁,1
量子力学,量子力学,3
水浴,水浴,1
针入度计,针入度计,1
挥发,挥发,2
铅酸,铅酸,2
钢化玻璃,钢化玻璃,3
协同效应,协同效应,3
杀螨剂,杀螨剂,1
酸蛋白,酸蛋白,1
维甲酸,维甲酸,1
铬,铬,5
镀镍,镀镍,1
脱气装置,脱气装置,1
转炉,转炉,2
透光性,透光性,1
纳米材料,纳米材料,3
镀层,镀层,2
已糖,已糖,1
乳化,乳化,2
反应机理,反应机理,1
植物激素,植物激素,1
噻吩,噻吩,1
铌酸,铌酸,1
特异性,特异性,1
唾液酸,唾液酸,1
分解产物,分解产物,1
阴极,阴极,1
塑性变形,塑性变形,1
光诱导,光诱导,1
氨曲南,氨曲南,1
热电偶,热电偶,1
配合力,配合力,1
色谱,色谱,1
湿法,湿法,4
苯二氮,苯二氮,1
氟苯,氟苯,1
四环素类,四环素类,1
电致发光,电致发光,1
电化学,电化学,2
营养物质,营养物质,5
微循环,微循环,2
微环境,微环境,1
固体化学,固体化学,1
RNA,RNA,2
有机体,有机体,1
生物燃料,生物燃料,1
棕榈油,棕榈油,1
氮,氮,4
冷却水,冷却水,1
冷却循环,冷却循环,1
酸洗,酸洗,2
氨基酸,氨基酸,3
菜油,菜油,1
空气污染指数,空气污染指数,1
电脉冲,电脉冲,1
等离子体,等离子体,1
新霉素,新霉素,1
链霉素,链霉素,1
氨基甙,氨基甙,1
卡那霉素,卡那霉素,1
颗粒度,颗粒度,1
电热器,电热器,1
非金属,非金属,1
水培,水培,1
对比试验,对比试验,2
聚乙烯塑料,聚乙烯塑料,1
天然色素,天然色素,2
化学药品,化学药品,1
红外光谱,红外光谱,1
丁胺,丁胺,1
钒,钒,2
材料工程,材料工程,1
气焊,气焊,1
聚合物,聚合物,1
煤质,煤质,2
迁移率,迁移率,1
晶体管,晶体管,2
铟,铟,1
法拉,法拉,2
三氧化二铁,三氧化二铁,1
杂环,杂环,1
刚性链,刚性链,1
硫铁矿,硫铁矿,1
化学家,化学家,2
沉淀物,沉淀物,1
无机物,无机物,3
镉中毒,镉中毒,1
有机溶剂,有机溶剂,1
金属材料,金属材料,3
金属离子,金属离子,3
镉,镉,2
滴滴涕,滴滴涕,1
砷,砷,4
多环芳烃,多环芳烃,1
白色污染,白色污染,1
分析化学,分析化学,1
药物化学,药物化学,1
咖啡因,咖啡因,1
抗氧化,抗氧化,1
卟啉,卟啉,1
可卡因,可卡因,1
暗物质,暗物质,3
核能,核能,1
电子伏特,电子伏特,1
伸长率,伸长率,1
压滤机,压滤机,1
钙钛矿,钙钛矿,2
腐蚀性,腐蚀性,4
钼,钼,2
熔化,熔化,1
硅铁,硅铁,1
合成氨,合成氨,2
退火窑,退火窑,1
铅蓄电池,铅蓄电池,2
硫磺,硫磺,2
硫酸,硫酸,2
洗煤,洗煤,2
工程塑料,工程塑料,3
脱硫用,脱硫用,1
冷却塔,冷却塔,1
不饱和,不饱和,1
绿油,绿油,1
细胞膜,细胞膜,1
麻黄碱类,麻黄碱类,1
磺胺,磺胺,1
碳氢化合物,碳氢化合物,2
煤油,煤油,5
白土,白土,2
区带,区带,1
游离,游离,2
电解液,电解液,1
安全玻璃,安全玻璃,1
玻璃纤维增强塑料,玻璃纤维增强塑料,1
胶粘剂,胶粘剂,1
聚苯乙烯,聚苯乙烯,1
绝缘电阻,绝缘电阻,1
加气混凝土,加气混凝土,1
乙炔,乙炔,2
低合金,低合金,1
气体分析仪,气体分析仪,1
花岗岩,花岗岩,2
铁锈,铁锈,1
蛋氨酸,蛋氨酸,1
电位,电位,3
糖脂,糖脂,1
碱中毒,碱中毒,1
一氧化氮,一氧化氮,1
钙通道,钙通道,1
合酶,合酶,1
磷酸化,磷酸化,1
钙离子,钙离子,1
抑制因子,抑制因子,1
低碳烯烃,低碳烯烃,1
锈,锈,1
琥珀,琥珀,2
荧光增白剂,荧光增白剂,1
原子核,原子核,2
构型,构型,1
结构模型,结构模型,1
丰度,丰度,1
化工技术,化工技术,1
蜂蜡,蜂蜡,1
脂溶性维生素,脂溶性维生素,1
防虫处理,防虫处理,1
放电,放电,1
蜡,蜡,2
侵染,侵染,1
聚乳酸,聚乳酸,1
耐火性,耐火性,1
型煤,型煤,1
燃料油,燃料油,2
轻柴油,轻柴油,1
试剂,试剂,1
油渣,油渣,1
松弛现象,松弛现象,1
氮化物,氮化物,1
多糖,多糖,2
联苄,联苄,1
阿奇霉素,阿奇霉素,2
长春西汀,长春西汀,1
卡托普利,卡托普利,1
沙眼衣原体,沙眼衣原体,1
单质,单质,1
黄蜡,黄蜡,1
纤维玻璃,纤维玻璃,1
滤纸,滤纸,1
矾土,矾土,1
氟石,氟石,1
基本单位,基本单位,1
直线加速器,直线加速器,1
非金属元素,非金属元素,1
硅胶,硅胶,2
辛醇,辛醇,1
乙酸,乙酸,1
烯烃,烯烃,1
聚酰亚胺,聚酰亚胺,1
多元醇,多元醇,1
酯,酯,1
紧密连接,紧密连接,1
盐精,盐精,1
交联,交联,1
芳纶,芳纶,1
材料科学,材料科学,3
高压冲洗,高压冲洗,1
皂化,皂化,1
白糖,白糖,1
吸收率,吸收率,1
结构分析,结构分析,1
吸收热,吸收热,1
标准差,标准差,1
粘土,粘土,2
仪器分析,仪器分析,1
钽,钽,1
空气监测,空气监测,1
磁铁,磁铁,1
铁丝网,铁丝网,3
干点,干点,1
太阳辐射,太阳辐射,1
挥发物,挥发物,1
磷酸盐,磷酸盐,1
碱化,碱化,1
糖皮质激素,糖皮质激素,1
氯气,氯气,1
轻金属,轻金属,1
硫氰,硫氰,1
宝石,宝石,2
锡,锡,1
微量营养,微量营养,1
铊,铊,1
地球化学,地球化学,1
碘,碘,1
轻油,轻油,1
胆固醇,胆固醇,1
结构特点,结构特点,2
中子,中子,1
氙,氙,1
氙气,氙气,2
元素周期表,元素周期表,1
核子,核子,2
称量,称量,2
灵敏度,灵敏度,2
自由电子,自由电子,2
势垒,势垒,1
脂类,脂类,1
分子反应,分子反应,1
合金钢,合金钢,1
钨钢,钨钢,1
净化装置,净化装置,1
硝酸锶,硝酸锶,1
有机相,有机相,1
乙酰,乙酰,1
胶片,胶片,1
激酶,激酶,1
粘附性,粘附性,1
多重性,多重性,1
水相,水相,1
氢能,氢能,1
温度计,温度计,1
阳极氧化,阳极氧化,1
汽化,汽化,1
孔雀石,孔雀石,1
硫酸钾复合肥,硫酸钾复合肥,1
对照试验,对照试验,1
红花油,红花油,1
二甲苯,二甲苯,2
甲苯,甲苯,2
中性,中性,1
色素,色素,2
硅酸盐,硅酸盐,1
添加物,添加物,1
活性物质,活性物质,1
预热器,预热器,1
硝石,硝石,1
结构化学,结构化学,1
分子化合物,分子化合物,1
药物设计,药物设计,1
可待因,可待因,1
固态,固态,2
氰化钠,氰化钠,3
气肿,气肿,1
丙酮,丙酮,1
乙酰胺,乙酰胺,1
甲胺,甲胺,1
甲酯,甲酯,1
单晶,单晶,1
油性,油性,1
羊脂,羊脂,1
氯酸钠,氯酸钠,1
己胺,己胺,1
甲酸,甲酸,1
硝基,硝基,1
硝酸钾,硝酸钾,1
仲丁基,仲丁基,1
光合作用,光合作用,1
碳酸钡,碳酸钡,1
物理法,物理法,1
化学处理,化学处理,1
熔融,熔融,1
耐甲氧西林,耐甲氧西林,1
生物碱,生物碱,1
粘合剂,粘合剂,1
核桃油,核桃油,1
亚麻酸,亚麻酸,1
可燃液体,可燃液体,1
胰岛素,胰岛素,1
透气性,透气性,1
