id,label,timeset,weighted degree
组分,组分,,20.0
分子,分子,,174.0
制备,制备,,21.0
神经递质,神经递质,,21.0
蛋白质,蛋白质,,124.0
纳米,纳米,,32.0
合成,合成,,87.0
电子,电子,,66.0
红外,红外,,25.0
能量,能量,,167.0
波长,波长,,24.0
发酵,发酵,,29.0
胆固醇,胆固醇,,27.0
酶,酶,,51.0
抗生素,抗生素,,38.0
成分,成分,,106.0
水,水,,140.0
液体,液体,,60.0
动力学,动力学,,22.0
荧光,荧光,,24.0
爱因斯坦,爱因斯坦,,31.0
粒子,粒子,,47.0
化学,化学,,123.0
糖,糖,,48.0
相互作用,相互作用,,69.0
量子,量子,,22.0
金,金,,32.0
化学物质,化学物质,,69.0
剂量,剂量,,52.0
氮,氮,,21.0
干燥,干燥,,36.0
DNA,DNA,,129.0
实验设计,实验设计,,24.0
天然,天然,,71.0
葡萄糖,葡萄糖,,23.0
胰岛素,胰岛素,,28.0
激素,激素,,55.0
含量,含量,,144.0
乙醇,乙醇,,40.0
塑料,塑料,,25.0
光谱,光谱,,26.0
质子,质子,,24.0
加热,加热,,37.0
营养,营养,,88.0
氧化,氧化,,29.0
氧气,氧气,,48.0
脂肪,脂肪,,71.0
化学反应,化学反应,,28.0
盐,盐,,24.0
微米,微米,,19.0
血糖,血糖,,19.0
太阳能,太阳能,,28.0
化学成分,化学成分,,28.0
固体,固体,,25.0
硅,硅,,19.0
降解,降解,,23.0
电池,电池,,28.0
溶液,溶液,,26.0
碳,碳,,48.0
特异性,特异性,,25.0
甲烷,甲烷,,19.0
能源,能源,,33.0
二氧化碳,二氧化碳,,51.0
温室气体,温室气体,,24.0
气体,气体,,67.0
化学家,化学家,,23.0
营养物质,营养物质,,20.0
热量,热量,,77.0
大气污染,大气污染,,24.0
燃料,燃料,,30.0
色素,色素,,22.0
RNA,RNA,,45.0
维生素,维生素,,25.0
水分,水分,,41.0
铁,铁,,26.0
分解,分解,,46.0
原子,原子,,42.0
氨基酸,氨基酸,,25.0
有机物,有机物,,23.0
海水,海水,,37.0
玻璃,玻璃,,25.0
燃烧,燃烧,,38.0
转录,转录,,21.0
液态,液态,,19.0
量子力学,量子力学,,19.0
石油,石油,,21.0
矿物质,矿物质,,23.0
氢,氢,,23.0
