Source,Target,Type,id,label,timeset,weight
分子,胰岛素,Undirected,40502,,,5.0
维生素,盐,Undirected,40503,,,1.0
血糖,营养,Undirected,40504,,,2.0
盐,合成,Undirected,40507,,,1.0
氢,硅,Undirected,40510,,,1.0
化学成分,钙,Undirected,40513,,,1.0
分子,能源,Undirected,40519,,,2.0
能量,加热,Undirected,40523,,,3.0
蛋白质,分子,Undirected,40529,,,6.0
原子,盐,Undirected,40532,,,1.0
合成,液体,Undirected,40538,,,3.0
合成,剂量,Undirected,40542,,,5.0
晶体,水,Undirected,40549,,,3.0
糖,化学家,Undirected,40557,,,1.0
燃料,能源,Undirected,40564,,,1.0
氢,燃烧,Undirected,40571,,,1.0
分子,甲烷,Undirected,40573,,,1.0
光谱,合成,Undirected,40574,,,1.0
气体,氮,Undirected,40575,,,2.0
化学反应,成分,Undirected,40576,,,3.0
能源,维生素,Undirected,40579,,,1.0
含量,脂肪,Undirected,40580,,,5.0
热量,蛋白质,Undirected,40582,,,1.0
化学物质,化学,Undirected,40584,,,2.0
含量,气体,Undirected,40590,,,5.0
天然,氧气,Undirected,40591,,,1.0
成分,水,Undirected,40592,,,14.0
化学成分,加热,Undirected,40593,,,1.0
相互作用,放射性,Undirected,40602,,,1.0
荧光,蛋白质,Undirected,40607,,,6.0
分子,氧气,Undirected,40608,,,2.0
分解,燃料,Undirected,40610,,,1.0
氢,成分,Undirected,40611,,,1.0
化学,维生素,Undirected,40618,,,1.0
脂肪,干燥,Undirected,40619,,,1.0
晶体,成分,Undirected,40620,,,5.0
相互作用,蛋白质,Undirected,40621,,,5.0
含量,金,Undirected,40624,,,4.0
糖,化学物质,Undirected,40626,,,1.0
分解,化学成分,Undirected,40629,,,2.0
DNA,制备,Undirected,40649,,,1.0
RNA,酶,Undirected,40650,,,1.0
碳,晶体,Undirected,40660,,,2.0
含量,原子,Undirected,40664,,,2.0
相互作用,精度,Undirected,40670,,,2.0
干燥,燃料,Undirected,40697,,,2.0
维生素,含量,Undirected,40701,,,2.0
成分,营养,Undirected,40703,,,4.0
蛋白质,铁,Undirected,40713,,,3.0
能量,波长,Undirected,40726,,,4.0
