Source,Target,Type,Id,Label,Weight
碳酸,液体,Undirected,5860,,1.0
碳酸,化学,Undirected,9610,,1.0
碳酸,脂肪,Undirected,10759,,1.0
碳酸,聚氯乙烯,Undirected,6331,,1.0
碳酸,塑料,Undirected,7014,,1.0
碳酸,标准大气压,Undirected,6587,,1.0
碳酸,溶解度,Undirected,10444,,1.0
碳酸,碱性食物,Undirected,8789,,1.0
液体,二氧化碳,Undirected,6429,,1.0
液体,乙醇,Undirected,10060,,1.0
液体,合金,Undirected,10182,,1.0
液体,原子,Undirected,7679,,2.0
液体,维生素C,Undirected,10851,,1.0
液体,DNA,Undirected,6481,,3.0
液体,荧光,Undirected,8672,,1.0
液体,气体,Undirected,9005,,1.0
液体,蛋白质,Undirected,7218,,1.0
液体,燃烧,Undirected,6375,,1.0
液体,塑料,Undirected,6543,,2.0
液体,加热,Undirected,10127,,1.0
液体,热量,Undirected,7488,,1.0
液体,糖皮质激素,Undirected,9421,,1.0
液体,维生素,Undirected,9611,,1.0
液体,固态,Undirected,11311,,1.0
液体,RNA,Undirected,8778,,1.0
液体,乙酰水杨酸,Undirected,7320,,1.0
液体,作用机理,Undirected,8716,,1.0
液体,类蛋白质,Undirected,10949,,1.0
液体,聚丙烯,Undirected,8556,,1.0
液体,微米,Undirected,7327,,1.0
液体,雌二醇,Undirected,6238,,1.0
液体,天然乳胶,Undirected,6381,,1.0
液体,液态,Undirected,9125,,1.0
液体,氟烷,Undirected,6874,,1.0
液体,抗凝剂,Undirected,10147,,1.0
液体,稳定剂,Undirected,8114,,1.0
液体,二氯甲烷,Undirected,8942,,1.0
液体,曲霉毒素,Undirected,11084,,1.0
二氧化碳,浸润,Undirected,5861,,1.0
二氧化碳,摩尔,Undirected,6589,,1.0
二氧化碳,燃料,Undirected,8897,,1.0
二氧化碳,氧气,Undirected,9802,,2.0
二氧化碳,含量,Undirected,8157,,1.0
二氧化碳,酸性,Undirected,10803,,1.0
二氧化碳,过滤,Undirected,6303,,1.0
二氧化碳,分解,Undirected,9540,,1.0
二氧化碳,气体,Undirected,7063,,2.0
二氧化碳,燃烧,Undirected,7452,,5.0
二氧化碳,加热,Undirected,9120,,1.0
二氧化碳,碳,Undirected,7895,,1.0
二氧化碳,杂质,Undirected,10281,,2.0
二氧化碳,淀粉,Undirected,6388,,1.0
二氧化碳,抗生素,Undirected,7593,,1.0
二氧化碳,天然气,Undirected,6300,,1.0
二氧化碳,不锈钢,Undirected,10740,,1.0
二氧化碳,臭氧,Undirected,9933,,1.0
二氧化碳,环境温度,Undirected,9966,,1.0
二氧化碳,氧化铁,Undirected,10112,,1.0
二氧化碳,酸碱度,Undirected,8799,,1.0
二氧化碳,二价铁离子,Undirected,8195,,1.0
二氧化碳,水循环,Undirected,9232,,1.0
二氧化碳,酸碱性,Undirected,10766,,1.0
二氧化碳,实验误差,Undirected,10464,,1.0
二氧化碳,配子囊,Undirected,10573,,1.0
浸润,乙醇,Undirected,9285,,1.0
浸润,水,Undirected,10354,,1.0
浸润,杂质,Undirected,5998,,1.0
浸润,热压,Undirected,10228,,1.0
浸润,扩张血管,Undirected,9801,,1.0
摩尔,乙醇,Undirected,5862,,1.0
摩尔,电子,Undirected,8225,,1.0
摩尔,能量,Undirected,11256,,1.0
摩尔,固态,Undirected,9874,,1.0
摩尔,化学成分,Undirected,8388,,1.0
摩尔,雄激素,Undirected,10655,,1.0
摩尔,钢铁,Undirected,9830,,1.0
摩尔,法拉,Undirected,7877,,1.0
摩尔,催化剂,Undirected,10913,,1.0
乙醇,原子,Undirected,10629,,1.0
乙醇,波长,Undirected,10507,,1.0
乙醇,营养,Undirected,10198,,1.0
乙醇,多巴胺,Undirected,8665,,3.0
乙醇,电子,Undirected,10752,,1.0
乙醇,糖,Undirected,6561,,1.0
乙醇,加热,Undirected,10875,,1.0
乙醇,溶液,Undirected,7788,,1.0
乙醇,维生素,Undirected,10905,,1.0
乙醇,盐,Undirected,7910,,1.0
乙醇,抗生素,Undirected,6509,,1.0
乙醇,金,Undirected,10109,,1.0
乙醇,酶,Undirected,11288,,1.0
乙醇,生物燃料电池,Undirected,6298,,1.0
乙醇,族,Undirected,11098,,1.0
乙醇,巴氏消毒法,Undirected,7131,,1.0
乙醇,甲醇,Undirected,10889,,1.0
乙醇,水溶液,Undirected,10172,,1.0
乙醇,核酸,Undirected,8976,,1.0
乙醇,无机汞,Undirected,8864,,1.0
乙醇,碳青霉烯,Undirected,9443,,1.0
乙醇,再蒸馏,Undirected,10677,,1.0
乙醇,呋喃唑酮,Undirected,10349,,1.0
汽化器,催产素,Undirected,5863,,1.0
催产素,脂肪,Undirected,10250,,1.0
催产素,蛋白质,Undirected,10353,,1.0
催产素,雌激素,Undirected,6879,,1.0
催产素,神经递质,Undirected,9429,,1.0
催产素,化学物质,Undirected,9486,,1.0
催产素,性激素,Undirected,6469,,1.0
催产素,卡托普利,Undirected,6999,,1.0
催产素,光气,Undirected,8181,,1.0
催产素,腺苷,Undirected,8804,,1.0
燃料,转录,Undirected,5864,,1.0
燃料,氧气,Undirected,9241,,1.0
燃料,水,Undirected,8171,,1.0
燃料,海水,Undirected,7536,,7.0
燃料,分解,Undirected,6323,,1.0
燃料,荧光,Undirected,9205,,1.0
燃料,电子,Undirected,10408,,1.0
燃料,中子,Undirected,7539,,8.0
燃料,纤维素,Undirected,8900,,1.0
燃料,碳,Undirected,6249,,1.0
燃料,水泥,Undirected,7894,,1.0
燃料,化学反应,Undirected,6232,,3.0
燃料,鲸油,Undirected,6050,,1.0
燃料,热含量,Undirected,6208,,1.0
燃料,原子弹,Undirected,7843,,1.0
燃料,副产物,Undirected,6291,,1.0
燃料,氢气,Undirected,9101,,1.0
燃料,熔融,Undirected,11080,,1.0
燃料,裂变,Undirected,7769,,2.0
燃料,肥料,Undirected,6882,,1.0
燃料,润滑油,Undirected,6706,,1.0
燃料,核反应堆,Undirected,7898,,5.0
燃料,升华,Undirected,9073,,1.0
燃料,活度,Undirected,8533,,1.0
燃料,热化学,Undirected,8577,,1.0
燃料,氦气,Undirected,10218,,1.0
转录,蛋白质,Undirected,11128,,1.0
转录,类蛋白质,Undirected,9767,,1.0
转录,硅,Undirected,10597,,1.0
转录,活化,Undirected,9346,,1.0
构型,非晶体,Undirected,5865,,1.0
