Id,Label,度
发酵,发酵,23
胆固醇,胆固醇,19
戊糖,戊糖,2
乳糖,乳糖,10
亚硫酸盐,亚硫酸盐,2
防腐剂,防腐剂,8
硫化,硫化,4
酶,酶,37
酿造,酿造,5
酸奶,酸奶,11
作用机理,作用机理,5
热量,热量,58
抗生素,抗生素,36
脂肪,脂肪,48
蛋白质,蛋白质,80
糖类,糖类,15
化学物质,化学物质,49
聚合,聚合,7
合成,合成,66
神经递质,神经递质,19
天然,天然,60
阻断剂,阻断剂,2
食品添加剂,食品添加剂,10
食用色素,食用色素,3
DNA,DNA,90
苯甲酸钠,苯甲酸钠,2
色素,色素,22
日落黄,日落黄,1
添加剂,添加剂,15
成分,成分,75
添加物,添加物,5
培养基,培养基,10
气体,气体,50
乙醇,乙醇,36
乙酸,乙酸,7
营养,营养,69
醋,醋,7
挥发性,挥发性,20
含量,含量,98
糖,糖,37
有机溶剂,有机溶剂,2
油分离,油分离,1
摩尔,摩尔,12
燃料,燃料,30
加热,加热,38
金,金,30
维生素,维生素,16
化学,化学,98
胶质,胶质,4
髓磷脂,髓磷脂,2
豆蔻酸,豆蔻酸,1
双酚A,双酚A,2
硫酸酯,硫酸酯,1
葡糖苷,葡糖苷,2
雌激素,雌激素,10
协同作用,协同作用,5
干燥,干燥,28
显影剂,显影剂,1
分子,分子,80
亲脂性,亲脂性,3
酸,酸,14
渗透性,渗透性,3
激素,激素,34
能量,能量,108
多巴胺,多巴胺,15
丙三醇,丙三醇,4
定性分析,定性分析,1
再吸收,再吸收,2
动力学,动力学,20
荧光,荧光,19
液相色谱,液相色谱,3
电化学,电化学,2
透析,透析,1
褪黑素,褪黑素,6
塑料,塑料,26
放电,放电,15
盖革计数器,盖革计数器,1
爱因斯坦,爱因斯坦,10
化学生物学,化学生物学,1
线粒体,线粒体,10
侵染,侵染,3
角质化,角质化,2
葡萄糖,葡萄糖,16
胰岛素,胰岛素,18
二硫键,二硫键,1
钠离子,钠离子,6
构型,构型,3
弱碱性,弱碱性,1
基团,基团,4
半胱氨酸,半胱氨酸,3
钙,钙,16
残基,残基,2
重油,重油,1
精度,精度,12
醇溶蛋白,醇溶蛋白,1
氧化,氧化,21
氧气,氧气,37
镁,镁,5
碱面,碱面,1
麦谷蛋白,麦谷蛋白,1
粘弹性,粘弹性,1
酪氨酸,酪氨酸,4
交联,交联,5
水,水,92
半胱氨酸盐酸盐,半胱氨酸盐酸盐,1
淀粉,淀粉,9
盐,盐,21
反应式,反应式,1
硬度,硬度,7
碱水,碱水,1
重金属,重金属,17
矿泉水,矿泉水,3
酸碱度,酸碱度,8
酸碱性,酸碱性,1
碳酸盐,碳酸盐,2
化学反应,化学反应,22
谷蛋白,谷蛋白,1
钾,钾,8
碱性,碱性,8
球蛋白,球蛋白,2
头孢菌素,头孢菌素,1
标准差,标准差,6
锂,锂,2
连锁反应,连锁反应,3
电池,电池,25
纳米,纳米,25
材料科学与工程,材料科学与工程,2
溶液,溶液,29
杂质,杂质,7
锌,锌,7
氧化物阴极,氧化物阴极,1
碳,碳,42
聚合物,聚合物,8
锂电池,锂电池,1
铝,铝,12
铜,铜,10
阴极,阴极,3
粒子,粒子,34
空气湿度,空气湿度,2
大气污染,大气污染,19
二氧化硫,二氧化硫,13
PM2.5,PM2.5,14
空气质量,空气质量,10
微米,微米,18
酸性气体,酸性气体,1
固体,固体,24
微克,微克,9
铅,铅,15
镉,镉,8
特异性,特异性,19
汞,汞,13
羟色胺,羟色胺,7
电子,电子,56
宝石,宝石,6
微量营养,微量营养,1
温室气体,温室气体,18
过敏反应,过敏反应,14
能源,能源,30
砷,砷,8
蚁酸,蚁酸,1
铁,铁,17
真菌毒素,真菌毒素,3
化学家,化学家,21
脱水,脱水,17
原肌球蛋白,原肌球蛋白,1
夸克,夸克,3
中微子,中微子,7
暗物质,暗物质,11
胶子,胶子,1
基本粒子,基本粒子,6
介子,介子,3
左旋,左旋,3
相互作用,相互作用,48
量子,量子,18
辐射热,辐射热,2
背景辐射,背景辐射,12
极化,极化,3
波长,波长,19
生长激素,生长激素,1
橡胶,橡胶,9
不饱和,不饱和,3
营养物质,营养物质,19
矿物质,矿物质,17
化学成分,化学成分,26
白细胞介素,白细胞介素,2
组分,组分,15
二氧化碳,二氧化碳,39
热含量,热含量,2
剂量,剂量,36
咖啡因,咖啡因,9
绕丹宁,绕丹宁,1
酯,酯,6
激活蛋白,激活蛋白,2
化学分解,化学分解,1
过氧化氢,过氧化氢,10
药理活性,药理活性,1
反应物,反应物,2
杀真菌剂,杀真菌剂,1
光诱导,光诱导,1
螯合,螯合,2
药物化学,药物化学,2
分子结构,分子结构,9
金属离子,金属离子,4
没食子酸,没食子酸,1
羟基,羟基,5
黄素,黄素,1
染料木黄酮,染料木黄酮,1
试剂,试剂,12
释放能量,释放能量,3
氡气,氡气,2
等离子体,等离子体,8
光谱,光谱,22
质子,质子,20
X射线,X射线,11
聚乙烯,聚乙烯,5
液体,液体,42
冷却塔,冷却塔,3
对照试验,对照试验,5
胺氧化酶,胺氧化酶,3
海洛因,海洛因,3
细胞膜,细胞膜,17
甘油三酯,甘油三酯,5
陶器,陶器,3
分解,分解,37
血糖,血糖,14
乳糖酶,乳糖酶,1
植物纤维,植物纤维,1
硫化氢,硫化氢,3
氧化剂,氧化剂,3
有机物,有机物,20
硫,硫,11
化能合成,化能合成,1
海水,海水,28
光合作用,光合作用,9
氧,氧,19
X射线衍射,X射线衍射,2
燃料电池,燃料电池,3
原子,原子,35
晶体,晶体,14
气体吸收,气体吸收,1
太阳能,太阳能,26
有机分子,有机分子,8
钴,钴,3
汽化器,汽化器,1
酚,酚,2
收敛性,收敛性,1
红外,红外,21
氮,氮,18
磷酸二酯酶,磷酸二酯酶,2
乙醚,乙醚,4
衍射,衍射,3
荧光光谱,荧光光谱,2
生物物理化学,生物物理化学,2
软木塞,软木塞,4
有机体,有机体,11
溶酶体膜,溶酶体膜,1
分子光谱,分子光谱,1
普朗克,普朗克,16
称量,称量,2
降解,降解,18
能量代谢,能量代谢,4
相对丰度,相对丰度,4
周期性,周期性,13
核酸,核酸,31
丰度,丰度,4
取样,取样,10
氨基酸,氨基酸,25
溴化,溴化,3
邻氯代苯亚甲基丙二腈,邻氯代苯亚甲基丙二腈,1
氯,氯,6
苯胺,苯胺,2
二甲苯,二甲苯,1
拮抗剂,拮抗剂,3
二苯并,二苯并,1
挥发,挥发,9
二氯甲烷,二氯甲烷,1
溴乙酸乙酯,溴乙酸乙酯,1
中性,中性,9
胡萝卜素,胡萝卜素,6
前体,前体,12
合成酶,合成酶,1
族,族,5
肥料,肥料,14
磷,磷,8
维生素A,维生素A,7
相平衡,相平衡,1
粘附力,粘附力,1
半导体,半导体,9
流明,流明,3
单色,单色,4
磷化铝,磷化铝,1
