id,label,timeset,weighted degree
成分,成分,,241.0
腐蚀,腐蚀,,153.0
剂量,剂量,,70.0
电子,电子,,432.0
金,金,,733.0
水泥,水泥,,288.0
钢铁,钢铁,,312.0
分解,分解,,186.0
煤气,煤气,,73.0
发酵,发酵,,245.0
沉淀,沉淀,,100.0
回流,回流,,66.0
天然,天然,,275.0
铁,铁,,267.0
营养,营养,,203.0
石油,石油,,1115.0
周期性,周期性,,68.0
水分,水分,,112.0
碳,碳,,255.0
能源,能源,,1254.0
化学,化学,,191.0
水污染,水污染,,163.0
水,水,,1036.0
重金属,重金属,,90.0
大气污染,大气污染,,457.0
微克,微克,,91.0
PM2.5,PM2.5,,265.0
空气质量,空气质量,,274.0
竞争性,竞争性,,135.0
化肥,化肥,,94.0
二氧化碳,二氧化碳,,112.0
天然气,天然气,,747.0
煤,煤,,218.0
分子,分子,,666.0
过滤,过滤,,97.0
游离,游离,,65.0
含量,含量,,309.0
能量,能量,,422.0
矿泉水,矿泉水,,138.0
红外,红外,,78.0
蛋白质,蛋白质,,62.0
废气,废气,,71.0
焚烧,焚烧,,155.0
玻璃,玻璃,,306.0
柴油,柴油,,89.0
盐,盐,,90.0
太阳能,太阳能,,155.0
燃烧,燃烧,,282.0
精度,精度,,108.0
升华,升华,,97.0
汽油,汽油,,213.0
有色金属,有色金属,,63.0
连锁反应,连锁反应,,64.0
电池,电池,,107.0
气体,气体,,146.0
二氧化硫,二氧化硫,,102.0
核能,核能,,140.0
塑料,塑料,,159.0
爆炸物,爆炸物,,77.0
乙醇,乙醇,,125.0
铀,铀,,93.0
燃料,燃料,,279.0
铝,铝,,65.0
铜,铜,,91.0
原子弹,原子弹,,88.0
化工厂,化工厂,,93.0
冰毒,冰毒,,75.0
化学武器,化学武器,,72.0
炸药,炸药,,104.0
油气,油气,,251.0
合成,合成,,116.0
海水,海水,,165.0
钻石,钻石,,81.0
DNA,DNA,,110.0
银,银,,72.0
液体,液体,,117.0
废水,废水,,120.0
粉尘,粉尘,,82.0
氧气,氧气,,66.0
有机物,有机物,,62.0
放射性,放射性,,63.0
苯,苯,,80.0
取样,取样,,85.0
干燥,干燥,,64.0
页岩气,页岩气,,66.0
铅,铅,,62.0
复合材料,复合材料,,64.0
