Source,Target,Type,id,label,timeset,weight
金,铜,Undirected,94300,,,10.0
海水,水,Undirected,94305,,,19.0
金,玻璃,Undirected,94307,,,13.0
冰毒,海洛因,Undirected,94309,,,31.0
水,玻璃,Undirected,94310,,,17.0
天然气,大气污染,Undirected,94313,,,18.0
大气污染,焚烧,Undirected,94315,,,14.0
铁,水,Undirected,94317,,,9.0
大气污染,PM2.5,Undirected,94321,,,54.0
电子,空气质量,Undirected,94322,,,2.0
水泥,钢铁,Undirected,94323,,,29.0
分子,燃烧,Undirected,94324,,,6.0
铁,发酵,Undirected,94325,,,3.0
能量,化学,Undirected,94327,,,2.0
天然,金,Undirected,94333,,,9.0
燃料,乙醇,Undirected,94343,,,1.0
能源,钢铁,Undirected,94344,,,21.0
金,爆炸物,Undirected,94347,,,5.0
腐蚀,能源,Undirected,94350,,,3.0
升华,腐蚀,Undirected,94351,,,1.0
乙醇,取样,Undirected,94353,,,1.0
天然气,能源,Undirected,94355,,,42.0
氧气,煤,Undirected,94357,,,1.0
石油,能源,Undirected,94364,,,117.0
分解,电子,Undirected,94368,,,7.0
玻璃,油气,Undirected,94373,,,1.0
腐蚀,水,Undirected,94376,,,5.0
金,沉淀,Undirected,94381,,,5.0
固体,燃料,Undirected,94384,,,5.0
液体,氧气,Undirected,94385,,,6.0
分子,成分,Undirected,94393,,,3.0
能量,铜,Undirected,94394,,,1.0
乙醇,金,Undirected,94401,,,4.0
PM2.5,水,Undirected,94408,,,11.0
微克,空气质量,Undirected,94409,,,18.0
碳,煤,Undirected,94410,,,4.0
电子,银,Undirected,94411,,,5.0
金,银,Undirected,94413,,,13.0
钻石,大气污染,Undirected,94416,,,2.0
天然气,石油,Undirected,94419,,,193.0
能源,化学,Undirected,94424,,,11.0
金,大气污染,Undirected,94431,,,2.0
二氧化硫,PM2.5,Undirected,94432,,,17.0
钢铁,空气质量,Undirected,94434,,,4.0
水泥,氮氧化物,Undirected,94435,,,2.0
冰毒,银,Undirected,94437,,,4.0
分子,石油,Undirected,94438,,,63.0
气体,天然气,Undirected,94440,,,3.0
燃料,核反应堆,Undirected,94441,,,9.0
玻璃,燃烧,Undirected,94443,,,17.0
铁,氧气,Undirected,94444,,,1.0
石油,竞争性,Undirected,94445,,,10.0
干燥,燃料,Undirected,94449,,,7.0
水泥,氧气,Undirected,94450,,,1.0
玻璃,水泥,Undirected,94452,,,7.0
钢铁,银,Undirected,94453,,,1.0
水分,分解,Undirected,94461,,,2.0
冰毒,爆炸物,Undirected,94464,,,1.0
矿泉水,水,Undirected,94468,,,24.0
碳,电子,Undirected,94473,,,3.0
回流,石油,Undirected,94474,,,5.0
液体,废水,Undirected,94476,,,2.0
气体,能源,Undirected,94480,,,3.0
水,炸药,Undirected,94483,,,2.0
分子,焚烧,Undirected,94486,,,16.0
汽油,液体,Undirected,94489,,,5.0
分解,天然,Undirected,94492,,,1.0
燃料,海水,Undirected,94493,,,2.0
铁,煤,Undirected,94494,,,4.0
核反应堆,核能,Undirected,94497,,,7.0
干燥,燃烧,Undirected,94498,,,1.0
金,分子,Undirected,94499,,,22.0
大气污染,空气质量,Undirected,94504,,,41.0
能源,煤,Undirected,94507,,,15.0
分子,天然,Undirected,94508,,,6.0
能源,精度,Undirected,94509,,,2.0
