id,label,timeset,weighted degree
含量,含量,,4.0
矿石,矿石,,2.0
稀土,稀土,,2.0
电池,电池,,12.0
碳,碳,,4.0
化学,化学,,10.0
电子,电子,,8.0
过滤,过滤,,5.0
中微子,中微子,,4.0
量子,量子,,7.0
粒子,粒子,,14.0
爱因斯坦,爱因斯坦,,6.0
金,金,,5.0
纳米,纳米,,5.0
晶体管,晶体管,,2.0
副产物,副产物,,2.0
太阳能,太阳能,,11.0
同位素,同位素,,3.0
玻璃,玻璃,,4.0
分子,分子,,8.0
脂肪酸,脂肪酸,,2.0
脂肪,脂肪,,3.0
水,水,,12.0
气态,气态,,2.0
石油,石油,,5.0
能量,能量,,21.0
质子,质子,,3.0
DNA,DNA,,5.0
核反应堆,核反应堆,,7.0
燃料,燃料,,4.0
汽油,汽油,,2.0
能源,能源,,5.0
固态,固态,,2.0
乙醇,乙醇,,3.0
大气污染,大气污染,,2.0
天然气,天然气,,4.0
气体,气体,,4.0
氧气,氧气,,2.0
铅,铅,,3.0
氢,氢,,3.0
水分,水分,,2.0
加热,加热,,5.0
红外,红外,,2.0
核能,核能,,4.0
磷,磷,,2.0
砷,砷,,2.0
氢气,氢气,,4.0
废水,废水,,2.0
水蒸汽,水蒸汽,,2.0
焚烧,焚烧,,3.0
二氧化碳,二氧化碳,,5.0
液体,液体,,2.0
晶体,晶体,,2.0
塑料,塑料,,2.0
墨水,墨水,,2.0
元素周期表,元素周期表,,2.0
空气污染指数,空气污染指数,,2.0
空气质量,空气质量,,2.0
放射性,放射性,,5.0
铜,铜,,2.0
重金属,重金属,,2.0
核力,核力,,2.0
暗物质,暗物质,,3.0
磁铁,磁铁,,2.0
稀土金属,稀土金属,,3.0
液态,液态,,3.0
培养皿,培养皿,,2.0
钻石,钻石,,2.0
半衰期,半衰期,,2.0
氙,氙,,2.0
反粒子,反粒子,,2.0
风能,风能,,2.0
矿物质,矿物质,,2.0
温室效应,温室效应,,2.0
微米,微米,,2.0
