Source,Target,Type,id,label,timeset,weight
过滤器,过滤,Undirected,1282,,,3.0
分子,化学反应,Undirected,1285,,,1.0
电子,化学,Undirected,1286,,,1.0
干燥,温室气体,Undirected,1287,,,1.0
激素,天然,Undirected,1288,,,1.0
量子,硅,Undirected,1290,,,1.0
分子,化学,Undirected,1293,,,1.0
爱因斯坦,粒子,Undirected,1299,,,1.0
纳米,电池,Undirected,1300,,,1.0
淀粉,含量,Undirected,1302,,,1.0
能量,化学物质,Undirected,1304,,,1.0
大气污染,柴油,Undirected,1313,,,1.0
中微子,电子,Undirected,1314,,,2.0
化学,蛋白质,Undirected,1315,,,2.0
核反应堆,核能,Undirected,1321,,,2.0
分子,中位数,Undirected,1323,,,1.0
汽油,柴油,Undirected,1324,,,1.0
分子,合成,Undirected,1326,,,2.0
电子,电池,Undirected,1327,,,2.0
剂量,乙醇,Undirected,1329,,,2.0
塑料,中位数,Undirected,1330,,,1.0
氧气,硅,Undirected,1331,,,1.0
铝,银,Undirected,1332,,,1.0
晶体管,碳,Undirected,1334,,,1.0
能量,DNA,Undirected,1338,,,1.0
半导体,化学,Undirected,1340,,,1.0
介质,电子,Undirected,1341,,,1.0
爱因斯坦,能量,Undirected,1343,,,1.0
量子,暗物质,Undirected,1344,,,1.0
纳米,半导体,Undirected,1350,,,2.0
粒子,能量,Undirected,1352,,,4.0
反粒子,暗物质,Undirected,1353,,,1.0
气体,暗物质,Undirected,1355,,,1.0
能源,电池,Undirected,1356,,,1.0
能量,核能,Undirected,1364,,,1.0
DNA,蛋白质,Undirected,1368,,,1.0
反粒子,电子,Undirected,1370,,,1.0
能量,放射性,Undirected,1371,,,1.0
液态,蛋白质,Undirected,1372,,,1.0
纳米,晶体管,Undirected,1373,,,1.0
爱因斯坦,金,Undirected,1374,,,1.0
激素,燃烧,Undirected,1375,,,1.0
溶液,银,Undirected,1376,,,1.0
海洛因,合成,Undirected,1382,,,1.0
化学家,可卡因,Undirected,1383,,,1.0
电子,量子,Undirected,1387,,,1.0
大气污染,PM2.5,Undirected,1388,,,2.0
氢,燃烧,Undirected,1389,,,1.0
分子,DNA,Undirected,1393,,,2.0
晶体管,电子,Undirected,1394,,,1.0
原子,粒子,Undirected,1395,,,1.0
天然气,大气污染,Undirected,1397,,,3.0
二氧化碳,温室气体,Undirected,1398,,,2.0
晶体管,电池,Undirected,1399,,,1.0
天然气,石油,Undirected,1404,,,3.0
过滤,电子,Undirected,1405,,,2.0
纳米,玻璃,Undirected,1406,,,1.0
能级,粒子,Undirected,1408,,,3.0
水,化学物质,Undirected,1410,,,1.0
能量,电池,Undirected,1413,,,1.0
水污染,含量,Undirected,1414,,,1.0
燃料,碳,Undirected,1416,,,1.0
空气质量,水污染,Undirected,1419,,,1.0
中微子,能量,Undirected,1422,,,1.0
爱因斯坦,量子,Undirected,1424,,,1.0
化石燃料,能源,Undirected,1426,,,1.0
分子,钢铁,Undirected,1427,,,1.0
金,电池,Undirected,1428,,,1.0
二氧化碳,燃烧,Undirected,1430,,,1.0
半导体,原子,Undirected,1434,,,1.0
大气污染,空气质量,Undirected,1435,,,4.0
水,脂肪,Undirected,1437,,,2.0
燃料,液态,Undirected,1440,,,1.0
二氧化碳,化石燃料,Undirected,1443,,,1.0
二氧化碳,石油,Undirected,1444,,,1.0
碳,能源,Undirected,1445,,,1.0
粒子,加热,Undirected,1447,,,1.0
淀粉,蛋白质,Undirected,1449,,,1.0
精度,原子,Undirected,1453,,,1.0
太阳能,精度,Undirected,1454,,,1.0
能量,能源,Undirected,1456,,,1.0
甲烷,气体,Undirected,1460,,,1.0
太阳能,风能,Undirected,1461,,,2.0
胰岛素,化学,Undirected,1462,,,1.0
太阳能,温室气体,Undirected,1465,,,2.0
能源,燃烧,Undirected,1466,,,1.0
介质,加热,Undirected,1467,,,1.0
铁,电子,Undirected,1470,,,1.0
金,银,Undirected,1471,,,1.0
DNA,合成,Undirected,1473,,,1.0
含量,脂肪,Undirected,1478,,,1.0
铝,电池,Undirected,1482,,,1.0
太阳能,燃料,Undirected,1484,,,1.0
能量,暗物质,Undirected,1486,,,1.0
粒子,暗物质,Undirected,1488,,,1.0
塑料,化学家,Undirected,1491,,,1.0
化学家,含量,Undirected,1492,,,1.0
脂肪,糖,Undirected,1494,,,1.0
反粒子,能量,Undirected,1499,,,1.0
RNA,DNA,Undirected,1502,,,1.0
合成,汽油,Undirected,1505,,,1.0
化石燃料,玻璃,Undirected,1506,,,1.0
太阳能,电池,Undirected,1508,,,2.0
大气污染,臭氧,Undirected,1511,,,1.0
氧气,柴油,Undirected,1512,,,1.0
合成,燃料,Undirected,1513,,,1.0
反应器,液态,Undirected,1515,,,1.0
PM2.5,粒子,Undirected,1517,,,1.0
二氧化碳,气体,Undirected,1530,,,1.0
粒子,电子,Undirected,1531,,,1.0
海洛因,可卡因,Undirected,1534,,,1.0
玻璃,水,Undirected,1537,,,1.0
二氧化碳,汽油,Undirected,1538,,,1.0
二氧化碳,能源,Undirected,1540,,,2.0
空气质量,碳,Undirected,1541,,,1.0
能源,煤,Undirected,1542,,,3.0
二氧化碳,燃料,Undirected,1544,,,1.0
干燥,石油,Undirected,1546,,,1.0
中微子,DNA,Undirected,1547,,,1.0
焚烧,乙醇,Undirected,1549,,,1.0
热量,化石燃料,Undirected,1556,,,1.0
水,放射性,Undirected,1558,,,1.0
燃料,电子,Undirected,1560,,,1.0
大气污染,水,Undirected,1568,,,1.0
纳米,电子,Undirected,1569,,,1.0
空气质量,燃料,Undirected,1570,,,1.0
纳米,氧气,Undirected,1571,,,1.0
天然,燃料,Undirected,1577,,,1.0
海洛因,剂量,Undirected,1581,,,1.0
能源,钢铁,Undirected,1584,,,1.0
石油,燃烧,Undirected,1586,,,1.0
焚烧,温室气体,Undirected,1587,,,1.0
化石燃料,太阳能,Undirected,1588,,,1.0
能源,电子,Undirected,1593,,,1.0
空气质量,焚烧,Undirected,1594,,,1.0
粒子,纳米,Undirected,1595,,,1.0
含量,过滤,Undirected,1596,,,1.0
水,银,Undirected,1597,,,1.0
过滤器,铜,Undirected,1598,,,1.0
分子,RNA,Undirected,1609,,,1.0
化学物质,乙醇,Undirected,1610,,,1.0
塑料,化学反应,Undirected,1611,,,1.0
半导体,量子,Undirected,1613,,,1.0
气体,化学,Undirected,1615,,,1.0
二氧化碳,碳,Undirected,1617,,,2.0
含量,煤,Undirected,1618,,,1.0
臭氧,PM2.5,Undirected,1625,,,1.0
镉,剂量,Undirected,1633,,,1.0
溶液,化学,Undirected,1636,,,1.0
焚烧,粒子,Undirected,1637,,,1.0
空气质量,钢铁,Undirected,1639,,,1.0
分子,酸,Undirected,1641,,,1.0
风能,能源,Undirected,1643,,,1.0
燃料,水,Undirected,1645,,,1.0
分子,硅,Undirected,1646,,,1.0
晶体管,半导体,Undirected,1648,,,1.0
燃料,氧气,Undirected,1650,,,1.0
分子,甲烷,Undirected,1653,,,1.0
合成,天然,Undirected,1662,,,1.0
RNA,蛋白质,Undirected,1663,,,1.0
核反应堆,温室气体,Undirected,1665,,,1.0
天然气,碳,Undirected,1666,,,1.0
甲烷,水,Undirected,1669,,,1.0
碳,放射性,Undirected,1674,,,1.0
太阳能,能源,Undirected,1675,,,2.0
钢铁,电子,Undirected,1676,,,1.0
金,铜,Undirected,1677,,,1.0
燃烧,化石燃料,Undirected,1685,,,1.0
