Id,Label,度
分子,分子,15
相互作用,相互作用,6
燃料,燃料,10
氢,氢,2
核聚变,核聚变,5
吸收的能量,吸收的能量,1
核球,核球,1
气体,气体,9
氙,氙,1
中微子,中微子,3
粒子,粒子,18
暗物质,暗物质,2
铁,铁,3
镁,镁,1
硅,硅,6
氧,氧,4
水,水,20
水分,水分,2
化学,化学,15
塑料,塑料,11
电子,电子,24
化学过程,化学过程,1
化学反应,化学反应,5
化学家,化学家,2
原子核,原子核,3
量子,量子,14
吗啡,吗啡,2
可卡因,可卡因,3
DNA,DNA,13
琥珀,琥珀,1
卟啉,卟啉,1
有机分子,有机分子,2
玻璃,玻璃,11
石油,石油,8
油气,油气,1
同步加速器,同步加速器,1
黄土,黄土,1
粉尘,粉尘,1
有效质量,有效质量,1
晶体,晶体,5
量子力学,量子力学,5
微量元素,微量元素,1
营养物质,营养物质,3
纳米,纳米,9
半导体,半导体,7
PM2.5,PM2.5,7
能源,能源,12
相对湿度,相对湿度,1
气流,气流,2
线粒体,线粒体,1
甲烷,甲烷,5
气态,气态,1
液态,液态,6
液体,液体,6
胰岛素,胰岛素,1
神经递质,神经递质,1
银,银,2
能量,能量,22
波长,波长,3
氮化物,氮化物,1
大气污染,大气污染,11
空气质量,空气质量,3
燃烧,燃烧,9
乙酰胆碱受体,乙酰胆碱受体,1
固态物理学,固态物理学,1
中子,中子,2
电池,电池,18
丙烯,丙烯,1
甲基,甲基,1
氮,氮,2
化学物质,化学物质,4
成分,成分,6
乙炔,乙炔,1
温室气体,温室气体,7
天然气,天然气,5
核能,核能,5
微克,微克,1
煤,煤,2
含量,含量,6
砷,砷,2
冰毒,冰毒,1
海洛因,海洛因,4
物理化学,物理化学,1
纯度,纯度,1
合成,合成,7
汽油,汽油,4
乙醇,乙醇,3
漆稀释剂,漆稀释剂,1
可待因,可待因,1
化学键,化学键,2
精炼,精炼,2
矿石,矿石,1
钍,钍,2
放射性,放射性,6
硫酸,硫酸,1
稀土,稀土,1
稀土金属,稀土金属,1
自旋,自旋,4
矿物,矿物,4
矿物质,矿物质,4
X射线,X射线,4
氧化,氧化,1
介质,介质,3
磁铁,磁铁,4
能级,能级,2
气化,气化,2
太阳能,太阳能,16
分解,分解,7
降解,降解,2
酶,酶,5
镍,镍,3
胶原蛋白,胶原蛋白,1
脂肪,脂肪,9
糖,糖,9
蛋白质,蛋白质,15
抗生素,抗生素,6
堆肥,堆肥,1
抗生素抗性,抗生素抗性,1
有机肥料,有机肥料,1
核燃料,核燃料,4
钚,钚,3
气溶胶,气溶胶,4
含氮有机物,含氮有机物,1
夸克,夸克,3
原子,原子,16
锆石,锆石,1
锆,锆,1
化学性质,化学性质,2
熔融,熔融,2
火山岩,火山岩,1
相对速度,相对速度,1
能量代谢,能量代谢,1
有机物,有机物,4
释放能量,释放能量,1
正电荷,正电荷,1
中性,中性,3
电场,电场,2
负电荷,负电荷,1
溶液,溶液,3
碳,碳,10
二氧化碳,二氧化碳,15
光谱,光谱,3
添加剂,添加剂,1
同位素,同位素,4
碳同位素,碳同位素,1
麦芽糖,麦芽糖,2
挥发性,挥发性,2
光分解,光分解,2
营养,营养,3
质子,质子,4
汽化,汽化,1
加热,加热,2
分析法,分析法,1
氨基酸,氨基酸,1
钙离子,钙离子,2
热力学,热力学,2
基态,基态,1
周期性,周期性,2
微米,微米,3
背景辐射,背景辐射,4
普朗克,普朗克,2
聚合物,聚合物,3
光合作用,光合作用,2
氢气,氢气,1
氙气,氙气,1
化石燃料,化石燃料,5
多普勒效应,多普勒效应,1
原子钟,原子钟,1
精细结构,精细结构,1
精度,精度,4
偶极矩,偶极矩,1
镭,镭,1
镉,镉,4
有机材料,有机材料,1
干燥,干燥,3
阴极,阴极,1
糊剂,糊剂,1
固体,固体,3
活化,活化,1
化学组成,化学组成,1
碳氢化合物,碳氢化合物,1
电子俘获,电子俘获,1
无定形状态,无定形状态,1
水泥,水泥,4
神经肽,神经肽,1
锂电池,锂电池,1
氦,氦,4
绝对零度,绝对零度,4
球粒陨石,球粒陨石,3
磷肥,磷肥,1
墨水,墨水,1
钠,钠,1
盐,盐,4
化肥,化肥,2
锂,锂,1
辐射剂量,辐射剂量,1
蔗糖,蔗糖,1
水溶性,水溶性,1
铟,铟,1
硅基,硅基,3
热量,热量,6
铯,铯,1
锗,锗,2
爱因斯坦,爱因斯坦,3
淀粉,淀粉,1
淀粉分解,淀粉分解,1
钢铁,钢铁,3
活性氧,活性氧,1
硫,硫,2
剂量,剂量,3
重金属,重金属,4
介子,介子,2
基本成分,基本成分,1
透明质酸,透明质酸,1
海水,海水,4
作用机理,作用机理,1
