Source,Target,Type,Id,Label,Weight
过滤器,过滤,Undirected,28512,,1.0
过滤器,铜,Undirected,28742,,1.0
过滤,电子,Undirected,28606,,1.0
过滤,精密仪器,Undirected,28580,,1.0
电子,光缆,Undirected,28513,,1.0
电子,量子,Undirected,28539,,1.0
电子,金,Undirected,28648,,1.0
同位素,碳同位素,Undirected,28514,,1.0
同位素,碰撞理论,Undirected,28673,,1.0
同位素,氘,Undirected,28748,,1.0
化学反应,电子,Undirected,28515,,1.0
化学反应,气体,Undirected,28755,,1.0
化学,电子壳,Undirected,28516,,1.0
化学,蛋白质,Undirected,28540,,1.0
化学,原子,Undirected,28559,,1.0
干燥,温室气体,Undirected,28517,,1.0
干燥,微粒,Undirected,28542,,1.0
干燥,石油,Undirected,28703,,1.0
温室气体,碳,Undirected,28685,,1.0
温室气体,当量,Undirected,28602,,1.0
温室气体,能源,Undirected,28647,,1.0
激素,天然,Undirected,28518,,1.0
天然,RNA,Undirected,28784,,1.0
天然,燃料,Undirected,28725,,1.0
有机分子,乙醇,Undirected,28519,,1.0
有机分子,绝缘体,Undirected,28625,,1.0
乙醇,可卡因,Undirected,28566,,1.0
量子,硅,Undirected,28520,,1.0
量子,氦,Undirected,28600,,1.0
硅,光电效应,Undirected,28563,,1.0
半导体,自旋,Undirected,28521,,1.0
电脉冲,电子,Undirected,28522,,1.0
分子,化学,Undirected,28523,,1.0
分子,硅,Undirected,28776,,1.0
分子,DNA,Undirected,28692,,1.0
分子,氮,Undirected,28544,,1.0
分子,合成,Undirected,28546,,2.0
酶,脂肪,Undirected,28524,,1.0
酶,能量,Undirected,28736,,1.0
脂肪,糖,Undirected,28667,,1.0
脂肪,脂肪酸,Undirected,28727,,2.0
脂肪,营养物质,Undirected,28655,,1.0
分解,成分,Undirected,28525,,1.0
分解,水,Undirected,28609,,1.0
成分,可溶性,Undirected,28656,,1.0
糖,氨基酸,Undirected,28526,,1.0
糖,蛋白质,Undirected,28652,,2.0
挥发性,脂肪酸,Undirected,28527,,1.0
粒子,电子,Undirected,28593,,2.0
粒子,量子,Undirected,28528,,2.0
粒子,纳米,Undirected,28739,,1.0
粒子,正电子,Undirected,28581,,1.0
粒子,普朗克,Undirected,28618,,1.0
粒子,绝对零度,Undirected,28637,,1.0
粒子,超对称性,Undirected,28642,,1.0
粒子,气溶胶,Undirected,28684,,1.0
粒子,量子力学,Undirected,28771,,1.0
粒子,链式反应,Undirected,28759,,1.0
胰岛素,化学,Undirected,28645,,1.0
胰岛素,淀粉,Undirected,28529,,1.0
