id,label,timeset,weighted degree
电子,电子,,68.0
爱因斯坦,爱因斯坦,,46.0
粒子,粒子,,69.0
核反应堆,核反应堆,,23.0
氢,氢,,40.0
量子力学,量子力学,,23.0
质子,质子,,24.0
金,金,,33.0
能量,能量,,157.0
激素,激素,,64.0
热量,热量,,57.0
含量,含量,,153.0
胰岛素,胰岛素,,23.0
脂肪,脂肪,,84.0
营养,营养,,101.0
酶,酶,,54.0
胆固醇,胆固醇,,22.0
石油,石油,,23.0
原子,原子,,62.0
添加剂,添加剂,,26.0
海水,海水,,31.0
中子,中子,,23.0
原子核,原子核,,27.0
化学,化学,,99.0
合成,合成,,73.0
乙醇,乙醇,,37.0
晶体,晶体,,22.0
成分,成分,,119.0
水,水,,163.0
水分,水分,,42.0
量子,量子,,30.0
放射性,放射性,,39.0
碳,碳,,50.0
氧,氧,,21.0
液态,液态,,26.0
氧化,氧化,,33.0
能源,能源,,43.0
气体,气体,,51.0
铁,铁,,26.0
二氧化硫,二氧化硫,,24.0
分子,分子,,118.0
液体,液体,,51.0
化学反应,化学反应,,34.0
分解,分解,,52.0
化学物质,化学物质,,40.0
氧气,氧气,,51.0
燃烧,燃烧,,34.0
燃料,燃料,,42.0
氢气,氢气,,22.0
矿物质,矿物质,,29.0
抗生素,抗生素,,88.0
温室气体,温室气体,,21.0
天然,天然,,100.0
溶液,溶液,,25.0
蛋白质,蛋白质,,127.0
DNA,DNA,,82.0
糖,糖,,64.0
化学家,化学家,,21.0
剂量,剂量,,84.0
加热,加热,,49.0
玻璃,玻璃,,33.0
波长,波长,,28.0
相互作用,相互作用,,33.0
纳米,纳米,,21.0
维生素,维生素,,53.0
营养物质,营养物质,,28.0
光合作用,光合作用,,23.0
食品添加剂,食品添加剂,,29.0
防腐剂,防腐剂,,23.0
富集,富集,,22.0
固体,固体,,25.0
钙,钙,,26.0
酸性,酸性,,22.0
二氧化碳,二氧化碳,,54.0
核能,核能,,21.0
太阳能,太阳能,,32.0
塑料,塑料,,38.0
葡萄糖,葡萄糖,,22.0
干燥,干燥,,31.0
盐,盐,,36.0
氨基酸,氨基酸,,32.0
色素,色素,,25.0
降解,降解,,22.0
电池,电池,,25.0
同位素,同位素,,25.0
淀粉,淀粉,,25.0
过滤,过滤,,26.0
