Source,Target,Type,id,label,timeset,weight
合成,含量,Undirected,12359,,,5.0
化学,脂肪,Undirected,12362,,,1.0
成分,水,Undirected,12363,,,8.0
电子,加热,Undirected,12376,,,1.0
分子,蜡,Undirected,12386,,,1.0
聚丙烯,二氧化碳,Undirected,12393,,,1.0
玻璃,塑料,Undirected,12395,,,3.0
质子,粒子,Undirected,12399,,,1.0
气体,加热,Undirected,12402,,,1.0
X射线,DNA,Undirected,12404,,,1.0
抗生素,阻断剂,Undirected,12408,,,5.0
糖类,DNA,Undirected,12411,,,1.0
水,砷,Undirected,12414,,,3.0
相互作用,微克,Undirected,12417,,,1.0
质子,气体,Undirected,12419,,,2.0
热量,固体,Undirected,12422,,,1.0
化学反应,营养,Undirected,12436,,,1.0
分子,能量,Undirected,12438,,,1.0
纳米,合成,Undirected,12446,,,1.0
燃料,乙醇,Undirected,12453,,,1.0
钙,葡萄糖,Undirected,12456,,,1.0
激素,纤维素,Undirected,12463,,,1.0
能量,氨基酸,Undirected,12464,,,1.0
胆固醇,脂肪,Undirected,12476,,,1.0
X射线,金,Undirected,12477,,,1.0
钙,能量,Undirected,12480,,,1.0
抗生素,游离,Undirected,12490,,,2.0
营养,水分,Undirected,12493,,,1.0
碳,分解,Undirected,12498,,,1.0
水,液体,Undirected,12509,,,2.0
热量,乙醇,Undirected,12510,,,1.0
酶,能量,Undirected,12515,,,1.0
干燥,热量,Undirected,12518,,,1.0
脂肪,天然,Undirected,12520,,,6.0
盐,成分,Undirected,12521,,,5.0
营养,矿物质,Undirected,12522,,,5.0
酸,能量,Undirected,12523,,,2.0
维生素,糖,Undirected,12524,,,1.0
蛋白质,氨基酸,Undirected,12529,,,3.0
分子,金箔,Undirected,12531,,,2.0
剂量,脂肪,Undirected,12532,,,1.0
盐,砷,Undirected,12533,,,4.0
蛋白质,DNA,Undirected,12540,,,1.0
乙醇,二氧化碳,Undirected,12542,,,1.0
营养物质,发酵,Undirected,12545,,,1.0
脂肪,水解,Undirected,12547,,,1.0
营养,糖,Undirected,12549,,,7.0
酸奶,氨基酸,Undirected,12551,,,1.0
液体,热量,Undirected,12557,,,1.0
铁,合成,Undirected,12563,,,1.0
锌,钙,Undirected,12564,,,1.0
电子,氢,Undirected,12565,,,1.0
质子,氮,Undirected,12567,,,1.0
粒子,燃烧,Undirected,12572,,,1.0
分解,能量,Undirected,12573,,,2.0
矿物质,氨基酸,Undirected,12577,,,1.0
DNA,抗生素,Undirected,12578,,,1.0
