Source,Target,Type,Id,Label,Weight
碳氟化合物,石油,Undirected,32432,,1.0
石油,氧气,Undirected,34412,,2.0
石油,离心力,Undirected,34394,,1.0
石油,DNA,Undirected,33979,,2.0
石油,煤,Undirected,33871,,1.0
石油,标定,Undirected,32815,,1.0
石油,硫化氢,Undirected,34884,,1.0
石油,能源,Undirected,33305,,1.0
氧气,氦气,Undirected,32433,,1.0
氧气,溶解度,Undirected,33903,,1.0
氧气,液体,Undirected,33493,,2.0
氧气,化学,Undirected,32853,,2.0
氧气,营养,Undirected,34842,,1.0
氧气,氧,Undirected,33462,,1.0
氧气,金箔,Undirected,34575,,1.0
氧气,氦,Undirected,33189,,1.0
氧气,热量,Undirected,34620,,1.0
氧气,脂肪酸,Undirected,35015,,1.0
氧气,甲状腺素,Undirected,33045,,1.0
氧气,释放能量,Undirected,32935,,1.0
氧气,煤油,Undirected,34829,,1.0
氧气,硫化氢,Undirected,34079,,1.0
氧气,炸药,Undirected,33282,,1.0
氧气,青铜,Undirected,33246,,1.0
氧气,多酚氧化酶,Undirected,33630,,1.0
氧气,乳清,Undirected,34370,,1.0
氧气,氯原子,Undirected,34915,,1.0
溶解度,液体,Undirected,32434,,1.0
溶解度,去分化,Undirected,32471,,1.0
液体,粘度,Undirected,33166,,1.0
液体,核聚变,Undirected,32448,,1.0
液体,原子,Undirected,32652,,1.0
液体,组蛋白,Undirected,32495,,1.0
液体,加热,Undirected,32844,,1.0
液体,乙醇,Undirected,32475,,1.0
液体,维里,Undirected,32485,,1.0
液体,特异性,Undirected,33958,,1.0
液体,动物油,Undirected,33058,,1.0
液体,剂量,Undirected,34727,,1.0
液体,抗生素,Undirected,34910,,2.0
液体,有机物,Undirected,34696,,1.0
液体,组分,Undirected,32856,,2.0
液体,培养基,Undirected,33981,,1.0
液体,PM2.5,Undirected,34290,,1.0
液体,中和,Undirected,34459,,1.0
液体,断层扫描,Undirected,34261,,1.0
复合材料,介质,Undirected,32435,,1.0
复合材料,水泥,Undirected,33701,,1.0
介质,电子,Undirected,33941,,1.0
介质,DNA,Undirected,34607,,1.0
介质,含量,Undirected,33756,,1.0
介质,动力学,Undirected,33140,,1.0
介质,镍,Undirected,34248,,1.0
粘度,气体,Undirected,32436,,1.0
粘度,大分子,Undirected,35032,,1.0
气体,石油,Undirected,34817,,1.0
气体,原子,Undirected,33668,,1.0
气体,玻璃,Undirected,34582,,1.0
气体,能量,Undirected,33765,,1.0
气体,加热,Undirected,34862,,1.0
气体,天然,Undirected,33853,,1.0
气体,热容量,Undirected,32480,,1.0
气体,电位,Undirected,34319,,1.0
气体,燃料,Undirected,33187,,1.0
气体,阻断剂,Undirected,33465,,2.0
气体,氮,Undirected,34019,,1.0
气体,酸碱度,Undirected,34053,,1.0
气体,干燥,Undirected,33334,,1.0
气体,大气污染,Undirected,33100,,1.0
气体,水蒸汽,Undirected,33810,,1.0
气体,基团,Undirected,33020,,1.0
气体,硼,Undirected,33976,,1.0
气体,谱线,Undirected,33137,,3.0
气体,腐蚀性,Undirected,33208,,1.0
气体,固体物质,Undirected,33270,,1.0
气体,暗物质,Undirected,34675,,1.0
气体,氨气,Undirected,35011,,1.0
气体,过滤,Undirected,34922,,1.0
气体,天然气,Undirected,34447,,2.0
混合气体,化学反应,Undirected,32437,,1.0
混合气体,海水,Undirected,33284,,1.0
化学反应,水,Undirected,33602,,1.0
化学反应,成分,Undirected,32458,,4.0
化学反应,分子,Undirected,33760,,1.0
化学反应,醛脱氢酶,Undirected,32648,,1.0
化学反应,钾,Undirected,33111,,1.0
化学反应,氧化反应,Undirected,33044,,1.0
化学反应,腐蚀性,Undirected,34449,,1.0
液态,高分子,Undirected,32438,,1.0
液态,试管,Undirected,32498,,1.0
液态,富集,Undirected,33433,,1.0
稀有气体,氮气,Undirected,32439,,1.0
稀有气体,果糖,Undirected,34541,,1.0
二氧化碳,气体,Undirected,32864,,3.0
二氧化碳,表面张力,Undirected,32440,,1.0
二氧化碳,水,Undirected,32596,,2.0
二氧化碳,相互作用,Undirected,32697,,2.0
二氧化碳,取样,Undirected,34366,,1.0
二氧化碳,乙醇,Undirected,32981,,1.0
二氧化碳,分解,Undirected,32941,,2.0
二氧化碳,岩浆,Undirected,33977,,1.0
二氧化碳,温室效应,Undirected,34868,,1.0
二氧化碳,剂量,Undirected,33685,,1.0
二氧化碳,抗生素,Undirected,33514,,1.0
二氧化碳,纤维素,Undirected,34129,,2.0
二氧化碳,温室气体,Undirected,35029,,1.0
二氧化碳,挥发性,Undirected,32736,,2.0
二氧化碳,过饱和溶液,Undirected,33023,,1.0
二氧化碳,合酶,Undirected,34075,,1.0
表面张力,原子核,Undirected,34031,,1.0
电子,离心力,Undirected,32441,,1.0
电子,精度,Undirected,34178,,1.0
电子,核反应堆,Undirected,34262,,1.0
电子,原子,Undirected,34626,,1.0
电子,营养,Undirected,33999,,1.0
电子,天然,Undirected,34646,,2.0
电子,量子,Undirected,32531,,1.0
电子,金,Undirected,34039,,1.0
电子,镓,Undirected,32586,,1.0
电子,氯化锂,Undirected,32999,,1.0
电子,琥珀,Undirected,33469,,1.0
电子,法拉第,Undirected,33300,,1.0
电子,过滤,Undirected,33687,,1.0
电子,角动量,Undirected,33973,,1.0
电子,自旋,Undirected,34024,,1.0
电子,反应速度,Undirected,34027,,1.0
电子,化学势,Undirected,34103,,1.0
电子,烯,Undirected,34618,,1.0
重水,中子,Undirected,32442,,1.0
中子,半衰期,Undirected,32787,,1.0
中子,裂变,Undirected,32608,,1.0
中子,沉淀,Undirected,33243,,1.0
中子,电子数,Undirected,34985,,1.0
氘,四极矩,Undirected,32443,,1.0
氘,能量,Undirected,34676,,1.0
原子核,氧气,Undirected,33672,,1.0
原子核,放射性,Undirected,32444,,3.0
原子核,相互作用,Undirected,34629,,1.0
原子核,量子,Undirected,32726,,1.0
原子核,正交系,Undirected,32918,,1.0
原子核,不相容原理,Undirected,33477,,1.0
原子核,热效应,Undirected,33573,,1.0
放射性,岩浆,Undirected,33845,,1.0
放射性,普朗克,Undirected,34180,,1.0
精度,中微子,Undirected,32445,,1.0
精度,氦,Undirected,32581,,1.0
精度,系统误差,Undirected,34677,,1.0
精度,富集,Undirected,33245,,1.0
精度,元素周期表,Undirected,34241,,1.0
精度,定量化,Undirected,34285,,1.0
精度,测量精度,Undirected,34903,,1.0
中微子,质子,Undirected,34033,,1.0
中微子,核反应,Undirected,32593,,1.0
中微子,营养,Undirected,33813,,1.0
质子,精度,Undirected,34191,,1.0
质子,水,Undirected,33945,,1.0
质子,成分,Undirected,32936,,1.0
质子,热力学,Undirected,32613,,1.0
质子,脂质,Undirected,34004,,1.0
基本粒子,电子,Undirected,34751,,1.0
基本粒子,质子,Undirected,33262,,1.0
基本粒子,周期性,Undirected,32960,,1.0
基本粒子,碳同位素,Undirected,34064,,1.0
基本粒子,暗物质,Undirected,34742,,1.0
核反应堆,水,Undirected,32446,,1.0
核反应堆,成分,Undirected,33164,,1.0
核反应堆,矿物,Undirected,33253,,1.0
水,气体,Undirected,33899,,1.0
水,能量,Undirected,34121,,2.0
水,化学,Undirected,34181,,1.0
水,蛋白质,Undirected,32873,,1.0
水,DNA,Undirected,32649,,1.0
水,加热,Undirected,33165,,1.0
水,发酵,Undirected,32474,,1.0
水,营养,Undirected,32486,,7.0
水,化学渗透,Undirected,34099,,1.0
水,铁,Undirected,34071,,1.0
水,半衰期,Undirected,34167,,1.0
水,多酚,Undirected,33084,,1.0
水,细胞膜,Undirected,33761,,1.0
水,砷,Undirected,33179,,2.0
水,太阳能,Undirected,34415,,1.0
水,糖,Undirected,34281,,1.0
水,渗透压,Undirected,33995,,1.0
水,矿物,Undirected,32687,,3.0
水,橡胶,Undirected,34362,,1.0
水,煤气,Undirected,32771,,2.0
水,粘液,Undirected,33897,,1.0
水,酸,Undirected,34934,,1.0
水,糖类,Undirected,33027,,1.0
水,胰蛋白酶,Undirected,34524,,1.0
水,蒸腾作用,Undirected,32937,,1.0
水,溴,Undirected,34918,,1.0
水,铵盐,Undirected,32978,,1.0
水,宝石,Undirected,34508,,1.0
水,吸附作用,Undirected,33022,,1.0
水,升华,Undirected,33035,,1.0
水,沉积岩,Undirected,34563,,1.0
水,寡糖,Undirected,33313,,1.0
水,渗透性,Undirected,33511,,1.0
水,有机体,Undirected,34387,,1.0
水,饱和蒸汽压,Undirected,34583,,1.0
水,可逆过程,Undirected,34483,,1.0
水,无机盐,Undirected,34994,,1.0
水,无序状态,Undirected,34707,,1.0
水,油母质,Undirected,34819,,1.0
水,硫酸钡,Undirected,34968,,1.0
相互作用,水,Undirected,32805,,1.0
相互作用,弱相互作用,Undirected,32447,,1.0
相互作用,蛋白质,Undirected,34175,,1.0
相互作用,铁,Undirected,32616,,1.0
相互作用,岩浆,Undirected,33811,,1.0
相互作用,吸收的能量,Undirected,33191,,1.0
相互作用,原子钟,Undirected,33131,,1.0
相互作用,微米,Undirected,32538,,1.0
相互作用,剂量,Undirected,34703,,1.0
相互作用,原子弹,Undirected,33814,,1.0
相互作用,热量,Undirected,34035,,1.0
相互作用,普朗克,Undirected,32725,,1.0
相互作用,酸性,Undirected,34405,,1.0
相互作用,赤铁矿,Undirected,34350,,1.0
相互作用,胶子,Undirected,34752,,1.0
弱相互作用,粒子,Undirected,34623,,1.0
弱相互作用,热量,Undirected,32617,,1.0
核聚变,原子,Undirected,32722,,1.0
核聚变,纳米,Undirected,34395,,1.0
核聚变,金,Undirected,32619,,1.0
右旋,化学家,Undirected,32449,,1.0
化学家,电子,Undirected,34584,,1.0
化学家,能量,Undirected,32489,,2.0
化学家,重金属,Undirected,33989,,1.0
化学家,核裂变,Undirected,34764,,1.0
化学家,哌啶,Undirected,33529,,1.0
化学家,维生素C,Undirected,34935,,1.0
化学家,羧化酶,Undirected,32908,,1.0
化学家,碱金属,Undirected,33001,,1.0
化学家,周期表,Undirected,34991,,1.0
化学家,双酶法,Undirected,34546,,1.0
原子,中性,Undirected,32450,,1.0
原子,粒子,Undirected,33974,,1.0
