Source,Target,Type,id,label,timeset,weight
周期性,聚合,Undirected,19402,,,1.0
周期性,能量,Undirected,19403,,,2.0
水,石油,Undirected,19405,,,5.0
玻璃,汽油,Undirected,19406,,,1.0
石油,油气,Undirected,19408,,,7.0
盐,化肥,Undirected,19416,,,2.0
能源,燃烧,Undirected,19417,,,2.0
二氧化硫,燃料,Undirected,19419,,,1.0
电子,精度,Undirected,19422,,,4.0
石油,分子,Undirected,19424,,,2.0
石油,核能,Undirected,19426,,,1.0
天然气,石油,Undirected,19427,,,32.0
油气,能源,Undirected,19428,,,9.0
矿泉水,电池,Undirected,19435,,,1.0
升华,能源,Undirected,19440,,,1.0
汽油,柴油,Undirected,19441,,,8.0
升华,热量,Undirected,19442,,,1.0
水分,天平,Undirected,19444,,,1.0
石油,金,Undirected,19447,,,7.0
水分,太阳能,Undirected,19449,,,1.0
能量,能源,Undirected,19450,,,2.0
沉淀,分解,Undirected,19451,,,3.0
添加剂,食用油,Undirected,19453,,,1.0
天然气,金,Undirected,19457,,,3.0
天然,燃料,Undirected,19463,,,2.0
分子,铀,Undirected,19469,,,2.0
天然气,能量,Undirected,19474,,,2.0
钻石,钢铁,Undirected,19475,,,1.0
空气质量,PM2.5,Undirected,19478,,,10.0
金,银,Undirected,19484,,,17.0
电子,铜,Undirected,19485,,,1.0
铁,塑料,Undirected,19486,,,2.0
焊接,水泥,Undirected,19487,,,1.0
铁,玻璃,Undirected,19491,,,1.0
石油,能源,Undirected,19492,,,42.0
精度,能源,Undirected,19495,,,1.0
激素,化学,Undirected,19497,,,2.0
铁丝网,水,Undirected,19499,,,3.0
金,碳,Undirected,19505,,,5.0
石油,电子,Undirected,19506,,,5.0
燃料,水泥,Undirected,19507,,,1.0
石油,铅,Undirected,19508,,,2.0
金,乙醇,Undirected,19514,,,3.0
大气污染,碳,Undirected,19517,,,6.0
PM2.5,水,Undirected,19518,,,4.0
空气质量,水泥,Undirected,19519,,,2.0
煤气,水泥,Undirected,19521,,,2.0
蜡烛,矿泉水,Undirected,19528,,,1.0
水,液体,Undirected,19544,,,1.0
爱因斯坦,能源,Undirected,19556,,,1.0
空气质量,天平,Undirected,19562,,,2.0
动力学,气体,Undirected,19563,,,1.0
铅,含量,Undirected,19577,,,1.0
聚合,重金属,Undirected,19578,,,1.0
天然,金,Undirected,19587,,,4.0
废气,汽油,Undirected,19592,,,3.0
PM2.5,钢铁,Undirected,19600,,,1.0
石油,有色金属,Undirected,19601,,,4.0
大气污染,PM2.5,Undirected,19602,,,9.0
碳,营养,Undirected,19604,,,2.0
钢铁,银,Undirected,19605,,,1.0
金,水,Undirected,19606,,,12.0
能量,燃烧,Undirected,19607,,,2.0
铁,水,Undirected,19613,,,3.0
周期性,能源,Undirected,19615,,,2.0
能量,PM2.5,Undirected,19616,,,1.0
周期性,天然,Undirected,19618,,,1.0
金,铜,Undirected,19619,,,12.0
金,燃料,Undirected,19622,,,3.0
玻璃,乙醇,Undirected,19624,,,1.0
玻璃,燃烧,Undirected,19625,,,5.0
钢铁,营养,Undirected,19628,,,2.0
电子,黄土,Undirected,19630,,,1.0
水,空气质量,Undirected,19632,,,3.0
金,营养,Undirected,19634,,,4.0
燃烧,化学,Undirected,19638,,,2.0
水泥,水,Undirected,19639,,,10.0
能量,水,Undirected,19640,,,7.0
过滤,电子,Undirected,19643,,,3.0
燃料,乙醇,Undirected,19644,,,1.0
有色金属,电子,Undirected,19646,,,2.0
太阳能,焚烧,Undirected,19651,,,1.0
电子,能源,Undirected,19657,,,14.0
燃料,PM2.5,Undirected,19666,,,3.0
能源,柴油,Undirected,19668,,,4.0
分解,发酵,Undirected,19671,,,1.0
石油,营养,Undirected,19672,,,1.0
太阳能,电池,Undirected,19673,,,3.0
天然气,分子,Undirected,19676,,,3.0
太阳能,水,Undirected,19678,,,4.0
黄土,水泥,Undirected,19684,,,1.0
电池,水,Undirected,19685,,,3.0
二氧化硫,水,Undirected,19689,,,1.0
氧气,液体,Undirected,19697,,,1.0
能量,汽油,Undirected,19701,,,3.0
钻石,水晶,Undirected,19704,,,1.0
玻璃,能量,Undirected,19705,,,3.0
升华,水,Undirected,19707,,,5.0
天然气,煤气,Undirected,19709,,,3.0
水,乙醇,Undirected,19711,,,1.0
食用油,柴油,Undirected,19713,,,2.0
二氧化碳,能源,Undirected,19718,,,5.0
发酵,能量,Undirected,19722,,,4.0
碳,能源,Undirected,19725,,,6.0
金,动力学,Undirected,19728,,,2.0
汽油,燃烧,Undirected,19730,,,3.0
PM2.5,含量,Undirected,19732,,,1.0
电子,海水,Undirected,19736,,,3.0
燃烧,水,Undirected,19748,,,4.0
周期性,食用油,Undirected,19752,,,1.0
DNA,含量,Undirected,19753,,,1.0
成分,蛋白质,Undirected,19755,,,1.0
碳,燃烧,Undirected,19758,,,6.0
金,能量,Undirected,19759,,,7.0
铝,电子,Undirected,19766,,,3.0
塑料,化肥,Undirected,19767,,,2.0
油气,煤,Undirected,19774,,,2.0
沉淀,成分,Undirected,19776,,,1.0
成分,铬,Undirected,19778,,,1.0
金,DNA,Undirected,19787,,,5.0
合成,含量,Undirected,19792,,,3.0
石油,钢铁,Undirected,19806,,,5.0
分子,金,Undirected,19807,,,5.0
电池,能源,Undirected,19812,,,8.0
能量,天然,Undirected,19819,,,3.0
成分,含量,Undirected,19829,,,3.0
盐,煤,Undirected,19836,,,2.0
能量,添加剂,Undirected,19845,,,1.0
含量,铬,Undirected,19846,,,4.0
发酵,天平,Undirected,19852,,,1.0
金,铁,Undirected,19854,,,3.0
金,煤气,Undirected,19855,,,1.0
金,盐,Undirected,19856,,,3.0
水,天然,Undirected,19857,,,10.0
腐蚀,空气质量,Undirected,19862,,,1.0
能量,热量,Undirected,19863,,,1.0
能源,汽油,Undirected,19864,,,3.0
核能,海水,Undirected,19866,,,2.0
金,钻石,Undirected,19868,,,6.0
二氧化硫,金,Undirected,19874,,,1.0
碳,海水,Undirected,19875,,,1.0
升华,蜡烛,Undirected,19879,,,2.0
重金属,铅,Undirected,19881,,,2.0
天然气,水泥,Undirected,19895,,,1.0
营养,化肥,Undirected,19903,,,5.0
化学,成分,Undirected,19907,,,1.0
燃料,能源,Undirected,19911,,,3.0
黄土,碳,Undirected,19916,,,2.0
过滤,水,Undirected,19919,,,5.0
盐,水,Undirected,19926,,,4.0
盐,食用油,Undirected,19929,,,1.0
燃料,水,Undirected,19930,,,2.0
纳米,能量,Undirected,19931,,,1.0
油气,汽油,Undirected,19933,,,1.0
钻石,能量,Undirected,19935,,,1.0
水晶,沉淀,Undirected,19939,,,1.0
腐蚀,海水,Undirected,19941,,,2.0
水,精度,Undirected,19942,,,2.0
过滤,天然,Undirected,19944,,,2.0
过滤,成分,Undirected,19948,,,4.0
水,食用油,Undirected,19951,,,1.0
化学,废水,Undirected,19953,,,2.0
铁,铜,Undirected,19956,,,2.0
石油,柴油,Undirected,19961,,,2.0
分子,钻石,Undirected,19962,,,1.0
天然气,大气污染,Undirected,19965,,,1.0
能源,液体,Undirected,19973,,,1.0
金,玻璃,Undirected,19979,,,4.0
焊接,电池,Undirected,19980,,,1.0
太阳能,能源,Undirected,19990,,,4.0
