id,label,timeset,weighted degree
金,金,,231.0
能源,能源,,241.0
钢铁,钢铁,,61.0
水,水,,330.0
周期性,周期性,,22.0
聚合,聚合,,25.0
化肥,化肥,,38.0
能量,能量,,137.0
碳,碳,,108.0
石油,石油,,238.0
营养,营养,,107.0
玻璃,玻璃,,78.0
汽油,汽油,,65.0
蛋白质,蛋白质,,20.0
油气,油气,,41.0
粒子,粒子,,23.0
成分,成分,,51.0
核能,核能,,24.0
分子,分子,,75.0
焚烧,焚烧,,25.0
盐,盐,,51.0
燃烧,燃烧,,84.0
二氧化碳,二氧化碳,,46.0
二氧化硫,二氧化硫,,23.0
燃料,燃料,,64.0
发酵,发酵,,68.0
电子,电子,,199.0
精度,精度,,37.0
煤,煤,,51.0
DNA,DNA,,33.0
大气污染,大气污染,,45.0
蜡烛,蜡烛,,23.0
天然气,天然气,,100.0
天然,天然,,90.0
合成,合成,,37.0
矿泉水,矿泉水,,28.0
电池,电池,,61.0
铜,铜,,42.0
腐蚀,腐蚀,,22.0
焊接,焊接,,39.0
水分,水分,,27.0
升华,升华,,55.0
气体,气体,,39.0
柴油,柴油,,34.0
分解,分解,,39.0
热量,热量,,20.0
天平,天平,,22.0
太阳能,太阳能,,79.0
塑料,塑料,,60.0
沉淀,沉淀,,50.0
添加剂,添加剂,,25.0
食用油,食用油,,20.0
化学,化学,,84.0
钻石,钻石,,27.0
含量,含量,,86.0
海水,海水,,40.0
铀,铀,,23.0
空气质量,空气质量,,54.0
PM2.5,PM2.5,,55.0
纳米,纳米,,22.0
银,银,,44.0
铁,铁,,47.0
水泥,水泥,,82.0
煤气,煤气,,20.0
激素,激素,,21.0
铁丝网,铁丝网,,19.0
铅,铅,,20.0
铝,铝,,20.0
乙醇,乙醇,,21.0
重金属,重金属,,30.0
废水,废水,,24.0
废气,废气,,22.0
液体,液体,,22.0
固体,固体,,20.0
爱因斯坦,爱因斯坦,,25.0
黄土,黄土,,24.0
动力学,动力学,,22.0
抗生素,抗生素,,22.0
过滤,过滤,,36.0
有色金属,有色金属,,24.0
水晶,水晶,,25.0
氧气,氧气,,28.0
剂量,剂量,,23.0
铬,铬,,23.0
加热,加热,,20.0
镉,镉,,33.0
