Id,Label,度
介质,介质,6
电子,电子,102
天平,天平,8
营养,营养,64
能量,能量,62
能源,能源,110
爱因斯坦,爱因斯坦,5
蓄电池,蓄电池,9
二氧化碳,二氧化碳,33
燃料电池,燃料电池,11
碳,碳,66
太阳能,太阳能,37
海水,海水,45
煤,煤,42
水,水,172
瓷,瓷,7
含量,含量,75
抗生素,抗生素,23
脂肪,脂肪,18
实验设计,实验设计,3
化学,化学,77
脱胶,脱胶,2
胶质,胶质,2
取样,取样,12
油气,油气,23
复合体,复合体,4
粉尘,粉尘,16
放射性,放射性,25
粘土,粘土,4
烧结砖,烧结砖,1
石油,石油,107
升华,升华,21
沉淀,沉淀,26
钨,钨,5
金,金,91
淀粉,淀粉,11
铁,铁,27
水泥,水泥,63
回流,回流,14
天然,天然,52
汽油,汽油,43
乙烯,乙烯,4
葡萄糖,葡萄糖,9
剂量,剂量,19
分子,分子,41
铅,铅,25
电池,电池,39
激素,激素,18
燃料,燃料,62
光缆,光缆,9
一氧化碳,一氧化碳,14
可燃气体,可燃气体,2
镁,镁,4
精炼,精炼,7
钢铁,钢铁,47
铝,铝,12
合成,合成,38
不锈钢,不锈钢,18
碳砖,碳砖,1
玻璃,玻璃,53
陶瓷,陶瓷,12
钙,钙,12
冶炼,冶炼,15
精度,精度,26
玻璃纤维,玻璃纤维,1
玻璃钢,玻璃钢,3
塑料,塑料,32
燃烧,燃烧,53
碳化,碳化,3
石膏,石膏,4
糖,糖,23
汽缸盖,汽缸盖,1
焊接,焊接,21
降解,降解,8
机油,机油,6
添加剂,添加剂,34
水污染,水污染,23
化学肥料,化学肥料,2
杂质,杂质,18
过滤,过滤,24
肥料,肥料,15
色素,色素,8
重金属,重金属,27
天然气,天然气,34
瓦斯,瓦斯,16
化学物质,化学物质,12
发酵,发酵,45
食用油,食用油,18
活性物质,活性物质,2
乙醇,乙醇,20
多酚,多酚,1
废渣,废渣,13
提纯,提纯,2
蛋白质,蛋白质,28
镍,镍,8
合金,合金,9
柴油,柴油,25
粘度,粘度,2
植物油,植物油,14
动物油,动物油,1
酸价,酸价,4
周期表,周期表,3
矿泉水,矿泉水,28
最高价,最高价,8
聚氯乙烯,聚氯乙烯,4
铝板,铝板,2
瓷器,瓷器,14
成分,成分,49
墨水,墨水,4
中子源,中子源,1
银,银,17
氧化值,氧化值,2
浸润,浸润,5
磁铁,磁铁,5
蜡烛,蜡烛,17
玻色,玻色,1
有色金属,有色金属,14
凝聚态,凝聚态,5
耐水性,耐水性,1
气体,气体,32
原子,原子,13
自旋轨道,自旋轨道,1
碱金属,碱金属,1
有机化学,有机化学,4
超滤膜,超滤膜,2
波尔,波尔,4
量子数,量子数,1
量子化,量子化,1
粒子,粒子,10
碘伏,碘伏,1
木炭,木炭,2
盐,盐,29
多糖,多糖,2
液化,液化,6
黄铁矿,黄铁矿,1
煤质,煤质,3
制备,制备,13
水煤浆,水煤浆,2
催化剂,催化剂,10
废气,废气,21
净水器,净水器,2
溶剂,溶剂,6
油脂,油脂,15
高分子化学,高分子化学,3
红外,红外,8
乙醚,乙醚,4
柏油,柏油,5
定量分析,定量分析,6
链式反应,链式反应,4
菊粉,菊粉,1
量子,量子,10
量子力学,量子力学,6
黄土,黄土,5
方向性,方向性,4
钻石,钻石,11
富集,富集,7
硫化氢,硫化氢,3
页岩气,页岩气,3
裂解气,裂解气,1
碳同位素分析,碳同位素分析,1
气流,气流,8
沥青,沥青,12
废水,废水,32
氮,氮,5
硫酸,硫酸,8
动力学,动力学,11
构型,构型,1
纳米,纳米,12
灌流,灌流,1
有机过氧化物,有机过氧化物,2
钼酸,钼酸,1
簇合物,簇合物,1
锰,锰,7
荧光,荧光,4
特异性,特异性,4
质子,质子,5
钴,钴,8
分解,分解,21
钡,钡,3
连锁反应,连锁反应,16
脱水,脱水,8
游离,游离,12
氯碱工业,氯碱工业,1
胡萝卜素,胡萝卜素,2
化肥,化肥,24
PM2.5,PM2.5,16
碳氢化合物,碳氢化合物,5
矿物油,矿物油,4
油膜,油膜,6
溶液,溶液,8
二氧化硅,二氧化硅,3
硅化合物,硅化合物,1
焚烧,焚烧,19
活性炭,活性炭,2
叶绿素,叶绿素,2
木质纤维素,木质纤维素,1
液体,液体,21
导管,导管,6
挥发性,挥发性,7
吸附性,吸附性,1
活化,活化,1
铬,铬,15
亚甲基蓝,亚甲基蓝,1
漏斗,漏斗,3
标定,标定,5
玻璃纸,玻璃纸,1
煤气,煤气,13
氧气,氧气,19
二甲苯,二甲苯,2
气化,气化,3
电焊,电焊,3
熏蒸,熏蒸,1
硫磺,硫磺,4
砝码,砝码,9
润滑油,润滑油,6
钒,钒,1
固体,固体,7
等电子,等电子,5
深红色,深红色,2
冰毒,冰毒,4
大理石,大理石,11
拉德,拉德,4
铁丝网,铁丝网,8
原子弹,原子弹,20
食品添加剂,食品添加剂,26
防腐剂,防腐剂,15
化学需氧量,化学需氧量,8
大气污染,大气污染,21
二氧化硫,二氧化硫,19
氮氧化物,氮氧化物,15
三水合物,三水合物,1
氧,氧,7
维生素,维生素,18
氨基酸,氨基酸,6
化学武器,化学武器,4
试剂,试剂,6
铜,铜,16
干法,干法,2
电石,电石,3
反应速度,反应速度,3
鱼精蛋白,鱼精蛋白,4
醋,醋,16
聚碳酸酯,聚碳酸酯,2
聚对苯二甲酸乙二醇,聚对苯二甲酸乙二醇,1
有机物,有机物,7
酯,酯,4
干燥,干燥,15
氯气,氯气,4
化工厂,化工厂,20
青铜,青铜,5
干冰,干冰,2
化学变化,化学变化,2
碘化银,碘化银,1
催化,催化,13
氮气,氮气,3
标准条件,标准条件,1
铸铁,铸铁,2
绝对值,绝对值,2
竞争性,竞争性,17
温室气体,温室气体,11
快速发酵,快速发酵,1
水蒸汽,水蒸汽,1
碳酸,碳酸,6
炸药,炸药,13
蜂蜡,蜂蜡,2
琥珀,琥珀,4
化学成分,化学成分,7
铀,铀,16
相互作用,相互作用,3
氰化物,氰化物,1
蓖麻毒,蓖麻毒,1
定性分析,定性分析,2
镉,镉,8
砷,砷,7
铅蓄电池,铅蓄电池,5
庆大霉素,庆大霉素,2
干点,干点,8
胆汁酸,胆汁酸,1
胆红素,胆红素,2
异构体,异构体,1
化学家,化学家,12
微粒,微粒,2
胆固醇,胆固醇,3
熔化,熔化,7
聚光镜,聚光镜,1
炼金术,炼金术,2
荷尔蒙,荷尔蒙,6
短周期,短周期,1
周期性,周期性,9
挥发,挥发,6
硝酸,硝酸,2
硝基,硝基,1
爆炸物,爆炸物,11
苯酚,苯酚,3
化学工程,化学工程,6
石棉板,石棉板,1
水分,水分,29
蓝宝石,蓝宝石,1
辛酸,辛酸,5
半导体,半导体,14
发生器,发生器,2
铁矿石,铁矿石,6
断链,断链,1
DNA,DNA,18
煤油,煤油,9
海盐,海盐,4
核反应,核反应,3
原子核,原子核,4
核聚变,核聚变,8
天然胶,天然胶,1
合成橡胶,合成橡胶,1
橡胶,橡胶,13
水解,水解,3
氙气,氙气,2
加热,加热,19
晶体,晶体,4
X射线,X射线,5
十二面体,十二面体,1
分子排布,分子排布,1
脱硫,脱硫,8
转炉,转炉,1
氢氧化物,氢氧化物,1
芘,芘,1
氢化油,氢化油,2
砒霜,砒霜,5
氢化,氢化,1
副产物,副产物,15
苯,苯,3
磷,磷,12
茶油,茶油,3
水胺,水胺,1
硫,硫,4
往复式压缩机,往复式压缩机,1
空气质量,空气质量,26
酸,酸,11
性激素,性激素,1
负极大,负极大,1
化学药品,化学药品,4
剥离强度,剥离强度,1
腐蚀,腐蚀,12
晶体管,晶体管,2
磷肥,磷肥,4
波动性,波动性,4
钾肥,钾肥,3
超导材料,超导材料,2
循环衰竭,循环衰竭,1
胰岛素,胰岛素,6
聚酰亚胺,聚酰亚胺,1
镉中毒,镉中毒,2
生物燃料,生物燃料,5
锌,锌,8
含砷量,含砷量,1
吸附能力,吸附能力,1
氟,氟,2
敌敌畏,敌敌畏,3
尼古丁,尼古丁,5
血糖,血糖,8
脂蛋白,脂蛋白,1
亚硝酸胺,亚硝酸胺,1
头孢菌素,头孢菌素,3
酶,酶,6
可燃物,可燃物,3
防火材料,防火材料,1
易燃性,易燃性,1
聚氨酯,聚氨酯,4
电子数,电子数,2
电子管,电子管,1
聚合,聚合,8
铁锈,铁锈,3
酸性,酸性,4
锡,锡,4
白色污染,白色污染,3
正己烷,正己烷,3
热量,热量,17
营养物质,营养物质,8
矿物质,矿物质,6
营养素,营养素,8
科里,科里,2
润湿,润湿,1
族,族,7
脂油,脂油,1
再生资源,再生资源,6
风能,风能,12
贵金属,贵金属,9
生长激素,生长激素,3
延迟焦化,延迟焦化,1
聚乙烯,聚乙烯,3
再生利用,再生利用,4
水压机,水压机,1
煤化工,煤化工,9
离子膜,离子膜,1
煅烧,煅烧,1
氯酸钠,氯酸钠,2
纯度,纯度,4
临界点,临界点,7
氧化铝,氧化铝,2
黏土,黏土,2
材料工程,材料工程,4
添加物,添加物,7
陶器,陶器,3
水晶,水晶,11
原甲酸三甲酯,原甲酸三甲酯,1
黑色金属,黑色金属,2
单体,单体,5
核能,核能,20
亚硝酸盐,亚硝酸盐,6
油性,油性,1
微量元素,微量元素,2
热学,热学,1
氦,氦,1
氚核,氚核,1
铜绿,铜绿,1
烯烃,烯烃,5
碳素,碳素,2
燃点,燃点,3
半衰期,半衰期,5
碘,碘,18
净化装置,净化装置,1
罗丹明B,罗丹明B,2
甲醛,甲醛,6
化石燃料,化石燃料,4
丹宁,丹宁,1
碳平衡,碳平衡,1
靛蓝,靛蓝,2
铅酸,铅酸,3
暗物质,暗物质,3
核子,核子,4
红宝石,红宝石,5
孔雀石,孔雀石,1
冷却水,冷却水,13
自燃,自燃,5
镀金,镀金,8
凝集,凝集,1
硫酸钡,硫酸钡,1
火山岩,火山岩,1
苏木,苏木,4
核反应堆,核反应堆,14
水相,水相,4
汞,汞,2
克伦特罗,克伦特罗,8
对比试验,对比试验,1
微循环,微循环,1
碳环,碳环,5
光合作用,光合作用,4
单色,单色,2
衍生物,衍生物,4
氰化钠,氰化钠,2
酸奶,酸奶,7
有机肥料,有机肥料,5
烯,烯,2
裂变,裂变,8
放电,放电,4
材料科学与工程,材料科学与工程,4
离心铸造,离心铸造,1
白血球,白血球,3
透析,透析,4
孔雀石绿,孔雀石绿,1
甜味剂,甜味剂,3
复合材料,复合材料,11
混合气体,混合气体,2
细胞膜,细胞膜,2
吗啡,吗啡,1
阿片,阿片,1
乳糖,乳糖,1
半乳糖,半乳糖,1
渗透压,渗透压,2
乳糖酶,乳糖酶,1
一价,一价,2
钛锌,钛锌,1
泛酸,泛酸,1
盐卤,盐卤,1
地球化学,地球化学,8
轻油,轻油,1
石灰石,石灰石,2
甲醇,甲醇,3
量杯,量杯,1
甲基,甲基,2
物理化学,物理化学,2
功能材料,功能材料,6
氧化,氧化,6
过氧化氢,过氧化氢,2
胶片,胶片,4
金属冶炼,金属冶炼,4
脱硝,脱硝,4
高分子,高分子,7
应用化学,应用化学,3
分子结构,分子结构,2
过氧化苯甲酰,过氧化苯甲酰,2
过氧化钙,过氧化钙,2
加压素,加压素,1
多态性,多态性,1
匹配指数,匹配指数,1
受体阻断,受体阻断,1
粘附分子,粘附分子,1
催化裂解,催化裂解,1
玄武岩,玄武岩,2
中性,中性,7
释放能量,释放能量,2
矿物,矿物,5
熔岩,熔岩,1
微克,微克,6
精密仪器,精密仪器,7
吸塑,吸塑,1
等价,等价,2
天体化学,天体化学,1
菜油,菜油,2
气体燃料,气体燃料,1
免疫球蛋白,免疫球蛋白,1
核黄素,核黄素,1
糖皮质激素,糖皮质激素,1
甘露醇,甘露醇,1
脑脊液,脑脊液,1
浓缩铀,浓缩铀,4
核燃料,核燃料,12
材料科学,材料科学,11
沼气,沼气,7
液晶,液晶,1
铂,铂,2
注射成型,注射成型,2
粉末冶金,粉末冶金,2
热解,热解,1
煤渣,煤渣,3
流化床,流化床,1
生物降解,生物降解,2
光电子,光电子,4
化学工业,化学工业,4
石油工业,石油工业,7
化学反应,化学反应,10
锂,锂,2
空间结构,空间结构,2
聚合物,聚合物,3
锂电池,锂电池,3
皮棉,皮棉,1
倒伏,倒伏,4
热对流,热对流,1
相对湿度,相对湿度,1
热传导,热传导,1
环境温度,环境温度,2
水化,水化,1
煤化,煤化,2
迁移时间,迁移时间,1
稀土,稀土,4
水槽,水槽,4
氨气,氨气,3
定量化,定量化,1
硒,硒,3
维生素E,维生素E,1
铟,铟,2
电子发射,电子发射,1
层析,层析,1
核磁共振,核磁共振,2
重水,重水,3
稀有金属,稀有金属,4
腐蚀性,腐蚀性,4
焦化,焦化,3
巴氏消毒法,巴氏消毒法,1
球蛋白,球蛋白,2
双酚A,双酚A,1
偏光,偏光,1
泥浆泵,泥浆泵,2
物理化学作用,物理化学作用,1
降粘剂,降粘剂,1
邻苯二甲酸盐,邻苯二甲酸盐,1
臭氧,臭氧,7
对苯二甲酸,对苯二甲酸,1
己二酸二辛酯,己二酸二辛酯,1
水浴,水浴,1
溴化物,溴化物,1
维生素C,维生素C,3
食用色素,食用色素,1
刺激性气体,刺激性气体,2
青霉素,青霉素,4
钚,钚,8
镅,镅,1
放射性同位素,放射性同位素,9
锔,锔,1
锶,锶,2
蔗糖,蔗糖,3
铯,铯,9
糖类,糖类,1
镎,镎,1
中子,中子,4
助剂,助剂,2
残留物,残留物,3
邻苯二甲酸,邻苯二甲酸,2
克拉维酸钾,克拉维酸钾,3
乙酯,乙酯,2
邻苯二甲酸二丁酯,邻苯二甲酸二丁酯,1
酸处理,酸处理,1
化工技术,化工技术,4
干燥设备,干燥设备,1
吸收法,吸收法,1
光催化,光催化,2
测量误差,测量误差,2
肥皂泡,肥皂泡,2
有机体,有机体,1
岩浆,岩浆,2
矿石,矿石,10
乙酸,乙酸,5
甲酯,甲酯,3
铋,铋,1
空心砖,空心砖,1
尼龙,尼龙,5
化学键,化学键,1
海洛因,海洛因,4
周期律,周期律,1
正极,正极,1
孔隙率,孔隙率,1
花岗岩,花岗岩,6
球阀,球阀,1
硼,硼,2
金属材料,金属材料,5
肌苷酸,肌苷酸,1
阴离子,阴离子,1
谷氨酸盐,谷氨酸盐,1
谷氨酸钠,谷氨酸钠,1
谷氨酸,谷氨酸,1
噻吩,噻吩,1
灵敏度,灵敏度,3
固态,固态,5
固体润滑剂,固体润滑剂,1
表面活性,表面活性,1
乙酰水杨酸,乙酰水杨酸,5
天然色素,天然色素,2
着色剂,着色剂,3
增稠剂,增稠剂,2
最外层,最外层,1
试管,试管,8
钾肥料,钾肥料,1
温室效应,温室效应,2
