Source,Target,Type,Id,Label,Weight
钼,铜,Undirected,42829,,3.0
钼,金,Undirected,44026,,1.0
钼,稀土金属,Undirected,43444,,1.0
铜,银,Undirected,43055,,7.0
铜,水泥,Undirected,43889,,1.0
铜,族,Undirected,44866,,1.0
铜,脂肪,Undirected,44048,,1.0
铜,蛋白质,Undirected,44291,,1.0
铜,汞,Undirected,43841,,1.0
铜,铟,Undirected,45333,,1.0
铜,重金属,Undirected,44619,,1.0
铜,花岗岩,Undirected,43392,,1.0
能源,液体,Undirected,42830,,2.0
能源,液化天然气,Undirected,42994,,1.0
能源,炸药,Undirected,43456,,1.0
能源,方向性,Undirected,44186,,1.0
能源,矿物,Undirected,43028,,1.0
能源,二氧化碳,Undirected,43243,,1.0
能源,燃烧,Undirected,44324,,2.0
能源,石油,Undirected,43984,,36.0
能源,太阳能,Undirected,44445,,3.0
能源,合成,Undirected,43607,,1.0
能源,电子,Undirected,44373,,9.0
能源,温室气体,Undirected,45276,,1.0
能源,天然,Undirected,44613,,2.0
能源,钢铁,Undirected,43471,,6.0
能源,柴油,Undirected,44366,,2.0
能源,动力学,Undirected,42929,,1.0
能源,固体,Undirected,44786,,1.0
能源,碳,Undirected,43619,,4.0
能源,煤,Undirected,43939,,1.0
能源,纳米,Undirected,43162,,1.0
能源,链式反应,Undirected,43744,,1.0
能源,沉积岩,Undirected,43138,,1.0
能源,量子,Undirected,44156,,1.0
能源,瓦斯,Undirected,44566,,1.0
能源,热电,Undirected,43293,,1.0
能源,煤化工,Undirected,43376,,1.0
能源,量子力学,Undirected,43551,,1.0
能源,凝聚态,Undirected,43582,,1.0
能源,核聚变,Undirected,44824,,1.0
能源,空气压缩机,Undirected,43662,,1.0
能源,甘醇,Undirected,44867,,1.0
能源,水相,Undirected,43915,,1.0
能源,型煤,Undirected,43930,,1.0
能源,转炉,Undirected,44069,,1.0
能源,脱硝,Undirected,44193,,1.0
能源,气化,Undirected,44753,,1.0
能源,甜菜糖,Undirected,44636,,1.0
能源,连串反应,Undirected,44694,,1.0
能源,加成反应,Undirected,44725,,1.0
能源,结构分析,Undirected,45297,,1.0
液体,试管,Undirected,43254,,1.0
液体,发酵,Undirected,44560,,1.0
液体,合成,Undirected,43211,,1.0
液体,天然,Undirected,44818,,1.0
液体,塑料,Undirected,44574,,1.0
液体,中微子,Undirected,43349,,1.0
液体,材料科学,Undirected,44952,,1.0
液体,氧化剂,Undirected,44103,,1.0
液体,苏打水,Undirected,44009,,1.0
液体,煤油,Undirected,45113,,1.0
液体,乙酰水杨酸,Undirected,45143,,1.0
卵黄,天平,Undirected,42831,,1.0
天平,能源,Undirected,42928,,1.0
天平,能量,Undirected,45202,,1.0
天平,海水,Undirected,45115,,1.0
天平,石油,Undirected,42991,,1.0
天平,电子,Undirected,43913,,1.0
天平,成分,Undirected,43687,,1.0
天平,光缆,Undirected,42976,,1.0
天平,废水,Undirected,44921,,1.0
天平,废气,Undirected,45161,,1.0
天平,不饱和,Undirected,43115,,1.0
天平,砝码,Undirected,44424,,1.0
营养,能源,Undirected,44340,,1.0
营养,糖,Undirected,42832,,1.0
营养,取样,Undirected,43790,,1.0
营养,焊接,Undirected,43566,,1.0
营养,水,Undirected,43519,,9.0
营养,太阳能,Undirected,43865,,2.0
营养,天然,Undirected,43904,,4.0
营养,菜油,Undirected,44709,,1.0
营养,空气质量,Undirected,44922,,1.0
营养,中位数,Undirected,43559,,1.0
营养,钙,Undirected,43133,,3.0
营养,提纯,Undirected,45306,,1.0
营养,乙醇,Undirected,44723,,1.0
营养,脂肪酸,Undirected,44924,,1.0
营养,熔炉,Undirected,44692,,1.0
营养,矿物质,Undirected,44076,,1.0
营养,透析,Undirected,45141,,1.0
营养,锶,Undirected,44718,,1.0
营养,维生素B9,Undirected,43769,,1.0
营养,红花油,Undirected,44150,,1.0
营养,有机磷,Undirected,44552,,1.0
营养,球蛋白,Undirected,44861,,1.0
营养,克伦特罗,Undirected,45188,,1.0
糖,天然,Undirected,44230,,1.0
糖,化学家,Undirected,43501,,1.0
糖,巴斯德,Undirected,44111,,1.0
焦化,单体,Undirected,42833,,1.0
焦化,水污染,Undirected,43778,,1.0
焦化,煤化工,Undirected,43882,,1.0
单体,加热,Undirected,43078,,1.0
焦炉煤气,天然气,Undirected,42834,,1.0
天然气,铜,Undirected,43412,,1.0
天然气,能源,Undirected,44608,,2.0
天然气,镀金,Undirected,44094,,1.0
天然气,当量,Undirected,44591,,1.0
天然气,能量,Undirected,42910,,2.0
天然气,煤气,Undirected,45000,,2.0
天然气,二氧化碳,Undirected,43964,,1.0
天然气,粉尘,Undirected,42852,,1.0
天然气,分子,Undirected,44036,,2.0
天然气,沉淀,Undirected,43179,,1.0
天然气,水,Undirected,42924,,1.0
天然气,气体,Undirected,44410,,1.0
天然气,过滤,Undirected,43721,,1.0
天然气,临界点,Undirected,44177,,1.0
天然气,玻璃,Undirected,44614,,1.0
天然气,升华,Undirected,43416,,1.0
天然气,竞争性,Undirected,44689,,1.0
天然气,新型能源,Undirected,44408,,1.0
天然气,大气污染,Undirected,44082,,1.0
天然气,黄土,Undirected,43328,,1.0
天然气,铁矿石,Undirected,43292,,1.0
天然气,石油工业,Undirected,43356,,2.0
天然气,生物燃料,Undirected,44947,,1.0
天然气,热力学,Undirected,44975,,1.0
天然气,液化,Undirected,45206,,1.0
硫化,液化天然气,Undirected,42835,,1.0
液化天然气,液化气,Undirected,45126,,1.0
液化天然气,柴油,Undirected,44670,,1.0
液化天然气,油气,Undirected,44652,,1.0
液化天然气,乙醇,Undirected,43418,,1.0
金,铜,Undirected,43428,,7.0
金,能源,Undirected,43664,,5.0
金,天平,Undirected,45153,,1.0
金,营养,Undirected,44589,,3.0
金,天然气,Undirected,44394,,1.0
金,光谱,Undirected,42836,,1.0
金,镀金,Undirected,43154,,2.0
金,镭,Undirected,44906,,1.0
金,铁,Undirected,43685,,3.0
金,汽油,Undirected,42937,,1.0
金,干点,Undirected,44584,,1.0
金,能量,Undirected,44114,,3.0
金,燃料电池,Undirected,44889,,1.0
金,焊接,Undirected,42898,,2.0
金,盐,Undirected,43788,,2.0
金,石油,Undirected,42912,,3.0
金,银,Undirected,43795,,9.0
金,水泥,Undirected,43806,,2.0
金,沉淀,Undirected,43572,,1.0
金,水,Undirected,43406,,6.0
金,发酵,Undirected,43209,,1.0
金,化学,Undirected,44435,,1.0
金,氯气,Undirected,43802,,1.0
金,过滤,Undirected,43374,,1.0
金,碳环,Undirected,44828,,1.0
金,太阳能,Undirected,44550,,3.0
金,纯度,Undirected,42886,,1.0
金,电子,Undirected,45207,,2.0
金,沼气,Undirected,42982,,1.0
金,天然,Undirected,44425,,3.0
金,玻璃,Undirected,43270,,3.0
金,塑料,Undirected,45235,,1.0
金,精度,Undirected,44261,,1.0
金,钢铁,Undirected,43475,,1.0
金,升华,Undirected,43106,,3.0
金,周期性,Undirected,42941,,1.0
金,燃料,Undirected,44317,,1.0
金,动力学,Undirected,44885,,2.0
金,碳,Undirected,42935,,4.0
金,辛酸,Undirected,43369,,1.0
金,镉,Undirected,43838,,1.0
金,冶炼,Undirected,43644,,1.0
金,水分,Undirected,44428,,1.0
金,分解,Undirected,45317,,1.0
金,DNA,Undirected,43796,,2.0
金,化肥,Undirected,44346,,1.0
金,耐用性,Undirected,43067,,1.0
金,宝石,Undirected,44109,,1.0
金,分子结构,Undirected,43119,,1.0
金,钻石,Undirected,43249,,4.0
金,黄土,Undirected,44205,,4.0
金,酸,Undirected,43492,,1.0
金,鱼肝油,Undirected,43181,,1.0
金,铁丝网,Undirected,44585,,1.0
金,焚烧,Undirected,43821,,1.0
金,瓦斯,Undirected,44454,,1.0
金,自燃,Undirected,43826,,1.0
金,磁铁,Undirected,43387,,1.0
金,合金,Undirected,43394,,1.0
金,风能,Undirected,45004,,1.0
金,聚乙烯,Undirected,43454,,1.0
金,舒尔茨,Undirected,44308,,1.0
金,回流,Undirected,45129,,1.0
金,煤化,Undirected,44771,,1.0
金,营养物质,Undirected,43906,,1.0
金,热量,Undirected,44770,,1.0
金,溴,Undirected,44685,,1.0
金,硼,Undirected,43848,,1.0
金,维生素A,Undirected,45150,,1.0
金,红玉,Undirected,44151,,1.0
金,钠离子,Undirected,44381,,1.0
镀金,镭,Undirected,42837,,1.0
镀金,标定,Undirected,44515,,1.0
镀金,水晶,Undirected,44221,,1.0
镀金,真值,Undirected,42949,,1.0
镀金,发生器,Undirected,44966,,1.0
镭,玻璃,Undirected,43654,,1.0
铁,铜,Undirected,42962,,3.0
铁,能源,Undirected,43573,,1.0
铁,砂岩,Undirected,42838,,1.0
铁,石油,Undirected,44809,,1.0
铁,水泥,Undirected,45160,,1.0
铁,沉淀,Undirected,43272,,1.0
铁,水,Undirected,44031,,3.0
铁,矿泉水,Undirected,44863,,1.0
铁,含量,Undirected,44034,,1.0
铁,太阳能,Undirected,43434,,1.0
铁,柴油,Undirected,45330,,1.0
铁,油气,Undirected,44690,,1.0
铁,大理石,Undirected,44306,,1.0
铁,焚烧,Undirected,44643,,1.0
铁,瓷,Undirected,43950,,1.0
神经递质,汽油,Undirected,42839,,1.0
汽油,能源,Undirected,43071,,4.0
汽油,营养,Undirected,43940,,1.0
汽油,PM2.5,Undirected,42882,,1.0
汽油,燃烧,Undirected,44002,,1.0
汽油,气体,Undirected,43798,,1.0
汽油,电子气,Undirected,43846,,2.0
汽油,电池,Undirected,44078,,1.0
汽油,柴油,Undirected,43503,,7.0
汽油,动力学,Undirected,44581,,1.0
汽油,碳,Undirected,45116,,1.0
汽油,煤,Undirected,43521,,1.0
汽油,加热,Undirected,44397,,1.0
汽油,DNA,Undirected,44497,,1.0
汽油,锌,Undirected,44938,,1.0
汽油,放电,Undirected,45040,,1.0
汽油,溶剂,Undirected,43653,,1.0
汽油,辐射剂量,Undirected,44207,,1.0
汽油,热解,Undirected,43990,,1.0
炸药,方向性,Undirected,42840,,1.0
炸药,族,Undirected,43043,,1.0
炸药,化学,Undirected,43253,,1.0
炸药,花岗岩,Undirected,43348,,1.0
方向性,介质,Undirected,44646,,1.0
干点,标定,Undirected,42841,,1.0
干点,氧气,Undirected,44617,,1.0
干点,水,Undirected,43045,,1.0
干点,试剂,Undirected,43069,,1.0
干点,化肥,Undirected,43593,,1.0
干点,机油,Undirected,43625,,1.0
标定,柴油,Undirected,45271,,1.0
标定,红外,Undirected,44266,,1.0
标定,铬,Undirected,44158,,1.0
标定,摩尔,Undirected,44819,,1.0
氧气,炸药,Undirected,44029,,1.0
氧气,当量,Undirected,42842,,1.0
氧气,燃烧,Undirected,43006,,1.0
氧气,水,Undirected,44007,,2.0
氧气,含量,Undirected,43184,,2.0
氧气,电池,Undirected,44380,,1.0
氧气,钢铁,Undirected,44586,,1.0
氧气,DNA,Undirected,45321,,1.0
氧气,降解,Undirected,43319,,1.0
氧气,淬火,Undirected,44667,,1.0
氧气,内啡肽,Undirected,44833,,1.0
当量,能量,Undirected,44647,,1.0
当量,石油,Undirected,44719,,1.0
当量,电子,Undirected,44286,,1.0
当量,精度,Undirected,43401,,1.0
当量,油气,Undirected,45267,,1.0
当量,胡萝卜素,Undirected,45151,,1.0
导管,能量,Undirected,42843,,1.0
导管,水,Undirected,43166,,1.0
导管,硅胶,Undirected,43313,,1.0
能量,能源,Undirected,44703,,1.0
能量,营养,Undirected,43474,,2.0
能量,糖,Undirected,45060,,1.0
能量,汽油,Undirected,44743,,1.0
能量,酸奶,Undirected,42849,,1.0
能量,海水,Undirected,43135,,1.0
能量,发酵,Undirected,44629,,2.0
能量,铅,Undirected,43967,,1.0
能量,荧光,Undirected,42876,,1.0
能量,化学,Undirected,43046,,2.0
能量,液晶,Undirected,42881,,1.0
能量,电池,Undirected,43523,,3.0
能量,电子,Undirected,43299,,3.0
能量,胶片,Undirected,44738,,1.0
能量,天然,Undirected,44215,,2.0
能量,废渣,Undirected,44060,,1.0
能量,锂电池,Undirected,44399,,1.0
能量,成分,Undirected,43833,,1.0
能量,钢铁,Undirected,44605,,2.0
能量,动力学,Undirected,44536,,1.0
能量,固体,Undirected,43053,,1.0
能量,碳,Undirected,43633,,1.0
能量,精炼,Undirected,44540,,1.0
能量,废水,Undirected,44699,,1.0
能量,分解,Undirected,44726,,1.0
能量,加热,Undirected,43410,,1.0
能量,DNA,Undirected,43068,,2.0
能量,聚合,Undirected,44427,,1.0
能量,核燃料,Undirected,44846,,1.0
能量,焚烧,Undirected,43683,,2.0
能量,铝,Undirected,43982,,2.0
能量,砝码,Undirected,44331,,2.0
能量,蜡烛,Undirected,43666,,1.0
能量,卤,Undirected,44759,,1.0
能量,朱砂,Undirected,44072,,1.0
能量,暗物质,Undirected,43578,,1.0
能量,摩尔,Undirected,45230,,1.0
能量,相对速度,Undirected,45139,,1.0
能量,热量,Undirected,44102,,1.0
能量,维生素A,Undirected,43986,,1.0
能量,白血球,Undirected,44475,,1.0
能量,中性,Undirected,44529,,1.0
能量,矿物颜料,Undirected,44850,,1.0
能量,氙灯,Undirected,45272,,1.0
副产物,矿物,Undirected,42844,,1.0
副产物,水,Undirected,43993,,1.0
矿物,取样,Undirected,42845,,1.0
矿物,铁矿石,Undirected,44625,,1.0
取样,废渣,Undirected,43541,,1.0
取样,空气质量,Undirected,45253,,1.0
取样,腐蚀,Undirected,43976,,1.0
取样,地球化学,Undirected,44931,,1.0
试管,取样,Undirected,44578,,1.0
试管,抗生素,Undirected,42846,,1.0
抗生素,营养,Undirected,44538,,1.0
抗生素,取样,Undirected,43784,,1.0
抗生素,天然,Undirected,44234,,1.0
抗生素,科里,Undirected,42901,,1.0
抗生素,脂肪,Undirected,44288,,1.0
抗生素,色素,Undirected,44285,,1.0
抗生素,制备,Undirected,43856,,1.0
抗生素,肥料,Undirected,43057,,1.0
抗生素,乙醇,Undirected,43231,,1.0
抗生素,青霉素,Undirected,44808,,1.0
抗生素,氯霉素,Undirected,45145,,1.0
抗生素,孔雀石绿,Undirected,45275,,1.0
PH,燃料电池,Undirected,42847,,1.0
燃料电池,汽油,Undirected,42909,,1.0
燃料电池,燃烧,Undirected,44582,,1.0
燃料电池,电池,Undirected,43854,,1.0
燃料电池,燃料,Undirected,44929,,1.0
焊接,单体,Undirected,42848,,1.0
焊接,石油,Undirected,44517,,1.0
焊接,合金钢,Undirected,42872,,1.0
焊接,太阳能,Undirected,43402,,1.0
焊接,电子,Undirected,43614,,3.0
焊接,废渣,Undirected,43443,,1.0
焊接,柴油,Undirected,45284,,1.0
焊接,电焊,Undirected,44315,,2.0
焊接,稀土,Undirected,43379,,1.0
焊接,硬度,Undirected,43357,,1.0
焊接,红外,Undirected,44882,,1.0
焊接,酸,Undirected,43178,,1.0
焊接,铝,Undirected,44660,,1.0
焊接,水溶性,Undirected,43983,,1.0
焊接,培养基,Undirected,45203,,1.0
焊接,磁铁矿,Undirected,44641,,1.0
酸奶,铜,Undirected,43502,,1.0
酸奶,糖,Undirected,43393,,1.0
酸奶,水,Undirected,44216,,1.0
酸奶,化学,Undirected,44681,,1.0
酸奶,铬,Undirected,44128,,2.0
酸奶,明胶,Undirected,44097,,1.0
煤气,能源,Undirected,42850,,2.0
煤气,干点,Undirected,44760,,1.0
煤气,水泥,Undirected,45073,,1.0
煤气,电子,Undirected,44139,,1.0
煤气,煤,Undirected,43937,,1.0
煤气,辛酸,Undirected,44417,,1.0
二氧化碳,汽油,Undirected,43528,,1.0
二氧化碳,PM2.5,Undirected,42851,,2.0
二氧化碳,二氧化硫,Undirected,43726,,1.0
二氧化碳,电子气,Undirected,42880,,1.0
二氧化碳,太阳能,Undirected,45335,,1.0
二氧化碳,温室气体,Undirected,43960,,2.0
二氧化碳,动力学,Undirected,43800,,1.0
二氧化碳,碳,Undirected,45228,,1.0
二氧化碳,废水,Undirected,43884,,1.0
二氧化碳,废气,Undirected,43534,,1.0
二氧化碳,臭氧,Undirected,43957,,1.0
二氧化碳,相对湿度,Undirected,44898,,1.0
二氧化碳,蓝宝石,Undirected,45282,,1.0
二氧化碳,相平衡,Undirected,44469,,1.0
二氧化碳,发生器,Undirected,45289,,1.0
PM2.5,能源,Undirected,45065,,3.0
PM2.5,能量,Undirected,45290,,1.0
PM2.5,燃烧,Undirected,44365,,2.0
PM2.5,粉尘,Undirected,43815,,1.0
PM2.5,水,Undirected,43786,,4.0
PM2.5,含量,Undirected,45074,,1.0
PM2.5,钢铁,Undirected,44840,,1.0
PM2.5,加热,Undirected,43425,,1.0
PM2.5,空气质量,Undirected,43923,,4.0
PM2.5,大气污染,Undirected,44301,,8.0
PM2.5,微克,Undirected,44728,,1.0
PM2.5,化工厂,Undirected,43225,,2.0
PM2.5,一氧化碳,Undirected,44360,,1.0
PM2.5,页岩气,Undirected,43864,,2.0
燃烧,天然气,Undirected,43118,,1.0
燃烧,干点,Undirected,42863,,2.0
燃烧,二氧化碳,Undirected,44961,,3.0
燃烧,盐,Undirected,42995,,1.0
燃烧,水,Undirected,43780,,5.0
燃烧,发酵,Undirected,44740,,1.0
燃烧,气体,Undirected,43049,,4.0
燃烧,电池,Undirected,43743,,2.0
燃烧,电子,Undirected,44393,,2.0
燃烧,玻璃,Undirected,45232,,2.0
燃烧,碳,Undirected,43973,,3.0
燃烧,煤,Undirected,44653,,1.0
燃烧,粒子,Undirected,44615,,1.0
燃烧,钴,Undirected,44318,,1.0
燃烧,汽油弹,Undirected,45249,,1.0
燃烧,乙醇,Undirected,43580,,1.0
燃烧,固态,Undirected,45058,,1.0
燃烧,电绝缘,Undirected,44336,,1.0
燃烧,镍氢电池,Undirected,44396,,1.0
燃烧,钢化玻璃,Undirected,44959,,1.0
粉尘,石油,Undirected,42940,,1.0
粉尘,水,Undirected,44671,,1.0
粉尘,含量,Undirected,44596,,1.0
粉尘,微克,Undirected,43114,,1.0
粉尘,杂质,Undirected,44118,,1.0
粉尘,自然通风,Undirected,44098,,1.0
二氧化硫,金,Undirected,44194,,1.0
二氧化硫,PM2.5,Undirected,43767,,4.0
二氧化硫,水,Undirected,45094,,1.0
二氧化硫,化学需氧量,Undirected,44900,,1.0
化学工业,营养盐,Undirected,42853,,1.0
化学工业,电石,Undirected,43281,,1.0
化学工业,橡胶,Undirected,44953,,1.0
对比试验,当量,Undirected,44658,,1.0
对比试验,盐,Undirected,42854,,1.0
对比试验,液化气,Undirected,44432,,1.0
盐,营养,Undirected,43397,,2.0
盐,糖,Undirected,43472,,1.0
盐,汽油,Undirected,43263,,1.0
盐,干点,Undirected,44119,,1.0
盐,水泥,Undirected,42917,,2.0
盐,沉淀,Undirected,45216,,1.0
盐,水,Undirected,44126,,2.0
盐,电池,Undirected,43240,,1.0
盐,电子,Undirected,43514,,1.0
盐,天然,Undirected,44908,,1.0
盐,碳,Undirected,45244,,1.0
盐,煤,Undirected,44201,,1.0
盐,食用油,Undirected,44074,,1.0
盐,竞争性,Undirected,45205,,1.0
盐,化肥,Undirected,43677,,2.0
盐,堆肥,Undirected,44062,,1.0
盐,砝码,Undirected,43433,,1.0
盐,结晶学,Undirected,43326,,1.0
盐,熔炉,Undirected,44090,,1.0
盐,糖化,Undirected,45286,,1.0
盐,洗涤液,Undirected,44972,,1.0
杂化,海水,Undirected,42855,,1.0
海水,营养,Undirected,43728,,1.0
海水,取样,Undirected,43525,,1.0
海水,水,Undirected,44152,,2.0
海水,电子,Undirected,42936,,2.0
海水,天然,Undirected,44372,,1.0
海水,成分,Undirected,45147,,1.0
海水,释放能量,Undirected,44176,,1.0
海盐,酿造,Undirected,42856,,1.0
酿造,瓷器,Undirected,43966,,1.0
酿造,发酵,Undirected,43700,,1.0
瓷器,陶瓷,Undirected,42857,,3.0
瓷器,水晶,Undirected,44412,,1.0
陶瓷,钾肥,Undirected,43706,,1.0
陶瓷,瓷,Undirected,45248,,1.0
石油,铜,Undirected,44241,,1.0
石油,营养,Undirected,44968,,1.0
石油,天然气,Undirected,44187,,7.0
石油,汽油,Undirected,43126,,3.0
石油,干点,Undirected,42914,,1.0
石油,氧气,Undirected,44392,,1.0
石油,酸奶,Undirected,44712,,1.0
石油,二氧化碳,Undirected,44466,,1.0
石油,PM2.5,Undirected,44341,,1.0
石油,燃烧,Undirected,43183,,2.0
石油,海水,Undirected,42864,,2.0
石油,镍,Undirected,42858,,1.0
石油,水泥,Undirected,42861,,2.0
石油,族,Undirected,44081,,1.0
石油,有色金属,Undirected,44892,,2.0
石油,发酵,Undirected,45195,,2.0
石油,含量,Undirected,43970,,1.0
石油,电池,Undirected,45229,,1.0
石油,电子,Undirected,43160,,4.0
石油,剂量,Undirected,42895,,1.0
石油,连锁反应,Undirected,43808,,2.0
石油,锂电池,Undirected,44164,,1.0
石油,钢铁,Undirected,44178,,3.0
石油,柴油,Undirected,43088,,2.0
石油,油气,Undirected,43180,,5.0
石油,碳,Undirected,44516,,1.0
石油,氢,Undirected,43875,,2.0
石油,煤,Undirected,44430,,1.0
石油,粒子,Undirected,44856,,1.0
石油,纳米,Undirected,43112,,1.0
石油,精炼,Undirected,43686,,1.0
石油,制备,Undirected,44170,,1.0
石油,核反应堆,Undirected,43205,,1.0
石油,化肥,Undirected,44854,,1.0
石油,氧,Undirected,44468,,1.0
石油,半导体,Undirected,44598,,1.0
石油,化学物质,Undirected,43137,,1.0
石油,核燃料,Undirected,45264,,1.0
石油,润滑油,Undirected,43208,,3.0
石油,砝码,Undirected,43853,,2.0
石油,铁矿石,Undirected,43938,,3.0
石油,复合体,Undirected,43300,,1.0
石油,边界层,Undirected,43312,,2.0
石油,熔炉,Undirected,43417,,2.0
石油,化工原料,Undirected,45214,,1.0
石油,应用化学,Undirected,43554,,1.0
石油,碱性物质,Undirected,43647,,1.0
石油,活化,Undirected,44418,,1.0
石油,化学反应,Undirected,45211,,1.0
石油,炼金术,Undirected,44293,,1.0
石油,低血糖,Undirected,44530,,1.0
石油,稀有金属,Undirected,44612,,1.0
分子,能源,Undirected,45292,,1.0
分子,营养,Undirected,43271,,1.0
分子,金,Undirected,44191,,2.0
分子,光谱,Undirected,44265,,1.0
分子,能量,Undirected,43238,,1.0
分子,盐,Undirected,43215,,2.0
分子,陶瓷,Undirected,45009,,1.0
分子,石油,Undirected,44928,,2.0
分子,水晶,Undirected,42859,,1.0
分子,族,Undirected,43921,,1.0
分子,发酵,Undirected,44774,,1.0
分子,化学,Undirected,43586,,2.0
分子,电子,Undirected,45246,,2.0
分子,胶片,Undirected,44634,,1.0
分子,临界点,Undirected,44835,,1.0
分子,玻璃,Undirected,44890,,1.0
分子,浸润,Undirected,42900,,1.0
分子,精度,Undirected,43125,,1.0
分子,锂电池,Undirected,44879,,1.0
分子,油气,Undirected,43396,,1.0
分子,煤,Undirected,44943,,1.0
分子,弱碱性,Undirected,43014,,1.0
分子,RNA,Undirected,44934,,1.0
分子,核酸,Undirected,43155,,1.0
分子,铀,Undirected,43324,,2.0
分子,钻石,Undirected,44079,,1.0
分子,铝,Undirected,43310,,1.0
分子,比较法,Undirected,43309,,1.0
分子,夸克,Undirected,43470,,1.0
分子,橡胶,Undirected,44644,,1.0
分子,复合物,Undirected,43891,,1.0
分子,棉纤维,Undirected,43925,,1.0
分子,大分子,Undirected,44481,,1.0
水晶,石油,Undirected,44018,,2.0
水晶,水泥,Undirected,45098,,1.0
水晶,水,Undirected,43026,,1.0
水晶,蜡烛,Undirected,44837,,1.0
水晶,苦味基,Undirected,43365,,1.0
胶原蛋白,银,Undirected,42860,,1.0
胶原蛋白,铬,Undirected,44046,,1.0
胶原蛋白,明胶,Undirected,43366,,1.0
胶原蛋白,孕激素,Undirected,43691,,1.0
银,汽油,Undirected,44919,,1.0
银,有色金属,Undirected,43085,,1.0
银,电子,Undirected,44946,,4.0
银,塑料,Undirected,43835,,1.0
银,一氧化碳,Undirected,43245,,1.0
水泥,钼,Undirected,42944,,1.0
水泥,液体,Undirected,44319,,1.0
水泥,单体,Undirected,45307,,1.0
水泥,炸药,Undirected,43792,,1.0
水泥,二氧化硫,Undirected,43526,,1.0
水泥,海水,Undirected,44730,,1.0
水泥,矿泉水,Undirected,43403,,1.0
水泥,电池,Undirected,44941,,1.0
水泥,天然,Undirected,42934,,2.0
水泥,废渣,Undirected,43223,,1.0
水泥,成分,Undirected,44812,,1.0
水泥,钢铁,Undirected,43811,,1.0
水泥,钾肥,Undirected,42919,,1.0
水泥,光缆,Undirected,42920,,1.0
水泥,血糖,Undirected,45279,,1.0
水泥,煤,Undirected,43170,,3.0
水泥,冶炼,Undirected,45108,,1.0
水泥,脱水,Undirected,43157,,1.0
水泥,化肥,Undirected,44063,,1.0
水泥,结构设计,Undirected,43287,,1.0
水泥,一氧化碳,Undirected,45111,,1.0
水泥,铁矿石,Undirected,43360,,1.0
水泥,聚氯乙烯,Undirected,44797,,1.0
水泥,氮氧化物,Undirected,43955,,1.0
水泥,炼焦炉,Undirected,43936,,1.0
水泥,苏木,Undirected,44165,,1.0
水泥,生铁,Undirected,44772,,1.0
水泥,标准差,Undirected,45047,,1.0
沉淀,能量,Undirected,43626,,1.0
沉淀,试管,Undirected,45017,,1.0
沉淀,石油,Undirected,44181,,1.0
沉淀,族,Undirected,42862,,1.0
沉淀,发酵,Undirected,44696,,1.0
沉淀,矿泉水,Undirected,43123,,1.0
沉淀,醋,Undirected,43318,,1.0
沉淀,电子,Undirected,43951,,1.0
沉淀,燃料,Undirected,44722,,1.0
沉淀,固体,Undirected,44246,,1.0
沉淀,碳,Undirected,44739,,1.0
沉淀,催化剂,Undirected,44758,,1.0
沉淀,分解,Undirected,44939,,2.0
沉淀,菜油,Undirected,43013,,1.0
沉淀,化肥,Undirected,43073,,1.0
沉淀,重金属,Undirected,43298,,2.0
沉淀,砝码,Undirected,45172,,1.0
沉淀,氨基酸,Undirected,44077,,1.0
族,酿造,Undirected,44569,,1.0
族,等离子体,Undirected,43188,,1.0
爱因斯坦,营养,Undirected,42867,,1.0
爱因斯坦,光谱,Undirected,44523,,1.0
爱因斯坦,石油,Undirected,44817,,1.0
爱因斯坦,分子,Undirected,44601,,1.0
爱因斯坦,普朗克,Undirected,42865,,1.0
爱因斯坦,化学,Undirected,44789,,1.0
爱因斯坦,粒子,Undirected,44697,,1.0
爱因斯坦,蜡烛,Undirected,43315,,1.0
爱因斯坦,烧灼,Undirected,43390,,1.0
爱因斯坦,尼古丁,Undirected,45109,,1.0
有色金属,能源,Undirected,43333,,1.0
有色金属,水,Undirected,42866,,1.0
有色金属,不锈钢,Undirected,44314,,1.0
有色金属,电子,Undirected,43870,,2.0
有色金属,钢铁,Undirected,42950,,3.0
有色金属,相互作用,Undirected,43199,,1.0
有色金属,汞,Undirected,43819,,1.0
