Total Word is 14648 
Word,Percent,Count 
水,0.0582,853 
电子,0.0511,748 
能源,0.0483,707 
金,0.0418,612 
天然气,0.0195,285 
碳,0.0193,283 
营养,0.0187,274 
石油,0.0169,247 
水泥,0.0156,228 
天然,0.013,190 
含量,0.0109,160 
钢铁,0.0106,156 
煤,0.0097,142 
玻璃,0.0096,140 
空气质量,0.0095,139 
铁,0.0094,137 
能量,0.0089,131 
化肥,0.0079,116 
发酵,0.0073,107 
分解,0.0073,107 
升华,0.0072,106 
银,0.0072,105 
化学,0.0072,105 
肥料,0.007,102 
太阳能,0.0063,93 
沉淀,0.0063,93 
铜,0.0059,87 
铝,0.0057,84 
分子,0.0055,80 
电池,0.0053,77 
页岩气,0.0051,75 
塑料,0.0051,74 
二氧化碳,0.0051,74 
盐,0.0048,71 
二氧化硫,0.0046,68 
汽油,0.0046,68 
食用油,0.0044,65 
燃料,0.0044,65 
蛋白质,0.0043,63 
富集,0.0043,63 
再生资源,0.0043,63 
燃烧,0.0041,60 
陶瓷,0.004,59 
沼气,0.004,59 
矿泉水,0.004,58 
有机肥料,0.0039,57 
浸润,0.0039,57 
油气,0.0038,56 
重金属,0.0037,54 
合成,0.0036,53 
