Total Word is 30574 
Word,Percent,Count 
能源,0.0497,1518 
水,0.0456,1394 
石油,0.0397,1215 
金,0.0324,992 
大气污染,0.0199,608 
天然气,0.0185,566 
分子,0.0176,539 
天然,0.0175,534 
电子,0.0164,501 
空气质量,0.0147,448 
能量,0.0144,439 
发酵,0.0135,413 
PM2.5,0.0132,405 
钢铁,0.0119,365 
铁,0.0116,354 
水泥,0.0112,341 
玻璃,0.0104,319 
成分,0.01,307 
煤,0.0098,301 
燃烧,0.0092,282 
含量,0.0092,280 
营养,0.0091,277 
油气,0.009,276 
化学,0.0081,247 
碳,0.0077,236 
竞争性,0.0077,235 
化学武器,0.0076,233 
分解,0.007,214 
水污染,0.0067,205 
燃料,0.0063,193 
DNA,0.0059,180 
汽油,0.0057,175 
化工厂,0.0056,172 
重金属,0.0055,169 
水分,0.0055,167 
沉淀,0.0054,166 
太阳能,0.0052,158 
焚烧,0.0051,157 
原子弹,0.0046,142 
二氧化硫,0.0046,140 
矿泉水,0.0044,134 
塑料,0.0043,131 
柴油,0.004,121 
炸药,0.004,121 
化肥,0.004,121 
腐蚀,0.0039,120 
回流,0.0038,116 
废水,0.0038,115 
气体,0.0036,110 
镉,0.0035,108 
