Total Word is 25269 
Word,Percent,Count 
能源,0.0554,1401 
水,0.0553,1398 
金,0.0309,780 
电子,0.0273,691 
碳,0.0195,493 
钢铁,0.0184,464 
营养,0.0178,449 
石油,0.0166,420 
天然,0.0159,401 
铁,0.0155,392 
能量,0.0148,374 
大气污染,0.0127,320 
水泥,0.0121,307 
太阳能,0.0099,249 
空气质量,0.0095,240 
升华,0.0094,238 
沉淀,0.0093,235 
天然气,0.0092,233 
分解,0.0087,221 
煤,0.008,203 
化肥,0.0078,197 
燃烧,0.0077,195 
分子,0.0073,184 
油气,0.0073,184 
二氧化碳,0.0072,182 
水污染,0.0072,181 
化学,0.0071,179 
发酵,0.007,178 
核能,0.0062,157 
PM2.5,0.0061,155 
含量,0.0061,154 
玻璃,0.0061,154 
聚合,0.0058,146 
合成,0.0056,142 
银,0.0056,141 
燃料,0.0054,137 
电池,0.0053,135 
水分,0.0052,131 
铜,0.0051,129 
量子,0.0049,123 
周期性,0.0048,122 
重金属,0.0047,118 
钙,0.0047,118 
竞争性,0.0046,115 
海水,0.0046,115 
焚烧,0.0044,111 
肥料,0.0044,110 
浸润,0.0042,105 
二氧化硫,0.0041,104 
成分,0.0039,99 
