Total Word is 850 
Word,Percent,Count 
电子,0.0471,40 
能量,0.0388,33 
电池,0.0341,29 
粒子,0.0318,27 
过滤,0.0282,24 
量子,0.0235,20 
水,0.0235,20 
太阳能,0.0188,16 
化学,0.0165,14 
DNA,0.0153,13 
能源,0.0153,13 
爱因斯坦,0.0141,12 
分子,0.0141,12 
PH,0.0141,12 
放射性,0.0129,11 
纳米,0.0118,10 
核反应堆,0.0118,10 
燃料,0.0118,10 
石油,0.0106,9 
大气污染,0.0094,8 
中微子,0.0094,8 
二氧化碳,0.0094,8 
金,0.0094,8 
X射线,0.0094,8 
液体,0.0082,7 
核能,0.0082,7 
玻璃,0.0082,7 
暗物质,0.0071,6 
气体,0.0071,6 
含量,0.0071,6 
红外,0.0071,6 
同位素,0.0059,5 
碳,0.0059,5 
空气质量,0.0059,5 
墨水,0.0059,5 
钻石,0.0059,5 
核磁共振成像,0.0059,5 
加热,0.0059,5 
半导体,0.0059,5 
岩浆,0.0059,5 
汽油,0.0059,5 
固态,0.0059,5 
水分,0.0047,4 
天然气,0.0047,4 
光缆,0.0047,4 
焚烧,0.0047,4 
合成,0.0047,4 
PM2.5,0.0047,4 
氢气,0.0047,4 
脂肪,0.0047,4 
